GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0006403	RNA localization	24	20	12.31	5.9e-05	5.9e-05	0.040355999999999996	0.020177999999999998
GO:0070727	cellular macromolecule localization	57	33	29.24	0.00018	0.22393	0.061560000000000004	1
GO:0097549	chromatin organization involved in negative regulation of transcription	21	15	10.77	0.00052	0.00052	0.11855999999999998	0.08094
GO:0022613	ribonucleoprotein complex biogenesis	24	17	12.31	0.00070	0.00070	0.1197	0.08094
GO:0006396	RNA processing	40	31	20.52	0.00095	0.00095	0.12996000000000002	0.09282857142857143
GO:0018193	peptidyl-amino acid modification	44	32	22.57	0.00130	0.00130	0.1482	0.11115
GO:0009790	embryo development	116	57	59.51	0.00314	0.24895	0.3068228571428571	1
GO:0044265	cellular macromolecule catabolic process	46	27	23.6	0.00764	0.03778	0.649344	0.6908400000000001
GO:0006325	chromatin organization	45	33	23.09	0.01193	0.00071	0.649344	0.08094
GO:0031328	positive regulation of cellular biosynthetic process	90	46	46.17	0.01301	0.23949	0.649344	1
GO:0010557	positive regulation of macromolecule biosynthetic process	71	36	36.42	0.01336	0.39521	0.649344	1
GO:2000026	regulation of multicellular organismal development	112	63	57.46	0.01409	0.17382	0.649344	1
GO:0051321	meiotic cell cycle	20	13	10.26	0.01416	0.01416	0.649344	0.3358675862068965
GO:0032446	protein modification by small protein conjugation	34	24	17.44	0.01417	0.04962	0.649344	0.7542239999999999
GO:0016071	mRNA metabolic process	26	20	13.34	0.01424	0.01424	0.649344	0.3358675862068965
GO:0051254	positive regulation of RNA metabolic process	68	35	34.89	0.01519	0.41182	0.6493725	1
GO:0009636	response to toxic substance	20	14	10.26	0.02623	0.02623	0.947682	0.5436763636363636
GO:0048812	neuron projection morphogenesis	81	43	41.56	0.02708	0.73885	0.947682	1
GO:0007423	sensory organ development	84	40	43.09	0.02712	0.86747	0.947682	1
GO:0030707	ovarian follicle cell development	79	42	40.53	0.02771	0.52987	0.947682	1
GO:0051276	chromosome organization	61	45	31.29	0.03315	3.2e-05	1	0.020177999999999998
GO:0035194	post-transcriptional gene silencing by RNA	20	14	10.26	0.03701	0.03701	1	0.6908400000000001
GO:0031331	positive regulation of cellular catabolic process	24	18	12.31	0.03922	0.03922	1	0.6908400000000001
GO:0033043	regulation of organelle organization	42	24	21.55	0.04203	0.26385	1	1
GO:0090304	nucleic acid metabolic process	142	84	72.85	0.04443	0.00249	1	0.15483272727272726
GO:0000278	mitotic cell cycle	62	36	31.81	0.04523	0.04312	1	0.7335482926829269
GO:0000280	nuclear division	27	17	13.85	0.04618	0.04618	1	0.7345841860465117
GO:0010628	positive regulation of gene expression	77	39	39.5	0.04883	0.27176	1	1
GO:0043632	modification-dependent macromolecule catabolic process	28	16	14.36	0.05260	0.47911	1	1
GO:0048666	neuron development	112	62	57.46	0.05464	0.47285	1	1
GO:0010467	gene expression	175	99	89.78	0.05726	0.00301	1	0.1583723076923077
