Orthogroup	Habropoda_laboriosa	Megalopta_genalis
OG0000000	XP_017791904.1	XP_033334293.1
OG0000000	XP_017791907.1, XP_017791919.1	XP_033332143.1
OG0000000	XP_017797537.1	XP_033339901.1
OG0000000	XP_017797032.1, XP_017797538.1	XP_033329061.1
OG0000000	XP_017796207.1	XP_033339063.1, XP_033339068.1
OG0000000	XP_017797015.1, XP_017796820.1	XP_033322444.1, XP_033339380.1
OG0000000	XP_017796984.1	XP_033338067.1, XP_033339065.1
OG0000000	XP_017795695.1, XP_017792100.1, XP_017797536.1	XP_033325358.1
OG0000000	XP_017788506.1, XP_017797013.1	XP_033321268.1
OG0000001	XP_017795702.1	XP_033341784.1
OG0000001	XP_017795399.1, XP_017796200.1	XP_033323542.1
OG0000001	XP_017791301.1	XP_033326774.1, XP_033326767.1, XP_033326559.1, XP_033326766.1, XP_033326768.1
OG0000001	XP_017795398.1	XP_033329022.1, XP_033329019.1, XP_033329018.1, XP_033329017.1, XP_033331299.1, XP_033331298.1
OG0000001	XP_017791778.1	XP_033339718.1
OG0000001	XP_017791425.1	XP_033338371.1, XP_033322509.1
OG0000002	XP_017795926.1	XP_033330629.1
OG0000004	XP_017796210.1	XP_033323473.1
OG0000004	XP_017795705.1, XP_017792101.1	XP_033326525.1, XP_033326528.1
OG0000004	XP_017796976.1, XP_017796999.1	XP_033334494.1
OG0000004	XP_017792763.1	XP_033335211.1
OG0000004	XP_017794734.1	XP_033339814.1, XP_033335543.1
OG0000004	XP_017795719.1	XP_033323310.1
OG0000004	XP_017791302.1, XP_017795072.1	XP_033329188.1
OG0000004	XP_017795846.1	XP_033335544.1, XP_033324576.1
OG0000005	XP_017790206.1	XP_033333179.1, XP_033333180.1, XP_033333183.1, XP_033333184.1, XP_033333182.1, XP_033333185.1, XP_033333186.1, XP_033333187.1, XP_033333188.1, XP_033333178.1, XP_033333177.1, XP_033333176.1, XP_033333175.1
OG0000005	XP_017796951.1	XP_033321098.1, XP_033328818.1
OG0000005	XP_017794536.1	XP_033331348.1, XP_033331346.1
OG0000005	XP_017787740.1	XP_033341707.1, XP_033322035.1, XP_033340640.1, XP_033340639.1, XP_033337381.1, XP_033321306.1, XP_033333928.1, XP_033330633.1
OG0000005	XP_017791563.1	XP_033330930.1, XP_033330931.1, XP_033330929.1, XP_033322608.1, XP_033322845.1, XP_033322222.1, XP_033334442.1, XP_033324606.1, XP_033328275.1
OG0000005	XP_017796220.1, XP_017793838.1	XP_033328756.1
OG0000006	XP_017788744.1	XP_033332254.1
OG0000006	XP_017788741.1	XP_033331535.1
OG0000006	XP_017788745.1	XP_033331536.1
OG0000006	XP_017789424.1	XP_033325709.1
OG0000008	XP_017797987.1	XP_033329050.1
OG0000008	XP_017793615.1	XP_033329521.1
OG0000008	XP_017797975.1	XP_033329051.1
OG0000008	XP_017797962.1	XP_033329032.1, XP_033329033.1, XP_033329034.1
OG0000008	XP_017798022.1	XP_033321020.1, XP_033321019.1
OG0000009	XP_017789192.1	XP_033321090.1
OG0000009	XP_017794730.1	XP_033323894.1, XP_033323884.1, XP_033323895.1
OG0000009	XP_017794617.1	XP_033323898.1, XP_033323897.1
OG0000009	XP_017794731.1, XP_017794737.1	XP_033323886.1, XP_033323896.1
OG0000010	XP_017792996.1, XP_017796553.1	XP_033337116.1, XP_033332263.1, XP_033339381.1, XP_033337295.1, XP_033333309.1
OG0000011	XP_017796295.1	XP_033341684.1
OG0000011	XP_017795360.1, XP_017795358.1, XP_017795359.1, XP_017795357.1	XP_033340025.1
OG0000012	XP_017797597.1	XP_033333685.1
OG0000012	XP_017796583.1	XP_033324767.1
OG0000012	XP_017796672.1	XP_033324764.1
OG0000013	XP_017799299.1	XP_033328965.1
OG0000013	XP_017795688.1	XP_033328623.1
OG0000013	XP_017797795.1	XP_033330794.1, XP_033330796.1, XP_033330795.1
OG0000014	XP_017799145.1	XP_033328576.1
OG0000016	XP_017797009.1	XP_033324994.1
OG0000017	XP_017788278.1	XP_033323611.1
OG0000017	XP_017795361.1	XP_033341626.1
OG0000018	XP_017793008.1	XP_033334915.1
OG0000018	XP_017797482.1	XP_033333868.1, XP_033333867.1
OG0000018	XP_017793490.1	XP_033342252.1
OG0000018	XP_017793336.1	XP_033342250.1
OG0000018	XP_017796703.1	XP_033327648.1
OG0000019	XP_017790272.1	XP_033335083.1
OG0000019	XP_017787413.1	XP_033337986.1
OG0000019	XP_017788514.1	XP_033321516.1
OG0000020	XP_017791573.1	XP_033333974.1
OG0000020	XP_017790081.1	XP_033341111.1
OG0000020	XP_017792589.1	XP_033336086.1
OG0000020	XP_017794423.1	XP_033329902.1
OG0000020	XP_017793275.1	XP_033340707.1
OG0000020	XP_017796526.1	XP_033341861.1
OG0000020	XP_017794610.1	XP_033323952.1, XP_033323953.1
OG0000021	XP_017790276.1	XP_033334588.1
OG0000021	XP_017798692.1	XP_033336486.1, XP_033336485.1
OG0000022	XP_017795686.1	XP_033337184.1
OG0000022	XP_017792281.1	XP_033328481.1
OG0000022	XP_017798138.1	XP_033326609.1
OG0000023	XP_017799301.1	XP_033328578.1
OG0000024	XP_017798115.1	XP_033339085.1, XP_033339401.1, XP_033329817.1
OG0000024	XP_017788217.1	XP_033340779.1
OG0000025	XP_017791461.1, XP_017796120.1, XP_017791901.1, XP_017795708.1	XP_033330636.1
OG0000025	XP_017791900.1	XP_033340892.1
OG0000026	XP_017799538.1	XP_033339312.1
OG0000026	XP_017790381.1	XP_033332814.1
OG0000026	XP_017797652.1	XP_033330956.1, XP_033330958.1
OG0000026	XP_017792231.1	XP_033340742.1
OG0000026	XP_017795812.1	XP_033321049.1
