ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
5	"LOC114872233"	NA	chrOU015519.1	+	7676847	7678029	7676847	7677573	7678109	7679021
6	"LOC114879960"	NA	chrOU015519.1	-	6701510	6701919	6701545	6701919	6701139	6701266
10	"LOC114880476"	NA	chrOU015519.1	+	6246873	6247008	6246873	6246940	6248044	6248129
30	"LOC114878004"	NA	chrOU015519.1	+	3439060	3439314	3439060	3439217	3439874	3440449
33	"LOC114879763"	NA	chrOU015519.1	-	3154596	3154747	3154600	3154747	3153042	3154033
36	"LOC114877844"	NA	chrOU015519.1	+	2977588	2977927	2977588	2977775	2978013	2978400
49	"LOC114880802"	NA	chrOU015518.1	+	8720577	8721827	8720577	8720774	8721942	8722313
62	"LOC114877553"	NA	chrOU015518.1	+	5817682	5819122	5817682	5817856	5821960	5825808
80	"LOC114881700"	NA	chrOU015518.1	-	1644419	1644875	1644669	1644875	1644059	1644214
90	"LOC114873001"	NA	chrOU015518.1	-	790030	790365	790142	790365	789340	789421
93	"LOC114873001"	NA	chrOU015518.1	-	790649	791101	790864	791101	789601	789705
94	"LOC114873001"	NA	chrOU015518.1	-	790649	791101	790864	791101	790142	790365
98	"LOC114876026"	NA	chrOU015518.1	+	572839	573692	572839	573402	574987	575049
99	"LOC114876023"	NA	chrOU015518.1	-	518462	518639	518515	518639	517492	518225
115	"LOC114871183"	NA	chrOU015508.1	-	1320156	1320401	1320222	1320401	1319902	1320085
120	"LOC114871972"	NA	chrOU015509.1	-	6803600	6803973	6803829	6803973	6796150	6796228
151	"LOC114874669"	NA	chrOU015509.1	+	3180462	3180601	3180462	3180592	3180709	3180997
167	"LOC114878078"	NA	chrOU015508.1	-	8005633	8005811	8005676	8005811	8005341	8005563
186	"LOC114872028"	NA	chrOU015505.1	+	6103740	6103843	6103740	6103839	6104889	6105375
187	"LOC114872028"	NA	chrOU015505.1	+	6103740	6104222	6103740	6103839	6104889	6105375
188	"LOC114872028"	NA	chrOU015505.1	+	6103740	6104222	6103740	6103843	6104889	6105375
190	"LOC114872028"	NA	chrOU015505.1	+	6103740	6104222	6103740	6103839	6104943	6105375
191	"LOC114872028"	NA	chrOU015505.1	+	6103740	6104222	6103740	6103843	6104943	6105375
201	"LOC114870925"	NA	chrOU015504.1	+	14337461	14338045	14337461	14337744	14338664	14338709
202	"LOC114870925"	NA	chrOU015504.1	+	14337461	14338344	14337461	14337744	14338664	14338709
204	"LOC114870925"	NA	chrOU015504.1	+	14337461	14338709	14337461	14338045	14345378	14345464
227	"LOC114879923"	NA	chrOU015511.1	+	9860236	9860767	9860236	9860577	9864386	9864609
228	"LOC114879923"	NA	chrOU015511.1	+	9860236	9860767	9860236	9860577	9865405	9865542
241	"LOC114877935"	NA	chrOU015508.1	-	5561413	5561995	5561441	5561995	5560502	5560621
271	"LOC114871024"	NA	chrOU015508.1	+	1432053	1432250	1432053	1432176	1432528	1432737
275	"LOC114880957"	NA	chrOU015508.1	-	9988484	9990508	9989104	9990508	9987821	9988122
277	"LOC114878888"	NA	chrOU015509.1	-	5555413	5555759	5555455	5555759	5554720	5555009
300	"LOC114877931"	NA	chrOU015508.1	-	5597610	5597727	5597614	5597727	5586897	5587133
309	"LOC114876087"	NA	chrOU015506.1	-	264210	264417	264259	264417	263993	264063
310	"LOC114876087"	NA	chrOU015506.1	-	264210	264417	264259	264417	263993	264089
340	"LOC114873584"	NA	chrOU015516.1	-	9096495	9097168	9096944	9097168	9096120	9096265
341	"LOC114873584"	NA	chrOU015516.1	-	9096506	9097168	9096944	9097168	9096120	9096265
342	"LOC114873584"	NA	chrOU015516.1	-	9096495	9097168	9096506	9097168	9096120	9096282
349	"LOC114874717"	NA	chrOU015507.1	-	9825635	9825959	9825639	9825959	9825039	9825178
