Orthogroup	Vespa_mandarinia	Tribolium_castaneum
OG0000001	XP_035720574.1	NP_001137200.1, XP_008192267.1, NP_001177722.1, XP_975563.1, NP_001280531.1, NP_001164249.1, XP_015834314.1, NP_001280532.1, XP_015834315.1, XP_975569.1, XP_008192269.1, XP_975562.1, XP_008192266.1, XP_015834510.1, XP_015834511.1
OG0000001	XP_035734021.1, XP_035734020.1, XP_035734019.1	XP_969875.1
OG0000001	XP_035738421.1, XP_035741324.1	XP_966774.1, XP_015833657.1, XP_970561.1, XP_970633.1, XP_015835338.1, XP_008194912.1
OG0000002	XP_035737286.1, XP_035737171.1, XP_035737322.1, XP_035737321.1, XP_035737299.1, XP_035737317.1, XP_035737318.1, XP_035737326.1, XP_035737177.1, XP_035737160.1, XP_035737224.1, XP_035737208.1, XP_035737170.1, XP_035737172.1, XP_035737325.1, XP_035737203.1, XP_035737175.1, XP_035737209.1, XP_035737176.1, XP_035737173.1, XP_035737210.1	XP_015839871.1
OG0000004	XP_035737763.1, XP_035737762.1, XP_035742402.1, XP_035734902.1, XP_035739245.1	XP_015834342.1
OG0000006	XP_035732062.1	XP_015840913.1, XP_015839886.1, XP_015840914.1, XP_015839882.1, XP_015840915.1, XP_015838120.1, XP_015833039.1, XP_015838103.1, XP_008197157.2, XP_015838111.1, XP_015838098.1, XP_015833153.1, XP_015833154.1, XP_015838097.1, XP_015838114.1, XP_015837672.1, XP_015837670.1, XP_015833429.1, XP_015833045.1, XP_015833034.1, XP_015838052.1, XP_015838051.1, XP_015834939.1
OG0000008	XP_035740079.1, XP_035736062.1, XP_035736014.1, XP_035739952.1, XP_035739953.1	XP_972338.1
OG0000008	XP_035736007.1	XP_972430.2
OG0000008	XP_035736200.1, XP_035736201.1, XP_035736202.1	XP_015836551.1, XP_015836552.1
OG0000008	XP_035739950.1, XP_035739951.1, XP_035739948.1	XP_008191970.1
OG0000009	XP_035722243.1, XP_035733996.1, XP_035722232.1, XP_035722233.1, XP_035722235.1, XP_035722241.1, XP_035722237.1, XP_035722240.1, XP_035722236.1, XP_035722238.1, XP_035722239.1	XP_008200085.1, XP_008197409.1, XP_015838530.1, XP_015838531.1, XP_015838490.1, XP_008197433.1, XP_008197432.2, XP_008197346.1, NP_001034541.1, XP_015838491.1, XP_008194628.1, XP_015838026.1, XP_015838027.1, XP_975385.1, NP_001164248.1, XP_015838170.1, NP_001123895.1, NP_001127706.1, XP_015838024.1, XP_972546.1, XP_973619.2
OG0000010	XP_035740256.1, XP_035736363.1, XP_035723753.1, XP_035737757.1, XP_035742633.1, XP_035724078.1, XP_035736366.1, XP_035742251.1, XP_035737492.1, XP_035742783.1, XP_035737758.1, XP_035740321.1, XP_035737495.1, XP_035723442.1, XP_035742250.1	XP_008191471.1
OG0000012	XP_035731128.1, XP_035731058.1, XP_035731059.1	XP_008192552.1
OG0000013	XP_035732971.1	XP_969677.1
OG0000013	XP_035725915.1	XP_966487.1
OG0000013	XP_035732326.1, XP_035732327.1, XP_035732323.1, XP_035732322.1, XP_035732328.1	XP_008197392.1
