Orthogroup	Megachile_rotundata	Nasonia_vitripennis
OG0000000	XP_012152959.1, XP_012145736.1, XP_012148636.1, XP_012151347.1	XP_031781616.1
OG0000000	XP_012153583.1, XP_012143819.1, XP_012153233.1, XP_012146525.1, XP_012147281.1, XP_012136802.1, XP_012145447.1, XP_012153566.1	XP_031779811.1, XP_031781320.1, XP_008214147.2
OG0000001	XP_012153916.1, XP_012153915.1	NP_001166007.1, NP_001165974.1, NP_001166008.1, XP_001606687.2, XP_001607043.2, NP_001166004.1, NP_001166003.1, XP_001602787.1
OG0000001	XP_012136792.1, XP_012150537.1, XP_003707539.1, XP_012146067.1, XP_003704416.1, XP_012143065.1, XP_012143066.1, XP_003704415.1, XP_003704279.1, XP_012143067.1, XP_003704414.1, XP_012140371.1, XP_012140372.1, XP_003703231.1, XP_012143070.1, XP_012143071.1, XP_012143072.1, XP_003704281.1, XP_012143073.1, XP_003704278.1, XP_012143061.1, XP_003704412.1	NP_001166001.1, XP_031789348.1, NP_001165999.1, XP_031787437.1, XP_001604822.1, XP_031780875.1, XP_031780867.1, XP_032451660.1, XP_001603529.3, NP_001165939.1, XP_016843419.1
OG0000001	XP_003703200.1	XP_032451623.1, XP_032451622.1, XP_008208821.1, XP_001599214.2, XP_032451621.1
OG0000001	XP_003699913.1	XP_001603508.1, NP_001165940.1, XP_001599460.2
OG0000001	XP_003701310.1, XP_003701343.1, XP_012136078.1, XP_012136077.1, XP_003701345.1, XP_012136079.1	NP_001165997.1, NP_001165995.1, NP_001165996.1, XP_001599361.4, NP_001165998.1
OG0000002	XP_003700909.2	NP_001177429.1
OG0000002	XP_003700936.1, XP_003700935.1, XP_003700845.1, XP_003700846.1, XP_003700844.1, XP_003700934.1	NP_001177432.1, NP_001177433.1, XP_032453629.1, NP_001177435.1, NP_001177467.1, NP_001177434.1
OG0000002	XP_003700932.1, XP_003700933.2, XP_003700913.1, XP_003700912.1, XP_012135096.1, XP_003700836.1, XP_003700837.1, XP_003700911.2, XP_003700914.1, XP_012135238.1, XP_012135239.1, XP_012135236.1, XP_003700918.2, XP_012135244.1, XP_012135242.1, XP_012135246.1, XP_003700930.1, XP_003700925.1, XP_003700923.1, XP_003700922.1, XP_012135243.1, XP_012135245.1, XP_003700843.1, XP_003700842.2, XP_012135240.1	NP_001177431.1
OG0000003	XP_012152452.1	XP_031789191.1
OG0000003	XP_012146541.1, XP_003708371.1, XP_012149741.1, XP_012149735.1, XP_012137589.1	XP_031781091.1, XP_031788338.1
OG0000003	XP_012148418.1	XP_031777336.1
OG0000003	XP_012151327.1	XP_016844563.1
OG0000005	XP_012154410.1, XP_012154409.1, XP_012139976.1, XP_012134537.1	XP_001604398.2
OG0000008	XP_003705710.1	XP_001602085.1
OG0000008	XP_003705708.1	XP_008205990.2
OG0000008	XP_012141335.1	XP_031788628.1
OG0000008	XP_003705713.2	XP_003424681.1, XP_031782089.1, XP_016845733.1, XP_003427944.1, XP_003424536.2, XP_001602364.1, XP_016844951.1, XP_016843209.1
OG0000008	XP_003705711.1	XP_001602133.1
OG0000008	XP_003705712.1	XP_001600419.1
OG0000008	XP_003705707.1	XP_032456689.1, XP_032456688.1, XP_001601943.1
OG0000009	XP_012145773.1, XP_012145771.1, XP_012145774.1	XP_032456865.1, NP_001166017.1, XP_031788634.1, XP_031788637.1, NP_001166016.1, XP_031788638.1, NP_001165945.1
OG0000009	XP_003703411.1, XP_003705489.1, XP_003705491.1	NP_001166009.1, NP_001166010.1, XP_001608020.1, XP_001608016.1, NP_001166011.1, NP_001166012.1, XP_001603857.1, XP_001605061.4, NP_001166013.1, XP_003423799.1, XP_003423800.1, XP_003423798.1, NP_001165942.1, XP_001608022.1
OG0000012	XP_003705464.1	XP_032452116.1, XP_032452115.1
OG0000012	XP_003705466.1	XP_016838732.1
