Orthogroup	Bombyx_mori	Bombus_terrestris
OG0000000	XP_037873721.1	XP_012175230.1
OG0000000	XP_037875266.1	XP_012174870.1, XP_012171987.1, XP_012175227.1
OG0000000	XP_037870339.1	XP_012174418.1
OG0000001	NP_001106226.1, NP_001266427.1, XP_012545238.2, NP_001073135.1, NP_001104007.1	XP_003395878.1, XP_003400131.1, XP_012170860.1, XP_003400126.1, XP_003400119.1, XP_020721795.1, XP_012170857.1, XP_020721796.1, XP_012170859.1, XP_012170861.1, XP_012170855.1
OG0000001	NP_001296520.1, NP_001266295.1	XP_012168947.1
OG0000001	XP_037874444.1, XP_037874445.1, XP_037874443.1, XP_037874442.1, NP_001108340.1	XP_012175298.1, XP_003393848.1, XP_012170233.1, XP_020721551.1, XP_012170221.2, XP_012170223.1, XP_003399696.2, XP_003403418.2, XP_003403397.3
OG0000004	XP_037866663.1, XP_037874920.1	XP_003399806.1, XP_003396672.1
OG0000004	XP_037872760.1, XP_037868220.1, XP_037874112.1, XP_037871694.1	XP_020721352.1, XP_012173923.2, XP_020723502.1, XP_020723507.1, XP_020723504.1, XP_020723503.1, XP_020723506.1, XP_020723505.1, XP_020723508.1, XP_020723509.1, XP_020723510.1, XP_020724024.1
OG0000005	XP_037870301.1	XP_020719947.1
OG0000006	XP_012548049.2, NP_001155299.1, XP_037872108.1, NP_001104798.1, XP_037868147.1, XP_037868149.1, XP_012545176.2, NP_001166620.1, NP_001104819.1, XP_037873404.1, NP_001104832.2, NP_001091787.1	XP_012174904.1
OG0000008	XP_012548163.2	XP_012168744.1
OG0000008	XP_012548168.1	XP_012168771.1
OG0000008	XP_021205470.2	XP_003398745.1
OG0000008	XP_037872353.1, XP_012548164.1	XP_003402021.1, XP_012173573.1, XP_003402067.2, XP_003402064.1, XP_012173606.2, XP_003403320.2, XP_012176687.1, XP_012176691.1, XP_003394740.1, XP_020718362.1, XP_020718363.1, XP_020718364.1, XP_020718365.1, XP_012176686.1, XP_012176685.1, XP_012176683.1, XP_003394739.1, XP_012176688.1, XP_012176689.1, XP_012176690.1, XP_020721002.1
OG0000009	XP_037872543.1, NP_001095934.1, XP_037872544.1, NP_001103394.1, NP_001103404.1, NP_001077079.1, XP_021202508.2, NP_001108456.1	XP_003393388.3, XP_003393376.1, XP_003393377.1, XP_020723850.1, XP_003393379.1
OG0000010	XP_021208868.2, XP_037877292.1, XP_037870974.1, XP_037877378.1, XP_004925231.2, XP_037871371.1, XP_037869407.1, XP_037873430.1, XP_037874123.1, XP_037877306.1, XP_004922866.1, XP_037877604.1, XP_037877550.1, XP_037869235.1	XP_012174385.1, XP_020723418.1
OG0000010	XP_037872909.1	XP_020723262.1, XP_012173833.1, XP_012174211.1
OG0000012	XP_012543999.1, NP_001037317.1	XP_003402915.1, XP_020723675.1
OG0000012	XP_037870940.1, XP_012547171.2, XP_021203795.1, XP_021204459.2	XP_003402916.2
OG0000013	XP_004933313.1	XP_003392965.1, XP_003392969.1
OG0000013	NP_001040399.1	XP_020718381.1
OG0000013	NP_001091756.1	XP_003400771.1, XP_003400772.1, XP_003400767.1
OG0000017	NP_001108466.1, XP_012546875.1, NP_001037420.1, NP_001037197.1, NP_001108464.1, NP_001108460.1	XP_012175461.1, XP_012175513.1, XP_012175528.1
OG0000017	NP_001037183.1	XP_012172021.1, XP_012172020.1, XP_012172019.1, XP_012172018.1, XP_020722711.1, XP_012172017.1
OG0000017	XP_037877194.1, NP_001037546.1, XP_037867588.1, XP_037877193.1, XP_037867593.1, NP_001036974.1	XP_012172050.1
OG0000018	XP_037871931.1	XP_012169775.2
OG0000018	XP_021205339.2, XP_037871705.1	XP_003399081.1
OG0000019	NP_001268819.1, XP_037869432.1, NP_001040220.1	XP_003398973.1, XP_020721097.1, XP_020721100.1, XP_020721101.1, XP_020721098.1, XP_020721099.1
OG0000019	XP_037866672.1, XP_004931474.1, XP_004925522.1, XP_021203269.2, XP_004922003.2	XP_003401753.1
OG0000019	XP_004927318.1	XP_003401949.1
OG0000020	XP_021206581.1	XP_012167183.1
OG0000020	XP_012545030.1	XP_003394639.2
OG0000020	XP_037867737.1	XP_012167185.1
OG0000020	XP_012552719.1, XP_021202222.1	XP_003393559.1, XP_012164798.2
OG0000020	XP_037874470.1, XP_037874469.1	XP_003403319.2
OG0000020	XP_012548770.1	XP_012173392.1
OG0000020	XP_037867242.1, XP_012549186.1	XP_020723566.1
OG0000021	XP_004932475.1, XP_021207797.1	XP_012171597.1, XP_020722326.1, XP_003400632.1
OG0000021	XP_012546046.1	XP_003396414.1, XP_012165450.1, XP_012165451.1
OG0000021	XP_004926417.1	XP_012169135.1
OG0000021	XP_037869061.1	XP_020722863.1, XP_003403430.2
OG0000021	XP_037872785.1	XP_012171598.1, XP_012171599.1, XP_003400635.1
OG0000024	XP_004924130.1	XP_003401520.1
OG0000026	XP_021205952.1, XP_037874519.1, XP_037874423.1	XP_020719884.1, XP_003397076.1, XP_012166367.1, XP_012166366.1, XP_012166369.1, XP_012166368.1
OG0000026	XP_004929451.1, XP_012548588.1	XP_003402888.1, XP_003402887.1, XP_012174757.1
OG0000027	NP_001153669.1	XP_003392964.1, XP_003392970.1
OG0000028	XP_037871212.1	XP_012174214.1, XP_012167645.1
OG0000028	XP_037870156.1	XP_012171988.1
OG0000029	NP_001036866.1, NP_001166691.1, NP_001166687.1	XP_003399185.1, XP_012169459.1
OG0000029	NP_001093082.1, NP_001166690.1, NP_001166689.1	XP_003399852.3, XP_020721313.1, XP_020721315.1
OG0000030	XP_037875304.1	XP_020720274.1
OG0000030	XP_004926017.1	XP_012170594.1, XP_003399944.1
OG0000032	XP_012545284.2, XP_021208619.1	XP_020723342.1
OG0000032	XP_037867207.1, XP_004924199.2, NP_001036966.1, XP_012549133.1	XP_003398435.1, XP_012174894.1, XP_003403021.1, XP_003398436.1, XP_003398432.1, XP_003398434.1
OG0000033	XP_021203082.2, XP_037875893.1	XP_003400510.1, XP_012171365.1
OG0000035	NP_001243971.1, NP_001243970.1, NP_001243969.1, NP_001243968.1, NP_001274756.1, XP_037870343.1, NP_001243972.1, XP_037870428.1	XP_003394979.1
OG0000035	NP_001243964.1, NP_001243980.1	XP_020718418.1
OG0000036	XP_037877629.1, XP_012544322.2	XP_003401252.1, XP_012172397.1, XP_012175443.1
OG0000037	NP_001166634.1, NP_001166643.1, NP_001166640.1, XP_021207417.1, NP_001166642.1, NP_001166626.1, NP_001166646.1, NP_001166657.1, NP_001166648.1, NP_001166659.1, NP_001166661.1, NP_001166647.1, NP_001166654.1, NP_001166652.1, NP_001166656.1, NP_001166655.1, NP_001166651.1, NP_001166653.1, NP_001166650.1, XP_012550695.2, XP_037874610.1, NP_001166649.1, NP_001166658.1, NP_001166660.1, XP_037874849.1, XP_037874613.1, XP_037874612.1, NP_001166662.1, NP_001036864.1, NP_001166674.1, NP_001166673.1, NP_001166676.1, NP_001166675.1, NP_001036838.1, NP_001166677.1, XP_012550704.2, NP_001166625.1, NP_001166671.1, NP_001166678.1, XP_012550693.1, NP_001166641.1, XP_004931961.1, NP_001166635.1, NP_001166644.1, NP_001166637.1	XP_003403001.3
OG0000038	NP_001036884.1	XP_003396169.1, XP_003399700.1
OG0000038	NP_001036886.1, XP_021204307.1	XP_012172201.2
OG0000039	XP_037877377.1, XP_037875720.1, XP_037875730.1, XP_037875679.1, XP_037877102.1, XP_037877190.1, XP_037877066.1	XP_012175480.1
OG0000039	XP_037875873.1, XP_037875721.1, XP_037875722.1, XP_037875265.1, XP_037867939.1, XP_037877376.1, XP_037877375.1, XP_037870392.1, XP_037870333.1, XP_012548402.1, XP_012548403.1, XP_021207874.2, XP_037866956.1, XP_037868982.1, XP_037877018.1, XP_012548919.1	XP_012175491.1, XP_012173831.1, XP_012171920.1, XP_012169517.1, XP_020723949.1
OG0000040	XP_037871589.1, XP_037877007.1	XP_003393536.1, XP_003393535.1, XP_012164479.1
OG0000041	XP_037872547.1	XP_003396989.1
OG0000041	NP_001119727.1	XP_003396990.1
OG0000041	NP_001119724.1	XP_003394488.1, XP_003394490.1
OG0000041	NP_001119726.1, XP_037872546.1	XP_003399722.1
OG0000042	XP_004925565.1	NP_001272327.1, XP_012163186.1
OG0000042	NP_001296508.1, XP_037868172.1, NP_001037018.1, XP_012545279.1, XP_021205712.2, NP_001036971.1	NP_001267818.1
OG0000043	NP_001037067.1, NP_001037068.1	XP_003392868.1
OG0000043	NP_001091780.1, XP_021206019.2	XP_012173547.1
OG0000044	NP_001036834.1	XP_020723893.1, XP_012175325.1
OG0000044	XP_037868658.1	XP_020723251.1
OG0000045	XP_037866529.1, XP_037866527.1, NP_001296551.1, XP_012549946.3, NP_001182391.1, XP_004930880.1	XP_003395914.2, XP_003403314.1, XP_020719958.1, XP_003402225.2, XP_012164669.1
OG0000046	NP_001036837.1, XP_012547740.1	XP_012176148.2
OG0000046	NP_001036892.1	XP_003397462.1
OG0000050	NP_001165227.1, NP_001040466.1, XP_037875050.1, NP_001124352.1, NP_001116814.1, XP_004927162.1, XP_021203217.2, XP_021203196.2, XP_037870386.1, XP_037870387.1, XP_004925199.1, XP_004924525.1, XP_004932947.1, NP_001040174.1	XP_003398997.1, XP_003396910.2
OG0000052	XP_012545178.1, NP_001036907.1, XP_037868558.1, XP_037868546.1, XP_012545207.2, XP_012545182.2, XP_004925374.1, XP_037868485.1, XP_004925372.1, XP_004925371.1	XP_003397480.1, XP_003397483.1
OG0000054	NP_001040112.1	XP_012175318.1
OG0000054	NP_001036835.1, NP_001166743.1	XP_003402283.1, XP_003403304.1, XP_003403303.1
OG0000055	XP_021207833.1	XP_012170773.1
OG0000055	XP_012548893.1, NP_001036959.1	XP_012170213.1
OG0000056	XP_037866675.1	XP_020723650.1, XP_020721195.1
OG0000056	XP_037872689.1	XP_003399457.3
OG0000056	XP_037871311.1	XP_020723637.1
OG0000056	XP_037873641.1	XP_020720993.1
OG0000057	NP_001036887.1, NP_001036964.1	XP_003395180.1
OG0000057	XP_004923508.1, XP_012553252.3	XP_003400373.1
OG0000057	NP_001036965.1	XP_003395196.1
OG0000057	NP_001036888.1	XP_003395170.1
OG0000057	NP_001037492.1, NP_001093079.1	XP_003395225.1
OG0000060	XP_021206640.1, XP_004930776.1	XP_020721716.1
