GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0005515	protein binding	117	22	13.04	0.0092	0.0125	0.3528	0.18000000000000002
GO:0004888	transmembrane signaling receptor activity	11	3	1.23	0.0098	0.0098	0.3528	0.18000000000000002
GO:0098772	molecular function regulator	59	13	6.57	0.0386	0.0103	0.9264000000000001	0.18000000000000002
GO:0005509	calcium ion binding	14	4	1.56	0.0582	0.0582	1	0.5986285714285715
GO:0016788	hydrolase activity, acting on ester bonds	13	3	1.45	0.0873	0.0873	1	0.6503294117647058
GO:0140110	transcription regulator activity	39	7	4.35	0.0935	0.0260	1	0.312
GO:0043565	sequence-specific DNA binding	15	3	1.67	0.1046	0.1046	1	0.6503294117647058
GO:0030234	enzyme regulator activity	10	2	1.11	0.1341	0.1341	1	0.6503294117647058
GO:0003700	DNA-binding transcription factor activity	34	5	3.79	0.1757	0.1185	1	0.6503294117647058
GO:0016787	hydrolase activity	94	4	10.47	0.1774	0.1434	1	0.6503294117647058
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	13	2	1.45	0.1857	0.1857	1	0.6503294117647058
GO:0004386	helicase activity	14	0	1.56	0.2029	0.2029	1	0.6503294117647058
GO:0004713	protein tyrosine kinase activity	10	3	1.11	0.2118	0.2118	1	0.6503294117647058
GO:0016684	oxidoreductase activity, acting on peroxide as acceptor	14	3	1.56	0.2391	0.5490	1	0.70944
GO:0005525	GTP binding	13	0	1.45	0.3029	0.3029	1	0.6503294117647058
GO:0005524	ATP binding	54	5	6.02	0.3432	0.3432	1	0.6868
GO:0016887	ATPase activity	17	0	1.89	0.3587	0.1417	1	0.6503294117647058
GO:0003676	nucleic acid binding	69	7	7.69	0.3742	0.4549	1	0.70944
GO:0016462	pyrophosphatase activity	31	0	3.45	0.3752	0.2764	1	0.6503294117647058
GO:0003924	GTPase activity	12	0	1.34	0.4284	0.4284	1	0.70944
GO:0004601	peroxidase activity	10	3	1.11	0.4811	0.4811	1	0.70944
GO:0097367	carbohydrate derivative binding	72	5	8.02	0.5146	0.4078	1	0.70944
GO:0016772	transferase activity, transferring phosphorus-containing groups	36	5	4.01	0.5384	0.6063	1	0.7156327868852458
GO:0020037	heme binding	11	3	1.23	0.5540	0.5540	1	0.70944
GO:0004672	protein kinase activity	34	5	3.79	0.5655	0.5718	1	0.70944
GO:0008270	zinc ion binding	19	2	2.12	0.5774	0.5774	1	0.70944
GO:0004252	serine-type endopeptidase activity	20	1	2.23	0.5887	0.5887	1	0.70944
