GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0035206	regulation of hemocyte proliferation	32	19	8.66	0.00011	0.00011	0.12386	0.05442333333333333
GO:0045475	locomotor rhythm	14	9	3.79	0.00168	0.00168	0.6675571428571428	0.11760444444444444
GO:0000122	negative regulation of transcription by RNA polymerase II	22	13	5.96	0.00316	0.00316	0.6675571428571428	0.11823
GO:0061060	negative regulation of peptidoglycan recognition protein signaling pathway	18	7	4.87	0.00399	0.00399	0.6675571428571428	0.122171
GO:0010035	response to inorganic substance	12	8	3.25	0.00406	0.00406	0.6675571428571428	0.122171
GO:0007409	axonogenesis	64	24	17.33	0.00540	0.00419	0.6675571428571428	0.122171
GO:0060538	skeletal muscle organ development	10	6	2.71	0.00576	0.00576	0.6675571428571428	0.1394861224489796
GO:0008038	neuron recognition	16	10	4.33	0.00647	0.00647	0.6675571428571428	0.14010038461538463
GO:0000302	response to reactive oxygen species	11	7	2.98	0.00720	0.00720	0.6675571428571428	0.14717017543859648
GO:0051241	negative regulation of multicellular organismal process	43	18	11.64	0.00728	0.04062	0.6675571428571428	0.2970007792207793
GO:0000398	mRNA splicing, via spliceosome	14	4	3.79	0.00745	0.00745	0.6675571428571428	0.14717017543859648
GO:0006911	phagocytosis, engulfment	10	7	2.71	0.00762	0.00762	0.6675571428571428	0.14793310344827587
GO:0007391	dorsal closure	37	18	10.02	0.00797	0.00797	0.6675571428571428	0.15210542372881355
GO:0002804	positive regulation of antifungal peptide production	10	7	2.71	0.00830	0.00830	0.6675571428571428	0.15576333333333334
GO:0007416	synapse assembly	29	8	7.85	0.00913	0.46893	0.6853586666666666	0.6769425384615385
GO:0044249	cellular biosynthetic process	177	58	47.92	0.01012	0.06144	0.712195	0.3109569642857143
GO:0008045	motor neuron axon guidance	18	10	4.87	0.01087	0.01087	0.7199776470588235	0.16319493333333332
GO:0048565	digestive tract development	32	14	8.66	0.01178	0.10874	0.7369044444444445	0.40389766233766233
GO:0006396	RNA processing	41	9	11.1	0.01417	0.40080	0.839758947368421	0.6357386497890296
GO:0007269	neurotransmitter secretion	10	6	2.71	0.01745	0.01745	0.982435	0.2112763440860215
GO:0061041	regulation of wound healing	10	5	2.71	0.02012	0.02012	0.9965099999999999	0.22613833333333333
GO:1901135	carbohydrate derivative metabolic process	26	11	7.04	0.02036	0.16232	0.9965099999999999	0.46864697435897434
GO:0007617	mating behavior	11	6	2.98	0.02079	0.02079	0.9965099999999999	0.22613833333333333
GO:0008340	determination of adult lifespan	42	16	11.37	0.02124	0.02124	0.9965099999999999	0.22613833333333333
GO:0048580	regulation of post-embryonic development	11	7	2.98	0.02320	0.02320	1	0.23585135135135135
GO:0007419	ventral cord development	24	11	6.5	0.02325	0.02325	1	0.23585135135135135
GO:0007600	sensory perception	25	13	6.77	0.02399	0.02963	1	0.26171220588235294
GO:0019725	cellular homeostasis	19	9	5.14	0.02843	0.02843	1	0.26171220588235294
GO:0050795	regulation of behavior	10	6	2.71	0.02918	0.02918	1	0.26171220588235294
GO:0060249	anatomical structure homeostasis	24	11	6.5	0.02949	0.03961	1	0.29536993377483445
GO:0019221	cytokine-mediated signaling pathway	17	8	4.6	0.03062	0.08335	1	0.3637678294573643
GO:0009267	cellular response to starvation	23	12	6.23	0.03077	0.03077	1	0.26171220588235294
GO:0035088	establishment or maintenance of apical/basal cell polarity	10	6	2.71	0.03161	0.03161	1	0.26171220588235294
GO:0009611	response to wounding	40	14	10.83	0.03275	0.20400	1	0.5040977969762419
GO:0001736	establishment of planar polarity	28	12	7.58	0.03280	0.04972	1	0.30262010810810813
GO:0007297	ovarian follicle cell migration	41	16	11.1	0.03424	0.06146	1	0.3109569642857143
GO:0007422	peripheral nervous system development	21	10	5.69	0.03501	0.03501	1	0.2776145070422535
GO:0007266	Rho protein signal transduction	12	4	3.25	0.03652	0.03652	1	0.2824191836734694
GO:1902533	positive regulation of intracellular signal transduction	45	14	12.18	0.03726	0.33402	1	0.5943646056782335
GO:0022412	cellular process involved in reproduction in multicellular organism	144	47	38.99	0.03869	0.03386	1	0.2742903597122302
GO:0016570	histone modification	18	5	4.87	0.03891	0.03891	1	0.2920844
GO:0045995	regulation of embryonic development	17	8	4.6	0.04019	0.04019	1	0.2970007792207793
GO:0007267	cell-cell signaling	58	23	15.7	0.04027	0.02687	1	0.2564035593220339
GO:0001708	cell fate specification	19	8	5.14	0.04048	0.04048	1	0.2970007792207793
GO:0042440	pigment metabolic process	54	17	14.62	0.04285	0.32292	1	0.58479936
GO:0035317	imaginal disc-derived wing hair organization	10	4	2.71	0.04288	0.04288	1	0.297264
GO:0042063	gliogenesis	23	10	6.23	0.04320	0.00382	1	0.122171
GO:0019637	organophosphate metabolic process	15	6	4.06	0.04472	0.11662	1	0.409473560371517
GO:0043277	apoptotic cell clearance	10	5	2.71	0.04567	0.04567	1	0.297264
GO:0005975	carbohydrate metabolic process	26	10	7.04	0.04611	0.29474	1	0.5781833449477353
GO:0018205	peptidyl-lysine modification	18	5	4.87	0.04620	0.04620	1	0.297264
GO:0008285	negative regulation of cell population proliferation	21	8	5.69	0.04792	0.04792	1	0.30262010810810813
GO:0007447	imaginal disc pattern formation	20	7	5.42	0.04891	0.29694	1	0.5794135405872194
GO:0006355	regulation of transcription, DNA-templated	105	37	28.43	0.04949	0.04916	1	0.30262010810810813
GO:0007474	imaginal disc-derived wing vein specification	14	5	3.79	0.05252	0.05252	1	0.3050067010309278
GO:0045880	positive regulation of smoothened signaling pathway	12	7	3.25	0.05255	0.05255	1	0.3050067010309278
GO:1903047	mitotic cell cycle process	45	11	12.18	0.05377	0.21276	1	0.511896923076923
GO:0042330	taxis	68	28	18.41	0.05447	0.00162	1	0.11760444444444444
GO:0008347	glial cell migration	14	6	3.79	0.05734	0.05734	1	0.3109569642857143
GO:0040014	regulation of multicellular organism growth	13	6	3.52	0.05749	0.05749	1	0.3109569642857143
GO:0007526	larval somatic muscle development	13	7	3.52	0.06174	0.06174	1	0.3109569642857143
GO:0007520	myoblast fusion	11	6	2.98	0.06186	0.06186	1	0.3109569642857143
GO:0048512	circadian behavior	16	11	4.33	0.06317	0.00023	1	0.05442333333333333
GO:0002683	negative regulation of immune system process	62	14	16.79	0.06347	0.86525	1	0.9208615311909262
