ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"LOC114876654"	NA	chrOU015519.1	-	5757727	5757772	5758045	5758171	5757385	5757472	5758263	5758399
1	"LOC114871553"	NA	chrOU015519.1	-	5330182	5330337	5404680	5404705	5252152	5252257	5426245	5426957
2	"LOC114871522"	NA	chrOU015519.1	+	4826791	4826824	4827893	4827914	4824129	4824318	4840436	4840538
3	"LOC114871547"	NA	chrOU015519.1	+	4432004	4432101	4432613	4432710	4430488	4430615	4433138	4433223
4	"LOC114877988"	NA	chrOU015519.1	+	3337932	3338031	3338082	3338184	3337499	3337847	3338649	3339728
5	"LOC114877840"	NA	chrOU015519.1	-	2834004	2836107	2836788	2837019	2832412	2833014	2837350	2837472
6	"LOC114879732"	NA	chrOU015519.1	-	2540077	2540399	2540436	2540524	2539159	2539399	2540615	2540837
7	"LOC114876493"	NA	chrOU015518.1	+	8398400	8398495	8399388	8399483	8397830	8398132	8407203	8407378
8	"LOC114876493"	NA	chrOU015518.1	+	8398400	8398495	8404088	8404183	8397830	8398132	8407203	8407378
9	"LOC114876493"	NA	chrOU015518.1	+	8399388	8399483	8404088	8404183	8397830	8398132	8407203	8407378
10	"LOC114875326"	NA	chrOU015518.1	-	4676805	4676976	4677777	4677957	4676123	4676339	4678507	4678687
11	"LOC114878476"	NA	chrOU015518.1	+	4350938	4351043	4351434	4352334	4350257	4350401	4352910	4353313
12	"LOC114880579"	NA	chrOU015518.1	+	3695628	3695907	3697286	3697698	3692937	3693455	3698353	3699138
13	"LOC114882828"	NA	chrOU015518.1	+	2064144	2064187	2064330	2064525	2063749	2064058	2065710	2065855
14	"LOC114872221"	NA	chrOU015519.1	-	7180789	7180906	7184361	7184472	7179625	7180058	7185293	7185344
15	"LOC114881700"	NA	chrOU015518.1	-	1638501	1638742	1639409	1639436	1637330	1637572	1639696	1639836
16	"LOC114872846"	NA	chrOU015518.1	+	1026713	1026762	1031284	1031333	1019832	1019874	1035414	1035532
17	"LOC114872846"	NA	chrOU015518.1	+	1026713	1026762	1033260	1033309	1019832	1019874	1035414	1035532
18	"LOC114872846"	NA	chrOU015518.1	+	1031284	1031333	1033260	1033309	1019832	1019874	1035414	1035532
19	"LOC114872849"	NA	chrOU015518.1	-	857429	857654	858050	858089	856940	857029	863890	863984
