Orthogroup	Drosophila_melanogaster	Megalopta_genalis
OG0000001	NP_610744.1, NP_610745.1, NP_608457.1, NP_001285499.1, NP_001286335.1, NP_001286145.1	XP_033326761.1, XP_033326760.1, XP_033326759.1, XP_033326758.1, XP_033326756.1, XP_033326755.1, XP_033326754.1, XP_033326753.1, XP_033326752.1, XP_033326751.1, XP_033326750.1, XP_033323542.1, XP_033326762.1, XP_033326763.1, XP_033326774.1, XP_033326767.1, XP_033326559.1, XP_033326766.1, XP_033326768.1, XP_033329022.1, XP_033329019.1, XP_033329018.1, XP_033329017.1, XP_033331299.1, XP_033331298.1, XP_033339718.1, XP_033326710.1, XP_033338373.1, XP_033338371.1, XP_033322509.1
OG0000006	NP_523647.2, NP_523721.1	XP_033325709.1
OG0000007	NP_648146.1	XP_033334294.1
OG0000008	NP_572981.1	XP_033329050.1
OG0000008	NP_572985.1	XP_033321018.1, XP_033321034.1
OG0000008	NP_651466.1	XP_033329521.1
OG0000008	NP_001285251.1	XP_033329051.1
OG0000008	NP_001285249.1	XP_033329032.1, XP_033329033.1, XP_033329034.1
OG0000008	NP_572987.1	XP_033321020.1, XP_033321019.1
OG0000009	NP_523850.1, NP_610820.1, NP_523645.1, NP_523646.1, NP_001350862.1, NP_650189.1	XP_033323903.1, XP_033323904.1, XP_033323905.1, XP_033321090.1, XP_033323894.1, XP_033323884.1, XP_033323895.1, XP_033323898.1, XP_033323897.1, XP_033323886.1, XP_033323896.1, XP_033323885.1, XP_033323887.1
OG0000011	NP_523520.2	XP_033341684.1, XP_033340025.1, XP_033340024.1, XP_033325356.1, XP_033340147.1, XP_033340148.1, XP_033341682.1, XP_033341685.1, XP_033341686.1, XP_033341632.1, XP_033330645.1, XP_033340023.1
OG0000012	NP_610673.1, NP_523692.1, NP_523691.1, NP_610674.5, NP_651732.1	XP_033333560.1
OG0000012	NP_611479.2, NP_001027441.1, NP_001097340.1	XP_033333685.1
OG0000012	NP_001036717.1	XP_033324767.1, XP_033324764.1
OG0000013	NP_001027298.1, NP_001027294.1, NP_001027338.1	XP_033328965.1
OG0000013	NP_001027343.1, NP_001027289.1, NP_001027285.1	XP_033328623.1
OG0000013	NP_001259374.1	XP_033330794.1, XP_033330796.1, XP_033330795.1, XP_033330798.1
OG0000017	NP_611325.2, NP_611326.1, NP_611327.1, NP_611328.1, NP_001286571.1, NP_611329.1, NP_725784.1, NP_001286570.1, NP_611323.1, NP_611324.1, NP_001246500.1, NP_001286575.1, NP_001188889.1	XP_033323611.1
OG0000017	NP_524913.1, NP_524914.3, NP_524912.1, NP_788656.1, NP_524915.1, NP_525114.1, NP_524916.1, NP_001034042.1, NP_001287302.1, NP_001287303.1	XP_033341624.1, XP_033341626.1
OG0000018	NP_001262747.1, NP_609930.4, NP_995741.2, NP_650086.2, NP_001260823.1, NP_001245943.1, NP_001260548.1	XP_033334915.1
OG0000018	NP_001247286.1	XP_033342250.1, XP_033327648.1
OG0000019	NP_001285811.1, NP_001260357.1, NP_609429.1, NP_001285807.1, NP_001285806.1, NP_001260356.1, NP_609419.1, NP_609420.1, NP_723607.1, NP_524667.1	XP_033321516.1
OG0000020	NP_723103.1	XP_033333974.1
OG0000020	NP_001097100.1, NP_001188701.2	XP_033341111.1, XP_033336086.1
OG0000020	NP_001137799.1, NP_723441.2	XP_033329902.1
OG0000020	NP_651649.1	XP_033340707.1
OG0000020	NP_001259218.1	XP_033323952.1, XP_033323953.1
OG0000021	NP_001263113.1, NP_651812.1, NP_001189282.1	XP_033334588.1
OG0000021	NP_650482.1, NP_732032.1	XP_033327467.1
OG0000022	NP_001027366.1, NP_001027371.1, NP_001027376.1	XP_033326609.1
OG0000022	NP_001027331.1, NP_001027351.1, NP_001027292.1, NP_001027326.1, NP_001027381.1, NP_001027321.1, NP_001027316.1, NP_001027386.1, NP_724343.1, NP_001027306.1, NP_001027311.1, NP_001027301.1, NP_001027341.1	XP_033328967.1
OG0000026	NP_729591.1, NP_001287018.1	XP_033339312.1
OG0000026	NP_001014616.2	XP_033332814.1
OG0000026	NP_001287332.1	XP_033330956.1, XP_033330958.1
OG0000026	NP_001163838.2	XP_033340742.1
OG0000026	NP_001285239.1	XP_033321049.1, XP_033333310.1, XP_033333311.1, XP_033333313.1, XP_033333314.1
OG0000027	NP_001027312.1, NP_001027302.1, NP_001027297.1, NP_001027293.1, NP_001027307.1, NP_001027342.1	XP_033328968.1
OG0000027	NP_001027372.1, NP_001027367.1, NP_001027377.1, NP_001027284.1, NP_001027352.1, NP_001027357.1, NP_001027362.1, NP_001027382.1, NP_001027332.1, NP_001027288.1, NP_001027347.1	XP_033328627.1
OG0000029	NP_647872.1, NP_650813.2	XP_033327291.1, XP_033327295.1
OG0000029	NP_647875.1, NP_647873.2	XP_033327378.1, XP_033327383.1
OG0000032	NP_609175.2	XP_033338046.1
OG0000032	NP_611166.2	XP_033335963.1
OG0000032	NP_651524.1, NP_651523.1, NP_651522.1, NP_651525.1, NP_651526.1, NP_651521.1, NP_651520.1, NP_651403.1	XP_033322500.1, XP_033322501.1, XP_033322502.1, XP_033339875.1, XP_033322503.1, XP_033340631.1
OG0000035	NP_001285591.1, NP_609909.1, NP_609911.1, NP_001246082.2	XP_033326685.1
OG0000035	NP_001261394.1, NP_001287111.1, NP_001246079.1, NP_001036565.1, NP_001286734.1, NP_611563.1, NP_001097859.4, NP_651153.1, NP_651152.1, NP_651154.1, NP_001262470.1, NP_652619.1, NP_524313.2, NP_652623.2, NP_652622.3, NP_651866.1, NP_524314.2, NP_001097744.1, NP_652625.2, NP_652626.1, NP_001287281.1	XP_033326629.1, XP_033326628.1
OG0000036	NP_001287583.1, NP_001369024.1	XP_033324439.1
OG0000037	NP_001137869.1, NP_648209.1, NP_001262052.1, NP_001261293.1, NP_001097547.1, NP_649120.1, NP_649121.1	XP_033322268.1
OG0000038	NP_476772.1, NP_524264.1	XP_033322848.1, XP_033330101.1
OG0000038	NP_650674.1	XP_033340658.1
OG0000040	NP_650601.2, NP_650599.1, NP_001097818.1, NP_001287372.1, NP_650598.1, NP_001138068.1, NP_732214.1, NP_650603.1, NP_650604.1	XP_033342116.1, XP_033323605.1, XP_033323606.1
OG0000041	NP_001262200.1	XP_033339804.1, XP_033322547.1, XP_033322535.1, XP_033322540.1
OG0000041	NP_477037.2	XP_033338815.1
OG0000042	NP_731781.1	XP_033329807.1, XP_033329806.1
OG0000042	NP_651966.2, NP_650201.1, NP_652731.1	XP_033329812.1
OG0000043	NP_001286870.1	XP_033340088.1
OG0000043	NP_524121.2	XP_033339691.1
OG0000044	NP_732652.1, NP_001303538.1, NP_650979.1	XP_033322614.1, XP_033323078.1, XP_033323667.1
OG0000044	NP_651674.3	XP_033334549.1
OG0000045	NP_001188791.2, NP_609522.1, NP_476627.3, NP_610381.1, NP_476628.2, NP_610382.2, NP_476625.2, NP_610384.1, NP_001286198.1, NP_724679.2	XP_033323543.1, XP_033329211.1, XP_033323567.1, XP_033323555.1
OG0000046	NP_001285139.1	XP_033341697.1
OG0000046	NP_001262586.1	XP_033341090.1
OG0000050	NP_001246965.1, NP_524262.1, NP_001163540.1, NP_524266.1, NP_611678.1, NP_524269.3, NP_001262345.1, NP_524261.1, NP_524259.2, NP_731165.2, NP_001246962.1, NP_001287487.1	XP_033332897.1, XP_033332837.1
OG0000052	NP_610332.3, NP_726254.1, NP_611723.3, NP_611722.2, NP_001286747.1, NP_001286144.1, NP_611724.1, NP_651903.2, NP_611725.2, NP_611376.1, NP_001286591.1, NP_611375.2	XP_033323679.1
OG0000054	NP_477282.2, NP_729146.1, NP_729147.1	XP_033321391.1, XP_033321390.1
OG0000055	NP_001284925.1	XP_033327524.1, XP_033327522.1, XP_033327526.1, XP_033327525.1
OG0000055	NP_650904.3	XP_033330133.1
OG0000055	NP_001246914.1	XP_033323580.1
OG0000056	NP_001369131.1	XP_033329125.1, XP_033343017.1
OG0000056	NP_647937.2	XP_033329947.1
OG0000056	NP_995958.2	XP_033342931.1, XP_033342927.1
OG0000057	NP_524290.2	XP_033330917.1, XP_033338102.1
OG0000057	NP_523842.2	XP_033338099.1
OG0000057	NP_729172.1	XP_033338103.1
OG0000060	NP_650848.1	XP_033325149.1, XP_033325147.1
OG0000060	NP_001163168.1	XP_033326345.1, XP_033326346.1, XP_033326347.1, XP_033326349.1, XP_033326348.1, XP_033326352.1, XP_033326351.1, XP_033326344.1
OG0000061	NP_001097692.1	XP_033328585.1
