GO.ID,Term,Annotated,Significant,Expected,classicFisher,classicFisherPadj
GO:0031047,gene silencing by RNA,86,15,0.93,8.9e-15,1.88502e-11
GO:0098869,cellular oxidant detoxification,31,10,0.34,4.4e-13,4.6596e-10
GO:0035194,post-transcriptional gene silencing by R...,61,12,0.66,1.2e-12,5.5068e-10
GO:0097237,cellular response to toxic substance,34,10,0.37,1.3e-12,5.5068e-10
GO:1990748,cellular detoxification,34,10,0.37,1.3e-12,5.5068e-10
GO:0016246,RNA interference,35,10,0.38,1.7e-12,6.001e-10
GO:0016441,posttranscriptional gene silencing,66,12,0.71,3.2e-12,9.682285714285714e-10
GO:0000045,autophagosome assembly,34,9,0.37,5.2e-11,1.3767e-8
GO:1905037,autophagosome organization,36,9,0.39,9.3e-11,2.1886e-8
GO:0016236,macroautophagy,89,12,0.96,1.3e-10,2.7534e-8
GO:0016458,gene silencing,177,15,1.92,4.2e-10,8.08690909090909e-8
GO:0098754,detoxification,67,10,0.73,1.8e-9,3.177e-7
GO:0006914,autophagy,182,14,1.97,6.2e-9,9.379714285714285e-7
GO:0061919,process utilizing autophagic mechanism,182,14,1.97,6.2e-9,9.379714285714285e-7
GO:0007033,vacuole organization,58,9,0.63,8.7e-9,1.22844e-6
GO:0009636,response to toxic substance,80,10,0.87,1.1e-8,1.370470588235294e-6
GO:0044248,cellular catabolic process,773,27,8.37,1.1e-8,1.370470588235294e-6
GO:0000422,autophagy of mitochondrion,30,7,0.32,2.2e-8,2.452421052631579e-6
GO:0061726,mitochondrion disassembly,30,7,0.32,2.2e-8,2.452421052631579e-6
GO:0010608,posttranscriptional regulation of gene e...,202,14,2.19,2.4e-8,2.5416e-6
GO:0006979,response to oxidative stress,115,11,1.25,3.2e-8,3.2274285714285718e-6
GO:0061912,selective autophagy,20,6,0.22,4.5e-8,4.332272727272727e-6
GO:0060033,anatomical structure regression,50,8,0.54,4.8e-8,4.420173913043478e-6
GO:0008219,cell death,330,17,3.57,5.2e-8,4.5890000000000004e-6
GO:0012501,programmed cell death,295,16,3.19,6.7e-8,5.67624e-6
GO:0009267,cellular response to starvation,75,9,0.81,8.8e-8,7.168615384615385e-6
GO:1903008,organelle disassembly,37,7,0.4,1e-7,7.844444444444445e-6
GO:0035096,larval midgut cell programmed cell death,23,6,0.25,1.1e-7,8.033793103448276e-6
GO:0044275,cellular carbohydrate catabolic process,23,6,0.25,1.1e-7,8.033793103448276e-6
GO:0031669,cellular response to nutrient levels,81,9,0.88,1.7e-7,1.2001999999999998e-5
GO:0009056,catabolic process,879,27,9.52,1.8e-7,1.2298064516129033e-5
GO:0031668,cellular response to extracellular stimu...,82,9,0.89,1.9e-7,1.2575625e-5
