Orthogroup	Nasonia_vitripennis	Bombyx_mori
OG0000000	XP_031777452.1, XP_031781161.1, XP_032457929.1, XP_031777424.1	XP_037873721.1
OG0000000	XP_031777459.1, XP_031788869.1, XP_031781371.1, XP_031781370.1, XP_031783905.1	XP_037871132.1, XP_037873349.1, XP_037868785.1, XP_037877019.1, XP_037871118.1, XP_037867970.1, XP_037873726.1, XP_037877015.1, XP_037866942.1, XP_037870089.1, XP_037876482.1
OG0000001	NP_001166001.1, XP_031789348.1, NP_001165999.1, XP_031787437.1, XP_001604822.1, XP_031780875.1, XP_031780867.1, XP_032451660.1, XP_001603529.3, NP_001165939.1, XP_016843419.1	NP_001106226.1, NP_001266427.1, XP_012545238.2, NP_001073135.1, NP_001104007.1
OG0000001	XP_032451623.1, XP_032451622.1, XP_008208821.1, XP_001599214.2, XP_032451621.1	NP_001296520.1, NP_001266295.1
OG0000001	XP_001603508.1, NP_001165940.1, XP_001599460.2, NP_001165997.1, NP_001165995.1, NP_001165996.1, XP_001599361.4, NP_001165998.1	XP_037874444.1, XP_037874445.1, XP_037874443.1, XP_037874442.1, NP_001108340.1
OG0000003	XP_031789191.1, XP_031784109.1	XP_037869604.1, XP_037867144.1, XP_037876915.1, XP_037877219.1, XP_037877221.1
OG0000003	XP_031785823.1, XP_031781096.1, XP_031784226.1, XP_031785932.1, XP_031776870.1, XP_031788863.1	XP_037871022.1, XP_037871711.1, XP_037876186.1
OG0000003	XP_031781091.1, XP_031788338.1	XP_037870359.1, XP_037877164.1, XP_037869337.1, XP_037867960.1, XP_037866968.1, XP_037871610.1, XP_037873146.1, XP_037873148.1, XP_037873147.1, XP_037876654.1, XP_037870220.1
OG0000003	XP_031777336.1, XP_016844563.1	XP_037870101.1, XP_021204964.2, XP_037875250.1, XP_037870130.1, XP_037870373.1, XP_037867208.1
OG0000007	XP_031778752.1	XP_012547514.2, XP_037873313.1
OG0000007	XP_016843940.2, XP_016843176.1	XP_021203932.1, XP_037875444.1
OG0000008	XP_001602085.1	XP_012548163.2
OG0000008	XP_031788628.1	XP_012548032.1
OG0000008	XP_003424681.1, XP_031782089.1, XP_016845733.1, XP_003427944.1, XP_003424536.2, XP_001602364.1, XP_016844951.1, XP_016843209.1	XP_037872354.1
OG0000008	XP_001602133.1	XP_012548168.1
OG0000008	XP_001600419.1	XP_021205470.2
OG0000008	XP_032456689.1, XP_032456688.1, XP_001601943.1	XP_037872353.1, XP_012548164.1
OG0000009	XP_032456865.1, NP_001166017.1, XP_031788634.1, XP_031788637.1, NP_001166016.1, XP_031788638.1, NP_001165945.1, NP_001166009.1, NP_001166010.1, XP_001608020.1, XP_001608016.1, NP_001166011.1, NP_001166012.1, XP_001603857.1, XP_001605061.4, NP_001166013.1, XP_003423799.1, XP_003423800.1, XP_003423798.1, NP_001165942.1, XP_001608022.1	XP_037872543.1, NP_001095934.1, XP_037872544.1, NP_001103394.1, NP_001103404.1, NP_001077079.1, XP_021202508.2, NP_001108456.1
OG0000012	XP_032452116.1, XP_032452115.1, XP_016838732.1	XP_012543999.1, NP_001037317.1
OG0000013	XP_001599179.2	XP_004933313.1
OG0000013	XP_031777922.1	NP_001040399.1
OG0000013	XP_001608166.1, XP_001608174.1	NP_001091756.1
OG0000014	XP_031777920.1, XP_008202922.2, XP_016839318.1, XP_031778022.1, XP_001607834.1, XP_001605477.2, XP_003427402.1, XP_003427829.1	NP_001040247.1
OG0000015	XP_031789010.1, XP_008202049.2, XP_031779863.1, XP_031788347.1	XP_037867165.1, XP_037868016.1
OG0000015	XP_016843648.1	XP_037870072.1, XP_037875870.1, XP_037876882.1, XP_037877171.1, XP_037871468.1, XP_037872518.1, XP_037871047.1, XP_004932994.2, XP_037875930.1, XP_037877009.1, XP_037869621.1, XP_037869019.1, XP_037867765.1, XP_037874319.1, XP_037867584.1, XP_037866485.1, XP_037871430.1, XP_037871618.1, XP_037876638.1, XP_037866484.1, XP_037868118.1, XP_004933999.2, XP_037867909.1, XP_037868192.1, XP_004927109.3
OG0000016	XP_031782910.1, XP_031785914.1, XP_031785821.1, XP_032457816.1, XP_031786062.1, XP_031788870.1, XP_008206132.1, XP_031782977.1	XP_037875269.1, XP_037869058.1
OG0000017	NP_001165915.1, XP_031787492.1, XP_001600187.1	NP_001037183.1
OG0000017	NP_001165913.1, NP_001165914.1	XP_037877194.1, NP_001037546.1, XP_037867588.1, XP_037877193.1, XP_037867593.1, NP_001036974.1
OG0000018	XP_008214580.1	XP_037871931.1
OG0000018	XP_031784239.1	XP_021205339.2, XP_037871705.1
OG0000018	XP_032455220.1, XP_001603263.2, XP_001603558.2, XP_001603825.1	NP_001243945.1, XP_037871800.1
OG0000019	XP_032454031.1, XP_008206500.1, XP_032457652.1, XP_031776844.1	NP_001268819.1, XP_037869432.1, NP_001040220.1
OG0000019	XP_016841509.1, XP_031783474.1, XP_003424417.1	XP_037866672.1, XP_004931474.1, XP_004925522.1, XP_021203269.2, XP_004922003.2
OG0000019	XP_031777606.1, XP_008213182.2, XP_016840785.1, XP_001602620.2	NP_001119718.1, XP_037872951.1, XP_004924270.3, XP_021204440.2, XP_004928788.2, XP_037874708.1, XP_012545204.1, XP_004927001.2, XP_021204176.1
OG0000019	XP_031783671.1	XP_004927318.1
OG0000020	XP_031778749.1, XP_031781856.1	XP_012552719.1, XP_021202222.1
OG0000020	XP_016838656.1, XP_031778996.1	XP_037867242.1, XP_012549186.1
OG0000021	XP_032452884.1, XP_016845846.1, XP_001607795.1	XP_004932475.1, XP_021207797.1
OG0000021	XP_031782052.1, XP_008203719.1	XP_012546046.1
OG0000021	XP_001603725.1	XP_004926417.1
OG0000021	XP_001601834.2	XP_037869061.1
OG0000022	XP_032456078.1	NP_001153667.1
OG0000023	XP_001608226.1, XP_001608234.1, XP_001599909.1, XP_003424473.1, XP_016844748.1, XP_001607906.1, XP_031778032.1, XP_031778031.1, XP_031777923.1, XP_031778030.1, XP_001607725.1, XP_031787982.1, XP_001607191.1, XP_031787525.1, XP_016836789.2, XP_001603608.1, XP_001607945.1	NP_001153668.1
OG0000024	XP_003425961.1, XP_016838044.1, XP_001606051.1, XP_001599715.1, XP_001599851.1, XP_001606577.2, XP_001604918.1, XP_001604981.1, XP_008209485.1, XP_008209484.1, XP_001600270.1	XP_037872402.1
OG0000024	NP_001166221.1	XP_004924130.1
OG0000026	XP_032452024.1	XP_037867257.1
OG0000026	XP_008204831.1	XP_021205952.1, XP_037874519.1, XP_037874423.1
OG0000026	XP_001599637.2, XP_001599666.2	XP_004929451.1, XP_012548588.1
OG0000027	XP_001599220.1	NP_001153669.1
OG0000027	XP_031787587.1	XP_012551883.1
OG0000028	XP_031789120.1, XP_031783906.1	XP_037871212.1
OG0000028	XP_031783222.1	XP_037876479.1
OG0000029	XP_031787434.1, NP_001166269.1, NP_001166268.1, NP_001166270.1, NP_001166276.1, NP_001166277.1, XP_032455898.1, NP_001153407.1, NP_001161335.1	NP_001036866.1, NP_001166691.1, NP_001166687.1
OG0000029	NP_001166265.1, NP_001166275.1, NP_001161319.1, NP_001166272.1	NP_001093082.1, NP_001166690.1, NP_001166689.1
OG0000030	XP_031776890.1, XP_032457890.1, XP_001600309.1, XP_031776892.1, XP_008217013.1	XP_004926017.1
OG0000032	XP_016838416.1	XP_012545284.2, XP_021208619.1
OG0000032	XP_031787250.1	XP_004931720.1
OG0000032	XP_001608012.1, NP_001164368.1, XP_003426142.1, XP_016840393.1, NP_001164369.1	XP_037867207.1, XP_004924199.2, NP_001036966.1, XP_012549133.1
OG0000033	XP_031788710.1, XP_008205139.1	XP_004925104.2, XP_004925103.1
OG0000035	XP_016838618.1, XP_032453168.1, XP_031780251.1, XP_008204964.1	NP_001243971.1, NP_001243970.1, NP_001243969.1, NP_001243968.1, NP_001274756.1, XP_037870343.1, NP_001243972.1, XP_037870428.1
OG0000036	XP_001607369.1, XP_031776621.1, XP_032451907.1, XP_032451908.1, XP_008215341.1, NP_001155022.1, XP_031776641.1, XP_003423856.1, XP_032451911.1, XP_016845877.1, XP_008215340.1	XP_037877629.1, XP_012544322.2
OG0000037	XP_008216622.1, XP_008216623.1	NP_001166634.1, NP_001166643.1, NP_001166640.1, XP_021207417.1, NP_001166642.1, NP_001166626.1, NP_001166646.1, NP_001166657.1, NP_001166648.1, NP_001166659.1, NP_001166661.1, NP_001166647.1, NP_001166654.1, NP_001166652.1, NP_001166656.1, NP_001166655.1, NP_001166651.1, NP_001166653.1, NP_001166650.1, XP_012550695.2, XP_037874610.1, NP_001166649.1, NP_001166658.1, NP_001166660.1, XP_037874849.1, XP_037874613.1, XP_037874612.1, NP_001166662.1, NP_001036864.1, NP_001166674.1, NP_001166673.1, NP_001166676.1, NP_001166675.1, NP_001036838.1, NP_001166677.1, XP_012550704.2, NP_001166625.1, NP_001166671.1, NP_001166678.1, XP_012550693.1, NP_001166641.1, XP_004931961.1, NP_001166635.1, NP_001166644.1, NP_001166637.1
OG0000038	XP_001607699.1, XP_001604160.1	NP_001036884.1
OG0000038	XP_031786847.1, XP_032452100.1	NP_001036886.1, XP_021204307.1
OG0000039	XP_031778424.1	XP_037877377.1, XP_037875720.1, XP_037875730.1, XP_037875679.1, XP_037877102.1, XP_037877190.1, XP_037877066.1, XP_037875873.1, XP_037875721.1, XP_037875722.1, XP_037875265.1, XP_037867939.1, XP_037877376.1, XP_037877375.1, XP_037870392.1, XP_037870333.1, XP_012548402.1, XP_012548403.1, XP_021207874.2, XP_037866956.1, XP_037868982.1, XP_037877018.1, XP_012548919.1
OG0000040	XP_001607871.2, XP_031788471.1, XP_031783595.1, XP_032452313.1, XP_032456102.1, XP_016837475.1, XP_016836866.1, NP_001166253.1, XP_032457056.1, NP_001166073.1, NP_001166069.1, XP_016838948.1, NP_001166068.1, XP_016838625.2, XP_001605658.3, XP_031779738.1, XP_032453050.1, NP_001166054.1, XP_016837013.1	XP_037871589.1, XP_037877007.1
OG0000041	XP_032453601.1, NP_001157191.1, NP_001157192.1	XP_037872547.1, NP_001119727.1
