GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0002181	cytoplasmic translation	117	81	56.22	3.4e-07	3.4e-07	3.825e-4	7.649999999999999e-5
GO:0006261	DNA-dependent DNA replication	83	58	39.88	1.0e-05	1.0e-05	0.005625000000000001	0.0011250000000000001
GO:0042273	ribosomal large subunit biogenesis	55	41	26.43	2.4e-05	2.4e-05	0.009000000000000001	0.0018
GO:0030261	chromosome condensation	50	37	24.03	4.3e-05	4.3e-05	0.01209375	0.00225
GO:0007088	regulation of mitotic nuclear division	57	40	27.39	9.9e-05	9.9e-05	0.02025	0.0038793103448275866
GO:0051301	cell division	291	142	139.83	0.00013	0.00010	0.02025	0.0038793103448275866
GO:0050767	regulation of neurogenesis	236	118	113.4	0.00014	0.47512	0.02025	0.9398091766723843
GO:0051028	mRNA transport	58	41	27.87	0.00017	0.00017	0.02025	0.0059765625
GO:0010557	positive regulation of macromolecule biosynthetic process	443	229	212.87	0.00017	0.01653	0.02025	0.1464271653543307
GO:0000070	mitotic sister chromatid segregation	86	59	41.33	0.00018	0.00018	0.02025	0.006136363636363637
GO:0045132	meiotic chromosome segregation	57	39	27.39	0.00022	0.00022	0.0225	0.006875
GO:0006259	DNA metabolic process	256	160	123.01	0.00039	9.3e-07	0.0365625	1.74375e-4
GO:0032270	positive regulation of cellular protein metabolic process	255	123	122.53	0.00052	0.36344	0.04499999999999999	0.8494679752066115
GO:0031328	positive regulation of cellular biosynthetic process	477	245	229.21	0.00122	0.01509	0.09803571428571428	0.1397950819672131
GO:0022618	ribonucleoprotein complex assembly	109	65	52.38	0.00155	0.00155	0.11624999999999999	0.02724609375
GO:0031503	protein-containing complex localization	74	48	35.56	0.00178	0.00178	0.12515625	0.029448529411764703
GO:0006281	DNA repair	169	103	81.21	0.00228	0.00080	0.14625	0.016874999999999998
GO:0007052	mitotic spindle organization	64	40	30.75	0.00234	0.00234	0.14625	0.03567434210526316
GO:0002009	morphogenesis of an epithelium	515	244	247.47	0.00266	0.92051	0.1575	1
GO:1901990	regulation of mitotic cell cycle phase transition	80	53	38.44	0.00312	0.00312	0.1755	0.043333333333333335
GO:0007140	male meiotic nuclear division	58	36	27.87	0.00399	0.00399	0.20556818181818182	0.049697802197802204
GO:0045995	regulation of embryonic development	66	44	31.71	0.00402	0.00402	0.20556818181818182	0.049697802197802204
GO:0010467	gene expression	1782	907	856.3	0.00440	0.00030	0.20859375	0.008653846153846153
GO:0051225	spindle assembly	55	33	26.43	0.00445	0.00445	0.20859375	0.05325797872340426
GO:0009950	dorsal/ventral axis specification	64	40	30.75	0.00495	0.00495	0.22275000000000003	0.058007812500000006
GO:0006310	DNA recombination	99	60	47.57	0.00565	0.00399	0.2444711538461538	0.049697802197802204
GO:0009152	purine ribonucleotide biosynthetic process	66	37	31.71	0.00640	0.00640	0.2593581081081081	0.07272727272727272
GO:0006643	membrane lipid metabolic process	67	31	32.2	0.00651	0.69060	0.2593581081081081	1
GO:0042773	ATP synthesis coupled electron transport	50	32	24.03	0.00672	0.00672	0.2593581081081081	0.0756
GO:0070925	organelle assembly	343	187	164.82	0.00709	0.01184	0.2593581081081081	0.11963169642857144
GO:0016477	cell migration	259	125	124.46	0.00745	0.53856	0.2593581081081081	0.9867752442996743
GO:0007018	microtubule-based movement	154	75	74	0.00779	0.37109	0.2593581081081081	0.8519318181818183
GO:0006364	rRNA processing	133	77	63.91	0.00812	0.00812	0.2593581081081081	0.08783653846153847
GO:0032543	mitochondrial translation	91	48	43.73	0.00821	0.00821	0.2593581081081081	0.08796428571428572
GO:0016049	cell growth	131	62	62.95	0.00831	0.34099	0.2593581081081081	0.8214427194860814
GO:0006260	DNA replication	107	74	51.42	0.00833	3.2e-07	0.2593581081081081	7.649999999999999e-5
GO:0006650	glycerophospholipid metabolic process	99	48	47.57	0.00853	0.61365	0.2593581081081081	1
GO:0051783	regulation of nuclear division	61	44	29.31	0.00890	3.6e-05	0.26348684210526313	0.002131578947368421
GO:0072521	purine-containing compound metabolic process	133	77	63.91	0.00927	0.00054	0.26690625	0.01265625
GO:0051640	organelle localization	200	107	96.11	0.00949	0.00317	0.26690625	0.04349085365853658
GO:0048477	oogenesis	502	251	241.22	0.01022	0.04716	0.2794186046511628	0.3049137931034483
GO:0009581	detection of external stimulus	60	37	28.83	0.01068	0.05050	0.2794186046511628	0.31717541436464086
GO:0009582	detection of abiotic stimulus	60	37	28.83	0.01068	0.05050	0.2794186046511628	0.31717541436464086
GO:0010628	positive regulation of gene expression	456	230	219.12	0.01152	0.08683	0.29454545454545455	0.432228982300885
GO:0030239	myofibril assembly	56	35	26.91	0.01323	0.01323	0.31545	0.12830818965517243
GO:0019098	reproductive behavior	84	40	40.36	0.01325	0.66925	0.31545	1
GO:0044238	primary metabolic process	3514	1742	1688.57	0.01339	0.00107	0.31545	0.020754310344827588
GO:0006997	nucleus organization	61	36	29.31	0.01370	0.01370	0.31545	0.13061440677966102
GO:2000241	regulation of reproductive process	95	48	45.65	0.01399	0.24430	0.31545	0.708289641943734
GO:0009451	RNA modification	102	41	49.01	0.01402	0.93884	0.31545	1
GO:0048666	neuron development	516	267	247.95	0.01520	0.10658	0.3352941176470588	0.4971849173553719
GO:0046942	carboxylic acid transport	77	46	37	0.01599	0.01599	0.3402594339622641	0.1430357142857143
GO:0042461	photoreceptor cell development	88	46	42.29	0.01603	0.23842	0.3402594339622641	0.7070169712793734
GO:0033044	regulation of chromosome organization	123	57	59.1	0.01694	0.37090	0.35291666666666666	0.8519318181818183
GO:0007306	eggshell chorion assembly	67	39	32.2	0.01798	0.01798	0.36777272727272725	0.15208646616541352
GO:0034250	positive regulation of cellular amide metabolic process	65	38	31.23	0.01887	0.01887	0.3790848214285715	0.1548291366906475
GO:0060249	anatomical structure homeostasis	134	69	64.39	0.01940	0.14024	0.3828947368421053	0.5695667870036101
GO:0007098	centrosome cycle	62	38	29.79	0.02062	0.02062	0.39675000000000005	0.16569642857142858
GO:0007283	spermatogenesis	178	98	85.53	0.02108	0.00855	0.39675000000000005	0.09074292452830189
GO:0032870	cellular response to hormone stimulus	99	51	47.57	0.02116	0.01834	0.39675000000000005	0.15283333333333332
GO:1903827	regulation of cellular protein localization	58	38	27.87	0.02187	0.02187	0.40334016393442623	0.170859375
GO:0061982	meiosis I cell cycle process	74	41	35.56	0.02229	0.02229	0.40445564516129034	0.17175513698630138
GO:0007143	female meiotic nuclear division	61	34	29.31	0.02424	0.02424	0.4328571428571429	0.18302013422818794
GO:0006996	organelle organization	1478	762	710.22	0.02629	0.00083	0.46212890625	0.016977272727272726
GO:0010948	negative regulation of cell cycle process	57	35	27.39	0.02681	0.02681	0.46401923076923074	0.1997433774834437
GO:0048542	lymph gland development	57	32	27.39	0.02780	0.02780	0.4738636363636364	0.20441176470588232
GO:0032990	cell part morphogenesis	386	197	185.48	0.02994	0.21331	0.5012867647058823	0.6831498579545454
GO:1902600	proton transmembrane transport	54	29	25.95	0.03030	0.03030	0.5012867647058823	0.21991935483870967
