Orthogroup	Drosophila_melanogaster	Anopheles_gambiae
OG0000001	NP_001285631.1, NP_001286199.1, NP_610390.1, NP_001286431.1, NP_001286149.1, NP_001286435.1, NP_001287562.1, NP_523749.2, NP_523628.1, NP_611003.2, NP_523748.2, NP_001286433.1, NP_611000.2, NP_611002.3, NP_611001.2	XP_312049.4, XP_312050.1, XP_312048.1, XP_312047.2, XP_563271.1, XP_003436271.1, XP_312054.2, XP_001688205.1, XP_309693.4, XP_317261.1, XP_317260.1, XP_317263.1, XP_555257.2, XP_317257.2, XP_001237903.1, XP_317256.3, XP_001237902.1
OG0000001	NP_610744.1, NP_610745.1, NP_608457.1, NP_001285499.1, NP_001286335.1, NP_001286145.1	XP_563971.3
OG0000006	NP_524078.2, NP_524455.1, NP_524456.1	XP_320909.1, XP_320910.3
OG0000006	NP_523647.2, NP_523721.1	XP_310173.1, XP_310172.2
OG0000008	NP_572981.1	XP_310333.7
OG0000008	NP_572985.1	XP_310338.7, XP_310337.6
OG0000008	NP_651466.1	XP_312388.4, XP_312387.5
OG0000008	NP_572978.1, NP_572977.1	XP_003436608.1, XP_003436609.1, XP_003436607.1
OG0000008	NP_001285251.1	XP_310332.7, XP_003436611.1
OG0000008	NP_001285249.1	XP_559558.6, XP_003436610.1
OG0000008	NP_572987.1	XP_310340.1
OG0000009	NP_523850.1, NP_610820.1, NP_523645.1, NP_523646.1, NP_001350862.1, NP_650189.1	XP_316781.2
OG0000012	NP_611066.1	XP_316143.4
OG0000012	NP_610673.1, NP_523692.1, NP_523691.1, NP_610674.5, NP_651732.1, NP_611479.2, NP_001027441.1, NP_001097340.1	XP_317829.4
OG0000012	NP_722915.1, NP_001285772.1	XP_554157.3, XP_319603.2, XP_317170.2, XP_317171.2, XP_317172.2, XP_555167.1, XP_317173.2, XP_317175.2, XP_317174.2, XP_318046.3, XP_319102.4, XP_001231167.2
OG0000012	NP_001036717.1	XP_321898.3, XP_001689374.2, XP_308888.1, XP_001689375.2, XP_001689376.2, XP_321901.4, XP_001238557.2
OG0000013	NP_001027338.1	XP_307081.3
OG0000013	NP_001027378.1	XP_307606.3
OG0000013	NP_001027373.1, NP_001027323.1, NP_001027328.1, NP_001027363.1, NP_001027368.1, NP_001027353.1, NP_001027358.1, NP_001027348.1, NP_001027343.1, NP_001027289.1, NP_001027285.1, NP_001027333.1	XP_307601.3
OG0000013	NP_001259374.1	XP_321242.1, XP_320335.2, XP_320336.2
OG0000013	NP_001260082.1	XP_003435952.1
OG0000014	NP_001027290.1, NP_001027282.1, NP_001027369.1, NP_001027374.1, NP_001027379.1, NP_001027334.1, NP_001027286.1, NP_001027344.1, NP_001027349.1, NP_001027359.1, NP_001027354.1, NP_001027364.1, NP_001027329.1, NP_001027324.1, NP_001027319.1, NP_001027314.1, NP_001027384.1, NP_724341.1, NP_001027304.1, NP_001027309.1, NP_001027299.1, NP_001027295.1, NP_001027339.1	XP_314186.3, XP_314184.1, XP_314185.3, XP_309451.4, XP_311486.4
