GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0099738	cell cortex region	68	21	7.47	1.8e-06	1.9e-06	3.1255e-4	8.93e-5
GO:0048786	presynaptic active zone	28	11	3.07	1.9e-06	1.9e-06	3.1255e-4	8.93e-5
GO:0031594	neuromuscular junction	87	24	9.55	1.5e-05	1.5e-05	0.001316	3.76e-4
GO:0005887	integral component of plasma membrane	332	57	36.45	1.6e-05	1.6e-05	0.001316	3.76e-4
GO:0005886	plasma membrane	1062	178	116.6	0.00019	3.5e-11	0.012502000000000001	5.7575000000000004e-9
GO:0042734	presynaptic membrane	28	9	3.07	0.00030	0.00030	0.01457	0.0050995
GO:0098858	actin-based cell projection	31	6	3.4	0.00031	0.00031	0.01457	0.0050995
GO:0030424	axon	197	38	21.63	0.00040	1.3e-05	0.014987777777777779	3.76e-4
GO:0048471	perinuclear region of cytoplasm	87	13	9.55	0.00041	0.00041	0.014987777777777779	0.006423333333333333
GO:0005700	polytene chromosome	175	31	19.21	0.00061	0.00256	0.020068999999999997	0.02394388888888889
GO:0045179	apical cortex	47	10	5.16	0.00130	0.00130	0.038881818181818184	0.013796774193548387
GO:0009986	cell surface	64	14	7.03	0.00209	0.00209	0.05730083333333333	0.021487812499999998
GO:0030863	cortical cytoskeleton	31	7	3.4	0.00230	0.00230	0.05820769230769231	0.022546176470588233
GO:0045211	postsynaptic membrane	47	13	5.16	0.00290	0.00290	0.06814999999999999	0.025786486486486484
GO:0016324	apical plasma membrane	76	11	8.34	0.00360	0.00360	0.07896	0.029609999999999997
GO:0016028	rhabdomere	31	7	3.4	0.00556	0.00556	0.10978210526315789	0.04254046511627907
GO:0030136	clathrin-coated vesicle	32	7	3.51	0.00614	0.00614	0.10978210526315789	0.045559347826086956
GO:1902495	transmembrane transporter complex	80	14	8.78	0.00625	0.00056	0.10978210526315789	0.0073696
GO:0061174	type I terminal bouton	29	3	3.18	0.00634	0.00634	0.10978210526315789	0.045559347826086956
GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	24	6	2.63	0.00784	0.00784	0.12502	0.05488
GO:0045178	basal part of cell	32	8	3.51	0.00820	0.00820	0.12502	0.05620416666666667
GO:0099572	postsynaptic specialization	25	3	2.74	0.00864	0.00864	0.12502	0.058011428571428575
GO:0098797	plasma membrane protein complex	140	27	15.37	0.00874	0.00378	0.12502	0.030332195121951216
GO:0036464	cytoplasmic ribonucleoprotein granule	72	11	7.9	0.01055	0.18250	0.13923280000000002	0.48165600000000003
GO:0005615	extracellular space	280	53	30.74	0.01058	0.01058	0.13923280000000002	0.06482518518518518
GO:0005912	adherens junction	65	13	7.14	0.01268	0.01268	0.16045076923076923	0.074495
GO:0005789	endoplasmic reticulum membrane	268	37	29.42	0.01487	0.02136	0.1811937037037037	0.10334470588235294
GO:0032154	cleavage furrow	27	4	2.96	0.01572	0.01572	0.18140379310344829	0.08765898305084747
GO:0030660	Golgi-associated vesicle membrane	22	4	2.42	0.01599	0.01599	0.18140379310344829	0.0876785
GO:0031253	cell projection membrane	79	8	8.67	0.01767	0.78527	0.193781	1
GO:0008021	synaptic vesicle	67	15	7.36	0.01830	0.01830	0.19421612903225807	0.09597546875
GO:0005829	cytosol	854	91	93.76	0.02171	0.72752	0.2232059375	1
GO:0043195	terminal bouton	61	10	6.7	0.02266	0.00046	0.2259133333333333	0.006442916666666667
GO:0016021	integral component of membrane	1728	225	189.72	0.02431	0.00046	0.23505222222222222	0.006442916666666667
GO:0030139	endocytic vesicle	33	10	3.62	0.02565	0.02565	0.23505222222222222	0.11591616438356164
GO:0043025	neuronal cell body	103	20	11.31	0.02572	0.02572	0.23505222222222222	0.11591616438356164
GO:0098793	presynapse	198	38	21.74	0.02790	5.6e-07	0.24808378378378376	4.2112e-5
GO:0045177	apical part of cell	146	26	16.03	0.02892	1.3e-05	0.24979325	3.76e-4
GO:0034703	cation channel complex	45	6	4.94	0.02989	0.02989	0.24979325	0.1303181818181818
GO:0005802	trans-Golgi network	42	2	4.61	0.03037	0.03037	0.24979325	0.1303181818181818
GO:0043005	neuron projection	365	56	40.07	0.03263	0.00086	0.26183585365853657	0.00975655172413793
GO:0043231	intracellular membrane-bounded organelle	3330	342	365.6	0.03358	0.96007	0.2630433333333333	1
GO:0005918	septate junction	39	5	4.28	0.03649	0.03649	0.27919093023255814	0.1482124691358025
GO:0098802	plasma membrane signaling receptor complex	41	7	4.5	0.03969	0.03969	0.2912	0.1554525
GO:0031225	anchored component of membrane	35	7	3.84	0.04122	0.04122	0.2912	0.15914418604651162
GO:0034702	ion channel complex	72	12	7.9	0.04143	0.00335	0.2912	0.028260256410256413
GO:0005783	endoplasmic reticulum	366	52	40.18	0.04160	0.04160	0.2912	0.15914418604651162
GO:0030425	dendrite	98	9	10.76	0.04612	0.04612	0.3161141666666667	0.1724259090909091
GO:0019897	extrinsic component of plasma membrane	39	11	4.28	0.04725	0.00069	0.31725000000000003	0.008731153846153845
GO:0031966	mitochondrial membrane	225	7	24.7	0.05079	0.99925	0.3341982	1
GO:0030054	cell junction	494	91	54.24	0.05325	1.0e-10	0.34351470588235294	1.0966666666666667e-8
GO:0031201	SNARE complex	23	2	2.53	0.05834	0.05834	0.36643150943396224	0.20638559139784948
GO:0030684	preribosome	61	3	6.7	0.05903	0.70593	0.36643150943396224	1
GO:1990904	ribonucleoprotein complex	475	33	52.15	0.06129	0.99420	0.373415	1
GO:0031981	nuclear lumen	898	85	98.59	0.06350	0.88945	0.37984545454545454	1
GO:0016327	apicolateral plasma membrane	24	4	2.63	0.06875	0.06875	0.4034578947368421	0.23318298969072165
GO:0005856	cytoskeleton	461	44	50.61	0.06990	0.79103	0.4034578947368421	1
GO:0031012	extracellular matrix	96	11	10.54	0.07355	0.08952	0.4159656666666667	0.29160475247524753
GO:0120111	neuron projection cytoplasm	37	4	4.06	0.07560	0.70991	0.4159656666666667	1
GO:1902494	catalytic complex	747	64	82.01	0.07586	0.99791	0.4159656666666667	1
GO:0005634	nucleus	2086	224	229.02	0.07887	0.16081	0.4206954838709678	0.4445923529411765
GO:0005925	focal adhesion	26	2	2.85	0.07928	0.07928	0.4206954838709678	0.26615428571428573
GO:0030120	vesicle coat	26	5	2.85	0.08594	0.08594	0.4487977777777778	0.28559858585858583
GO:0016328	lateral plasma membrane	23	1	2.53	0.08870	0.08870	0.44905969230769227	0.29160475247524753
GO:0060293	germ plasm	33	5	3.62	0.08872	0.56025	0.44905969230769227	1
GO:0016323	basolateral plasma membrane	49	5	5.38	0.09066	0.09066	0.45058268656716416	0.2924229411764706
GO:0030662	coated vesicle membrane	33	6	3.62	0.09176	0.02528	0.45058268656716416	0.11591616438356164
GO:0098687	chromosomal region	142	16	15.59	0.09514	0.81416	0.4603097058823529	1
GO:0035327	transcriptionally active chromatin	22	6	2.42	0.09727	0.09727	0.46379463768115936	0.3086273076923077
GO:0045495	pole plasm	41	5	4.5	0.09957	0.58277	0.4648630985915493	1
GO:0031672	A band	20	4	2.2	0.10032	0.10032	0.4648630985915493	0.314336
GO:1902562	H4 histone acetyltransferase complex	38	3	4.17	0.10359	0.10359	0.47334875000000004	0.32151990566037736
GO:0030055	cell-substrate junction	36	4	3.95	0.10601	0.01064	0.4777710958904109	0.06482518518518518
GO:0017053	transcription repressor complex	29	4	3.18	0.10813	0.10813	0.48074013513513514	0.3324744859813084
GO:0035097	histone methyltransferase complex	32	8	3.51	0.11484	0.11484	0.5037648	0.34662715596330274
GO:0031968	organelle outer membrane	38	2	4.17	0.11772	0.95978	0.5096036842105263	1
GO:0098552	side of membrane	68	11	7.47	0.12292	0.02458	0.5175330487804877	0.11591616438356164
GO:0030018	Z disc	53	7	5.82	0.12352	0.12352	0.5175330487804877	0.3626278761061947
GO:0045169	fusome	26	3	2.85	0.12455	0.12455	0.5175330487804877	0.3626278761061947
GO:0015629	actin cytoskeleton	101	13	11.09	0.12748	0.09756	0.5175330487804877	0.3086273076923077
GO:0120025	plasma membrane bounded cell projection	543	74	59.62	0.12785	0.00313	0.5175330487804877	0.027099210526315788
GO:0098588	bounding membrane of organelle	370	41	40.62	0.12899	0.76650	0.5175330487804877	1
GO:0005703	polytene chromosome puff	38	8	4.17	0.13951	0.13951	0.552997469879518	0.39567922413793105
GO:0043235	receptor complex	61	10	6.7	0.14454	0.01481	0.566115	0.08548228070175438
GO:0099080	supramolecular complex	299	38	32.83	0.15068	0.24648	0.5830186046511628	0.5670763636363637
GO:0099081	supramolecular polymer	215	25	23.6	0.15240	0.45204	0.5830186046511628	0.9013403636363636
GO:0005798	Golgi-associated vesicle	44	10	4.83	0.15718	0.00905	0.5943933333333332	0.058381372549019615
GO:0030658	transport vesicle membrane	36	6	3.95	0.16291	0.34614	0.6012657777777777	0.7443141176470588
GO:0030427	site of polarized growth	21	4	2.31	0.16421	0.13243	0.6012657777777777	0.37886495652173907
GO:0043292	contractile fiber	74	8	8.12	0.16448	0.05389	0.6012657777777777	0.1969978888888889
GO:0005938	cell cortex	172	32	18.88	0.16702	4.2e-05	0.6038415384615384	9.212e-4
GO:0000785	chromatin	316	38	34.69	0.16937	0.19764	0.6056818478260869	0.48165600000000003
GO:0031226	intrinsic component of plasma membrane	345	60	37.88	0.17333	5.8e-06	0.6131781720430108	2.1202222222222226e-4
GO:0016604	nuclear body	61	6	6.7	0.17864	0.34462	0.6208161458333333	0.7443141176470588
GO:0000792	heterochromatin	30	4	3.29	0.18089	0.18089	0.6208161458333333	0.48165600000000003
GO:0097060	synaptic membrane	67	21	7.36	0.18115	1.4e-05	0.6208161458333333	3.76e-4
GO:1902911	protein kinase complex	40	3	4.39	0.18408	0.21088	0.6243538144329897	0.5064198540145985
GO:0031227	intrinsic component of endoplasmic reticulum membrane	59	6	6.48	0.18999	0.21079	0.6282622330097087	0.5064198540145985
GO:0035770	ribonucleoprotein granule	73	12	8.01	0.19173	0.16863	0.6282622330097087	0.46232725
GO:0031985	Golgi cisterna	30	3	3.29	0.19415	0.19415	0.6282622330097087	0.48165600000000003
GO:0030496	midbody	24	1	2.63	0.19492	0.19492	0.6282622330097087	0.48165600000000003
