GO.ID,Term,Annotated,Significant,Expected,classicFisher,classicFisherPadj
GO:0098542,defense response to other organism,278,44,1.99,1e-30,1.3237500000000001e-28
GO:0006952,defense response,285,44,2.04,1e-30,1.3237500000000001e-28
GO:0009607,response to biotic stimulus,323,44,2.32,1e-30,1.3237500000000001e-28
GO:0043207,response to external biotic stimulus,323,44,2.32,1e-30,1.3237500000000001e-28
GO:0051707,response to other organism,323,44,2.32,1e-30,1.3237500000000001e-28
GO:0044419,interspecies interaction between organis...,331,44,2.37,1e-30,1.3237500000000001e-28
GO:0002376,immune system process,377,43,2.7,1e-30,1.3237500000000001e-28
GO:0006955,immune response,234,37,1.68,1e-30,1.3237500000000001e-28
GO:0009605,response to external stimulus,792,46,5.68,1e-30,1.3237500000000001e-28
GO:0006950,response to stress,976,47,7,1e-30,1.3237500000000001e-28
GO:0002682,regulation of immune system process,191,31,1.37,1e-30,1.3237500000000001e-28
GO:0045087,innate immune response,152,29,1.09,1e-30,1.3237500000000001e-28
GO:0002831,regulation of response to biotic stimulu...,137,26,0.98,1e-30,1.3237500000000001e-28
GO:0031347,regulation of defense response,125,25,0.9,1e-30,1.3237500000000001e-28
GO:0002252,immune effector process,127,25,0.91,1e-30,1.3237500000000001e-28
GO:0050776,regulation of immune response,132,25,0.95,1e-30,1.3237500000000001e-28
GO:0032101,regulation of response to external stimu...,201,27,1.44,2.2e-29,2.740941176470588e-27
GO:0002697,regulation of immune effector process,71,20,0.51,2.6e-28,3.059333333333333e-26
GO:0009617,response to bacterium,167,25,1.2,3.1e-28,3.455684210526316e-26
GO:0006959,humoral immune response,92,21,0.66,1.3e-27,1.3767e-25
GO:0080134,regulation of response to stress,263,27,1.89,3.9e-26,3.9334285714285716e-24
GO:0042742,defense response to bacterium,157,23,1.13,1.4e-25,1.3478181818181815e-23
GO:0019730,antimicrobial humoral response,85,18,0.61,6.5e-23,5.985652173913043e-21
GO:0048583,regulation of response to stimulus,857,36,6.14,9.3e-23,8.20725e-21
GO:0050896,response to stimulus,2290,48,16.42,3.8e-22,3.2193600000000003e-20
GO:0002920,regulation of humoral immune response,62,16,0.44,7e-22,5.702307692307693e-20
GO:0002759,regulation of antimicrobial humoral resp...,59,15,0.42,2e-20,1.5688888888888887e-18
GO:0009615,response to virus,49,14,0.35,7e-20,5.295e-18
GO:0002833,positive regulation of response to bioti...,81,16,0.58,7.9e-20,5.577399999999999e-18
GO:0050778,positive regulation of immune response,81,16,0.58,7.9e-20,5.577399999999999e-18
GO:0032103,positive regulation of response to exter...,105,17,0.75,1.7e-19,1.1614838709677421e-17
GO:0009620,response to fungus,40,13,0.29,2.5e-19,1.6546875e-17
GO:0002775,antimicrobial peptide production,54,14,0.39,3.3e-19,1.9969714285714285e-17
GO:0002784,regulation of antimicrobial peptide prod...,54,14,0.39,3.3e-19,1.9969714285714285e-17
GO:0061844,antimicrobial humoral immune response me...,54,14,0.39,3.3e-19,1.9969714285714285e-17
GO:0002684,positive regulation of immune system pro...,89,16,0.64,4e-19,2.3533333333333334e-17
GO:0002440,production of molecular mediator of immu...,55,14,0.39,4.4e-19,2.4524210526315786e-17
GO:0002700,regulation of production of molecular me...,55,14,0.39,4.4e-19,2.4524210526315786e-17
GO:0051607,defense response to virus,42,13,0.3,5.2e-19,2.8240000000000004e-17
GO:0008063,Toll signaling pathway,78,15,0.56,2.1e-18,1.11195e-16
GO:0031349,positive regulation of defense response,67,14,0.48,9.3e-18,4.804243902439024e-16
GO:0002225,positive regulation of antimicrobial pep...,42,12,0.3,4.1e-17,1.973590909090909e-15
GO:0002699,positive regulation of immune effector p...,42,12,0.3,4.1e-17,1.973590909090909e-15
GO:0002702,positive regulation of production of mol...,42,12,0.3,4.1e-17,1.973590909090909e-15
GO:0045088,regulation of innate immune response,74,14,0.53,4.2e-17,1.9768e-15
GO:0002760,positive regulation of antimicrobial hum...,43,12,0.31,5.6e-17,2.523574468085106e-15
GO:0002922,positive regulation of humoral immune re...,43,12,0.31,5.6e-17,2.523574468085106e-15
GO:0050832,defense response to fungus,33,11,0.24,1.3e-16,5.736249999999999e-15
GO:0050829,defense response to Gram-negative bacter...,81,14,0.58,1.6e-16,6.915918367346939e-15
GO:0007154,cell communication,1526,38,10.94,2.6e-16,1.1013599999999999e-14
GO:0050688,regulation of defense response to virus,21,9,0.15,6.4e-15,2.6578823529411763e-13
GO:0023052,signaling,1489,36,10.68,1.4e-14,5.702307692307693e-13
GO:0007165,signal transduction,1294,34,9.28,1.5e-14,5.994339622641509e-13
GO:0051716,cellular response to stimulus,1718,38,12.32,1.7e-14,6.667777777777778e-13
GO:0008592,regulation of Toll signaling pathway,38,10,0.27,5.5e-14,2.118e-12
GO:0052548,regulation of endopeptidase activity,54,11,0.39,5.9e-14,2.231464285714286e-12
GO:0030162,regulation of proteolysis,130,14,0.93,1.5e-13,5.573684210526315e-12
GO:0008219,cell death,330,19,2.37,3e-13,1.0769491525423728e-11
GO:0052547,regulation of peptidase activity,62,11,0.44,3e-13,1.0769491525423728e-11
GO:0050777,negative regulation of immune response,47,10,0.34,5.8e-13,2.0473999999999997e-11
GO:0061057,peptidoglycan recognition protein signal...,34,9,0.24,1.1e-12,3.8193442622950814e-11
GO:0050794,regulation of cellular process,2992,45,21.45,1.4e-12,4.782580645161291e-11
GO:0007166,cell surface receptor signaling pathway,662,24,4.75,1.9e-12,6.387619047619048e-11
GO:0012501,programmed cell death,295,17,2.12,7.4e-12,2.4489375e-10
GO:0045861,negative regulation of proteolysis,43,9,0.31,1.1e-11,3.584307692307692e-10
GO:0010646,regulation of cell communication,795,25,5.7,1.3e-11,4.049117647058824e-10
GO:0023051,regulation of signaling,795,25,5.7,1.3e-11,4.049117647058824e-10
GO:0002683,negative regulation of immune system pro...,63,10,0.45,1.3e-11,4.049117647058824e-10
GO:0050789,regulation of biological process,3225,45,23.12,3.3e-11,1.0129565217391305e-9
GO:0009966,regulation of signal transduction,691,23,4.95,4.1e-11,1.2405428571428572e-9
GO:0048584,positive regulation of response to stimu...,462,19,3.31,1.2e-10,3.5797183098591546e-9
GO:0065007,biological regulation,3588,46,25.73,2.5e-10,7.354166666666667e-9
GO:0010951,negative regulation of endopeptidase act...,25,7,0.18,2.7e-10,7.833698630136986e-9
