Orthogroup	Megalopta_genalis	Tribolium_castaneum
OG0000000	XP_033329027.1, XP_033333383.1	XP_015839988.1
OG0000000	XP_033323553.1	XP_015840338.1
OG0000001	XP_033341784.1	NP_001137200.1, XP_008192267.1, NP_001177722.1, XP_975563.1, NP_001280531.1, NP_001164249.1, XP_015834314.1, NP_001280532.1, XP_015834315.1, XP_975569.1, XP_008192269.1, XP_975562.1, XP_008192266.1, XP_015834510.1, XP_015834511.1
OG0000001	XP_033339718.1	XP_969875.1
OG0000001	XP_033326710.1, XP_033338373.1, XP_033338371.1, XP_033322509.1	XP_966774.1, XP_015833657.1, XP_970561.1, XP_970633.1, XP_015835338.1, XP_008194912.1
OG0000002	XP_033330629.1	XP_015839871.1
OG0000003	XP_033335210.1	XP_015840258.1
OG0000004	XP_033329188.1, XP_033335544.1, XP_033324576.1, XP_033330456.1, XP_033335286.1, XP_033331633.1, XP_033331394.1, XP_033332067.1, XP_033339841.1	XP_015834342.1
OG0000008	XP_033329050.1	XP_972338.1
OG0000008	XP_033321018.1, XP_033321034.1	XP_972175.3
OG0000008	XP_033329521.1	XP_969421.1
OG0000008	XP_033329051.1	XP_972430.2
OG0000008	XP_033329032.1, XP_033329033.1, XP_033329034.1	XP_015836551.1, XP_015836552.1
OG0000008	XP_033321020.1, XP_033321019.1	XP_008191970.1
OG0000009	XP_033323903.1, XP_033323904.1, XP_033323905.1, XP_033321090.1, XP_033323894.1, XP_033323884.1, XP_033323895.1, XP_033323898.1, XP_033323897.1, XP_033323886.1, XP_033323896.1, XP_033323885.1, XP_033323887.1	XP_008200085.1, XP_008197409.1, XP_015838530.1, XP_015838531.1, XP_015838490.1, XP_008197433.1, XP_008197432.2, XP_008197346.1, NP_001034541.1, XP_015838491.1, XP_008194628.1, XP_015838026.1, XP_015838027.1, XP_975385.1, NP_001164248.1, XP_015838170.1, NP_001123895.1, NP_001127706.1, XP_015838024.1, XP_972546.1, XP_973619.2
OG0000012	XP_033324767.1, XP_033324764.1	XP_008192552.1
OG0000013	XP_033328965.1	XP_969677.1
OG0000013	XP_033328623.1	XP_966487.1
OG0000013	XP_033330794.1, XP_033330796.1, XP_033330795.1, XP_033330798.1	XP_008197392.1
OG0000014	XP_033328582.1, XP_033328621.1, XP_033328603.1, XP_033328576.1	XP_015840416.1, XP_008196666.2, XP_008201493.1, XP_008195798.2, XP_008193830.1
OG0000016	XP_033327074.1	XP_015840352.1, XP_015840124.1
OG0000017	XP_033323611.1	XP_967395.1, XP_971136.1, XP_966872.2, XP_008200938.1, XP_966966.2, XP_967147.1, XP_971203.1, XP_966787.1, XP_015838196.1, XP_008201195.2, XP_015838248.1, XP_008190708.1, XP_015838206.1, XP_971509.1, XP_008200937.1
OG0000017	XP_033341624.1, XP_033341626.1	XP_015834775.1, XP_974273.1
OG0000018	XP_033334915.1	XP_008200429.1
OG0000018	XP_033333868.1, XP_033333867.1	XP_008193119.1, XP_968748.1, XP_015835557.1, XP_973693.2, XP_015838295.1, XP_015838053.1, XP_969711.1, XP_008194698.1, XP_973658.2, XP_008193214.1, XP_008193215.1, XP_015835529.1, XP_008193213.1, XP_008193216.1, XP_972534.1
OG0000018	XP_033342252.1	XP_008194092.1, XP_969781.1
OG0000018	XP_033327648.1	XP_969849.1, XP_008194093.1, XP_008193834.1
OG0000019	XP_033335083.1	XP_975378.1
OG0000019	XP_033337986.1	XP_973103.2, XP_973187.1, XP_008192578.1, XP_001813143.1, XP_973063.1
OG0000019	XP_033321516.1	XP_972874.1, XP_015834337.1, XP_008192577.2
OG0000020	XP_033341111.1	XP_008201408.1
OG0000020	XP_033336086.1	XP_008201409.2
OG0000020	XP_033340707.1	XP_969457.2
OG0000021	XP_033334588.1	XP_008197404.1
OG0000021	XP_033327467.1	XP_008196932.1
OG0000021	XP_033336486.1, XP_033336485.1	XP_008197203.1, XP_969207.1
OG0000022	XP_033326609.1	XP_966580.1, XP_966943.2, XP_973583.2, XP_974617.2, XP_967411.1
OG0000024	XP_033341678.1	XP_970056.2
OG0000026	XP_033339312.1	XP_015833705.1
OG0000026	XP_033332814.1	XP_008193329.1
OG0000026	XP_033330956.1, XP_033330958.1	XP_969357.3
OG0000026	XP_033340742.1	XP_966472.1
OG0000026	XP_033321049.1, XP_033333310.1, XP_033333311.1, XP_033333313.1, XP_033333314.1	XP_015840897.1
OG0000027	XP_033328627.1	XP_008199927.1, XP_008199050.2
OG0000028	XP_033320862.1	XP_015836641.1
OG0000029	XP_033327291.1, XP_033327295.1	XP_008201392.1, XP_967557.1, XP_015839833.1, XP_015839837.1, XP_971332.1
OG0000029	XP_033338642.1, XP_033327378.1, XP_033327383.1	XP_015840495.1, XP_008201389.1, XP_008201390.1
OG0000030	XP_033328822.1, XP_033328819.1, XP_033328820.1, XP_033328821.1	XP_966905.1
OG0000030	XP_033335422.1, XP_033335421.1, XP_033331554.1, XP_033335506.1, XP_033335423.1, XP_033335414.1, XP_033335507.1, XP_033339400.1	XP_015837668.1, XP_972973.1, XP_008195701.1, XP_971355.1, XP_015837936.1, XP_008197791.2, XP_008197787.1, XP_971534.2
OG0000032	XP_033338046.1	XP_001807564.1
OG0000032	XP_033335963.1	XP_008197173.2
OG0000032	XP_033322500.1, XP_033322501.1, XP_033322502.1, XP_033339875.1, XP_033322503.1, XP_033340631.1	XP_969958.1, XP_970026.1
OG0000033	XP_033331624.1	XP_015837581.1, XP_015839927.1, XP_015839926.1
OG0000035	XP_033326685.1	XP_008191815.1, XP_008191817.1, XP_971626.2, XP_008191746.2, XP_008191790.1
OG0000035	XP_033326629.1, XP_033326628.1	XP_973091.2, XP_008190471.1, XP_015838951.1, XP_015838653.1, XP_967762.1, XP_967685.3, XP_015838842.1, XP_967924.1, XP_015838843.1, XP_972644.2, XP_015838642.1, XP_015838857.1, XP_972496.1, XP_008197534.1, XP_015838775.1, XP_015838840.1, XP_015838776.1, XP_008197589.1, XP_972090.2, XP_008197588.1, XP_008197586.1, XP_972349.2, XP_008197585.1, XP_008197584.1, XP_972444.1
OG0000036	XP_033340191.1, XP_033340178.1, XP_033341270.1, XP_033341293.1, XP_033341282.1, XP_033341364.1, XP_033324523.1, XP_033324493.1	XP_967476.1, XP_001811753.1
OG0000037	XP_033322268.1	XP_008192993.1, XP_015835222.1, XP_970216.2, XP_008193006.2, XP_008193010.2, XP_015835218.1, XP_966991.2, XP_015835223.1, XP_001809825.2, XP_015835468.1, XP_968523.2, XP_015835220.1, XP_015835221.1, XP_008190973.2, XP_970770.1, XP_970895.1, XP_008200145.1
OG0000038	XP_033327650.1	XP_966584.1
OG0000039	XP_033327710.1	XP_008191547.1
OG0000040	XP_033322715.1, XP_033322612.1	NP_001161088.1
OG0000040	XP_033342116.1, XP_033323605.1, XP_033323606.1	NP_001161129.1, XP_008193161.1, NP_001161087.1, XP_970321.1, NP_001161083.1
OG0000041	XP_033333605.1	NP_001165844.1
OG0000041	XP_033322537.1, XP_033339804.1, XP_033322547.1, XP_033322535.1, XP_033322540.1	XP_008199969.1, XP_966415.1, XP_008199982.1, XP_966495.1
OG0000041	XP_033338815.1	XP_967305.1
OG0000042	XP_033329807.1, XP_033329806.1	XP_008194542.2, NP_001306196.1, NP_001306192.1, XP_008197185.1, XP_015839870.1, XP_015839869.1, XP_015839872.1, XP_015839873.1, XP_015839874.1, XP_008197171.1, XP_008191083.1, NP_001137206.1, XP_968970.1, NP_001306194.1, NP_001306195.1, XP_008194716.1
OG0000042	XP_033339770.1, XP_033333624.1, XP_033342791.1	XP_974033.1, XP_015840580.1
OG0000042	XP_033329812.1	XP_008198874.1, NP_001182164.1, XP_008199928.1, NP_001180578.1
OG0000043	XP_033340088.1	XP_008193777.1, NP_001039289.1
OG0000043	XP_033339691.1	NP_001039285.1
OG0000043	XP_033330269.1	NP_001039279.1, NP_001039280.1, NP_001039278.1
OG0000044	XP_033334549.1	XP_008200957.1
OG0000045	XP_033323543.1, XP_033329211.1, XP_033323567.1, XP_033323555.1	XP_015834974.1, XP_015834972.1
OG0000046	XP_033341697.1	XP_008200986.2, XP_015838368.1
OG0000046	XP_033341090.1	XP_966611.1
OG0000048	XP_033333402.1	XP_008193917.1
OG0000049	XP_033329024.1	XP_015840032.1, XP_015840259.1, XP_015839930.1, XP_015840220.1, XP_015840324.1, XP_015837476.1, XP_008194621.1
OG0000049	XP_033334390.1, XP_033329021.1	XP_969027.1, XP_015839705.1, XP_015837946.1, XP_015840443.1
OG0000050	XP_033332897.1, XP_033332837.1	XP_967835.1, XP_967268.2, XP_008195484.1, XP_967439.2, NP_001034512.1, NP_001034534.1, XP_008195481.1, XP_967916.2, XP_015838352.1, XP_015840854.1
OG0000052	XP_033323679.1	XP_015838429.1, XP_008197309.1, XP_974366.1, XP_015838434.1, XP_974340.1, XP_974289.1, XP_015838419.1, XP_008197312.1, XP_974427.1
OG0000054	XP_033321391.1, XP_033321390.1	XP_970381.1
OG0000055	XP_033327524.1, XP_033327522.1, XP_033327526.1, XP_033327525.1	XP_971821.3
OG0000055	XP_033330133.1	XP_969454.3
OG0000055	XP_033323580.1	XP_008194095.1
OG0000056	XP_033329125.1, XP_033343017.1	XP_015835680.1
OG0000056	XP_033329947.1	XP_008197222.1
OG0000056	XP_033321060.1	XP_015834565.1
OG0000056	XP_033332176.1	XP_015839288.1
OG0000056	XP_033342931.1, XP_033342927.1	XP_970084.2
OG0000057	XP_033338100.1	XP_967267.1
OG0000057	XP_033330917.1	XP_969993.1
OG0000057	XP_033338099.1	XP_967348.1
OG0000057	XP_033338103.1	XP_968314.1
OG0000060	XP_033325149.1, XP_033325147.1	XP_008194927.2
OG0000060	XP_033326345.1, XP_033326346.1, XP_033326347.1, XP_033326349.1, XP_033326348.1, XP_033326352.1, XP_033326351.1, XP_033326344.1	XP_015836433.1, XP_973431.2, XP_008194835.1, XP_008194834.1, XP_008194832.1, XP_015836434.1
OG0000061	XP_033328585.1	XP_969936.2
OG0000061	XP_033333649.1	XP_008197154.2
OG0000062	XP_033339725.1, XP_033323498.1, XP_033339724.1	XP_973442.1, XP_974390.1, XP_966780.1, XP_974367.1, XP_973378.1, XP_973344.1, XP_975377.1
OG0000063	XP_033331128.1	XP_015837412.1
OG0000065	XP_033320904.1	XP_015834020.1
