Orthogroup	Nasonia_vitripennis	Eufriesea_mexicana
OG0000000	XP_031779811.1, XP_031781320.1, XP_008214147.2	XP_017765002.1
OG0000001	NP_001166007.1, NP_001165974.1, NP_001166008.1, XP_001606687.2, XP_001607043.2, NP_001166004.1, NP_001166003.1, XP_001602787.1	XP_017753392.1, XP_017753391.1
OG0000001	NP_001166001.1, XP_031789348.1, NP_001165999.1, XP_031787437.1, XP_001604822.1, XP_031780875.1, XP_031780867.1, XP_032451660.1, XP_001603529.3, NP_001165939.1, XP_016843419.1	XP_017758028.1, XP_017758027.1, XP_017758031.1, XP_017758026.1, XP_017757765.1, XP_017757760.1, XP_017757755.1, XP_017757759.1, XP_017757781.1, XP_017757757.1, XP_017757758.1, XP_017757797.1, XP_017757798.1, XP_017757795.1, XP_017757796.1, XP_017757799.1, XP_017757740.1, XP_017757764.1, XP_017757780.1, XP_017757738.1
OG0000001	XP_032451623.1, XP_032451622.1, XP_008208821.1, XP_001599214.2, XP_032451621.1	XP_017759613.1
OG0000001	XP_001603508.1, NP_001165940.1, XP_001599460.2	XP_017767083.1
OG0000001	NP_001165997.1, NP_001165995.1, NP_001165996.1, XP_001599361.4, NP_001165998.1	XP_017759625.1
OG0000002	NP_001177429.1	XP_017759746.1
OG0000002	NP_001177432.1, NP_001177433.1, XP_032453629.1, NP_001177435.1, NP_001177467.1, NP_001177434.1	XP_017759702.1, XP_017759703.1, XP_017759734.1, XP_017759707.1, XP_017759704.1, XP_017759700.1, XP_017759706.1, XP_017759708.1
OG0000002	NP_001177431.1	XP_017759729.1, XP_017759714.1, XP_017759715.1, XP_017759716.1, XP_017759712.1, XP_017759730.1, XP_017759757.1, XP_017759752.1, XP_017759759.1, XP_017759710.1, XP_017759755.1, XP_017759744.1, XP_017759709.1, XP_017759756.1, XP_017759713.1
OG0000008	XP_001602085.1	XP_017764283.1
OG0000008	XP_008205990.2	XP_017764386.1
OG0000008	XP_031788628.1	XP_017752288.1
OG0000008	XP_003424681.1, XP_031782089.1, XP_016845733.1, XP_003427944.1, XP_003424536.2, XP_001602364.1, XP_016844951.1, XP_016843209.1	XP_017765710.1
OG0000008	XP_001602133.1	XP_017764163.1
OG0000008	XP_001600419.1	XP_017764510.1
OG0000008	XP_032456689.1, XP_032456688.1, XP_001601943.1	XP_017764053.1, XP_017763974.1
OG0000009	XP_032456865.1, NP_001166017.1, XP_031788634.1, XP_031788637.1, NP_001166016.1, XP_031788638.1, NP_001165945.1	XP_017757841.1, XP_017757840.1
OG0000009	NP_001166009.1, NP_001166010.1, XP_001608020.1, XP_001608016.1, NP_001166011.1, NP_001166012.1, XP_001603857.1, XP_001605061.4, NP_001166013.1, XP_003423799.1, XP_003423800.1, XP_003423798.1, NP_001165942.1, XP_001608022.1	XP_017765586.1, XP_017758639.1, XP_017758640.1, XP_017758638.1, XP_017765620.1, XP_017758637.1
OG0000012	XP_032452116.1, XP_032452115.1	XP_017754921.1
OG0000012	XP_016838732.1	XP_017754945.1
OG0000012	NP_001166049.1, XP_032452528.1	XP_017765063.1
OG0000012	XP_008205022.1, XP_008205021.1, XP_031781824.1, NP_001166051.1, XP_031778733.1, NP_001166074.1	XP_017765064.1
OG0000012	XP_001603672.1	XP_017765060.1
OG0000013	XP_001599179.2	XP_017764546.1
OG0000013	XP_003425535.1, XP_001607330.1, XP_001603659.1, XP_001608284.1, XP_031778023.1, XP_031787549.1, XP_001607608.3, XP_031777922.1, XP_031777921.1, XP_001607935.1, XP_008218130.1, XP_031778024.1, XP_031778025.1	XP_017754146.1
OG0000013	XP_001608166.1, XP_001608174.1	XP_017760618.1
OG0000017	NP_001165915.1, XP_031787492.1, XP_001600187.1	XP_017756243.1
OG0000017	NP_001165914.1	XP_017756232.1
OG0000018	XP_008214580.1	XP_017763433.1
OG0000018	XP_001604347.2	XP_017760876.1, XP_017760875.1
OG0000018	XP_031784239.1	XP_017760874.1
OG0000018	XP_032455220.1, XP_001603263.2, XP_001603558.2, XP_001603825.1	XP_017758049.1
OG0000019	XP_032454031.1, XP_008206500.1, XP_032457652.1, XP_031776844.1	XP_017758970.1
OG0000019	XP_016841509.1, XP_031783474.1, XP_003424417.1	XP_017754922.1
OG0000019	XP_031783671.1	XP_017757913.1
OG0000020	XP_031781856.1	XP_017763358.1
OG0000020	XP_016838656.1, XP_031778996.1	XP_017763402.1
OG0000021	XP_032452884.1, XP_016845846.1, XP_001607795.1	XP_017759339.1
OG0000021	XP_031782052.1, XP_008203719.1	XP_017763116.1
OG0000021	XP_001603725.1	XP_017758713.1, XP_017758722.1, XP_017758731.1
OG0000021	XP_001601834.2	XP_017764524.1, XP_017763364.1
OG0000021	XP_008201868.1	XP_017755079.1
OG0000022	XP_032456078.1	XP_017765129.1
