GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0044391	ribosomal subunit	164	116	80	1.1e-11	1.1e-11	9.35e-10	2.3375e-10
GO:0098798	mitochondrial protein complex	213	134	103.9	7.3e-07	7.3e-07	3.1025e-5	8.864285714285713e-6
GO:0005730	nucleolus	203	126	99.03	5.3e-05	5.3e-05	0.0012749999999999999	3.0033333333333333e-4
GO:0099080	supramolecular complex	325	184	158.54	6.9e-05	5.3e-06	0.0012749999999999999	5.63125e-5
GO:0000228	nuclear chromosome	345	202	168.3	7.5e-05	0.00039	0.0012749999999999999	0.0015785714285714285
GO:0032991	protein-containing complex	2321	1245	1132.22	0.00015	9.7e-09	0.0021249999999999997	1.6489999999999997e-7
GO:0098687	chromosomal region	159	98	77.56	0.00023	0.00023	0.002792857142857143	9.775e-4
GO:0043232	intracellular non-membrane-bounded organelle	1500	854	731.72	0.00039	1.0e-14	0.00414375	4.25e-13
GO:1990904	ribonucleoprotein complex	530	318	258.54	0.00235	8.6e-08	0.022194444444444447	1.2183333333333332e-6
GO:0005743	mitochondrial inner membrane	194	109	94.64	0.00439	0.00439	0.037315	0.012438333333333334
GO:0099513	polymeric cytoskeletal fiber	163	83	79.51	0.00504	0.00504	0.03894545454545455	0.013819354838709677
GO:0000785	chromatin	344	195	167.81	0.00809	0.00552	0.05730416666666666	0.014662499999999998
GO:0005759	mitochondrial matrix	166	88	80.98	0.01241	0.01241	0.08114230769230768	0.030915714285714282
GO:0005634	nucleus	2272	1182	1108.32	0.02551	6.0e-05	0.15488214285714286	3.1875e-4
GO:0005815	microtubule organizing center	168	83	81.95	0.02871	0.02871	0.15744999999999998	0.06421973684210526
GO:0098796	membrane protein complex	442	238	215.61	0.03141	0.03141	0.15744999999999998	0.0684576923076923
GO:0099512	supramolecular fiber	227	120	110.73	0.03149	0.00141	0.15744999999999998	0.004794
GO:0031967	organelle envelope	378	215	184.39	0.04111	0.00020	0.18453947368421053	9.394736842105264e-4
GO:0005615	extracellular space	306	158	149.27	0.04125	0.04125	0.18453947368421053	0.08765625
