ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"LOC114872242"	NA	chrOU015519.1	+	7599524	7599663	7599745	7599883	7599295	7599442	7599952	7600119	0	1408,1344,1440	1354,1321,1041	6295,1220,1061,1267	5376,1134,986,1102	198	198	0.878665656539	1.0	0.51,0.504,0.58	0.539,0.518,0.518,0.535	0.004
1	"LOC114872156"	NA	chrOU015519.1	+	6941263	6941324	6955725	6955792	6935436	6935558	6966619	6966744	1	0,4,1	5,7,2	1,0,0,0	23,2,1,0	160	166	1	1.0	0.0,0.372,0.342	0.043,0.0,0.0,NA	0.224
2	"LOC114879140"	NA	chrOU015519.1	+	6557527	6562098	6575446	6575494	6555268	6555860	6581212	6581562	2	13,7,8	2,2,4	56,8,5,13	11,1,2,2	198	147	0.596107852538	0.9628754559990533	0.828,0.722,0.598	0.791,0.856,0.65,0.828	-0.065
3	"LOC114879140"	NA	chrOU015519.1	+	6595095	6595267	6596900	6597046	6593426	6593586	6598590	6598680	3	12,7,9	11,9,4	59,11,13,9	65,4,14,11	198	198	0.776277769537	1.0	0.522,0.438,0.692	0.476,0.733,0.481,0.45	0.016
4	"LOC114879140"	NA	chrOU015519.1	+	6595095	6595267	6596900	6597046	6593426	6593586	6599860	6600086	4	12,7,9	2,2,0	60,10,13,9	12,0,2,3	198	198	0.169293037103	0.5256291791688007	0.857,0.778,1.0	0.833,1.0,0.867,0.75	0.016
5	"LOC114879140"	NA	chrOU015519.1	+	6595095	6595267	6598590	6598680	6593426	6593586	6599860	6600086	5	12,7,9	5,6,4	60,10,13,9	18,1,4,6	198	189	0.269990801649	0.695686525839895	0.696,0.527,0.682	0.761,0.905,0.756,0.589	-0.118
6	"LOC114879140"	NA	chrOU015519.1	+	6596900	6597046	6598590	6598680	6593426	6593586	6599860	6600086	6	2,2,0	5,6,4	12,0,2,3	18,1,4,6	198	189	0.0909453239684	0.36020702549929606	0.276,0.241,0.0	0.389,0.0,0.323,0.323	-0.086
7	"LOC114879140"	NA	chrOU015519.1	+	6596900	6597046	6599860	6600086	6595095	6595267	6600480	6600591	7	25,21,20	27,27,25	113,15,30,15	122,19,24,26	198	198	0.785565640205	1.0	0.481,0.438,0.444	0.481,0.441,0.556,0.366	-0.007
8	"LOC114879140"	NA	chrOU015519.1	+	6598590	6598680	6599860	6600086	6596900	6597046	6600480	6600591	8	10,8,4	28,29,25	58,4,13,10	129,19,26,28	189	198	0.13148798006	0.4485626147385602	0.272,0.224,0.144	0.32,0.181,0.344,0.272	-0.066
9	"LOC114879140"	NA	chrOU015519.1	+	6598590	6598680	6599860	6600086	6598032	6598101	6600480	6600591	9	9,11,10	27,27,25	30,8,9,9	121,20,24,27	189	198	0.416932154605	0.839417234687536	0.259,0.299,0.295	0.206,0.295,0.282,0.259	0.024
10	"LOC114876654"	NA	chrOU015519.1	-	5757727	5757772	5758045	5758171	5757385	5757472	5758263	5758399	10	44,58,68	18,21,16	301,54,63,73	76,14,17,25	198	144	0.439164952566	0.8605310740177843	0.64,0.668,0.756	0.742,0.737,0.729,0.68	-0.034
11	"LOC114871485"	NA	chrOU015519.1	+	5540226	5540362	5540468	5540524	5539892	5539976	5540610	5540628	11	3145,2984,4767	1645,1518,1970	21225,4279,4773,4608	11164,2158,2204,2422	198	155	0.515139045925	0.9154109816494801	0.599,0.606,0.654	0.598,0.608,0.629,0.598	0.011
12	"LOC114871553"	NA	chrOU015519.1	-	5330182	5330337	5347706	5347760	5252152	5252257	5373762	5374656	12	0,0,0	4,2,3	0,2,0,0	38,7,13,7	153	198	1	1.0	0.0,0.0,0.0	0.0,0.27,0.0,0.0	-0.068
14	"LOC114871553"	NA	chrOU015519.1	-	5330182	5330337	5404680	5404705	5252152	5252257	5426245	5426957	14	0,2,0	0,0,2	2,1,1,1	21,2,10,4	124	198	1	1.0	NA,1.0,0.0	0.132,0.444,0.138,0.285	0.25
16	"LOC114871522"	NA	chrOU015519.1	+	4824129	4824318	4826791	4826824	4755187	4755549	4827893	4827914	16	23,3,28	1,2,5	89,15,28,19	10,1,4,3	198	132	0.821074298293	1.0	0.939,0.5,0.789	0.856,0.909,0.824,0.809	-0.107
17	"LOC114871522"	NA	chrOU015519.1	+	4826791	4826824	4827893	4827914	4824129	4824318	4840436	4840538	17	114,100,178	0,3,6	518,58,128,111	6,1,2,6	132	120	0.82830948947	1.0	1.0,0.968,0.964	0.987,0.981,0.983,0.944	0.004
18	"LOC114871547"	NA	chrOU015519.1	+	4425996	4426121	4427034	4427197	4423104	4423261	4430488	4430615	18	5783,5335,5812	1173,866,1395	71428,12788,14610,16163	14535,2370,2730,3261	198	198	0.740030412803	1.0	0.831,0.86,0.806	0.831,0.844,0.843,0.832	-0.005
19	"LOC114871547"	NA	chrOU015519.1	+	4427034	4427197	4430488	4430615	4425996	4426121	4432613	4432710	19	4990,4139,4498	1065,856,1100	57565,9605,11388,12999	11582,2082,2219,2763	198	198	0.385585473638	0.8180725721395696	0.824,0.829,0.804	0.833,0.822,0.837,0.825	-0.01
20	"LOC114871547"	NA	chrOU015519.1	+	4430488	4430615	4432613	4432710	4427034	4427197	4433138	4433223	20	1172,866,1395	1123,927,1197	14536,2370,2730,3260	11819,2029,2146,2679	198	196	0.0565609180142	0.2679249958760347	0.508,0.48,0.536	0.549,0.536,0.557,0.546	-0.039
21	"LOC114871547"	NA	chrOU015519.1	+	4432004	4432101	4432613	4432710	4430488	4430615	4433138	4433223	21	30,30,37	2173,1761,2284	230,28,32,52	23264,4102,4345,5423	196	196	0.00294227477138	0.030154160651318193	0.014,0.017,0.016	0.01,0.007,0.007,0.009	0.007
22	"LOC114871547"	NA	chrOU015519.1	+	4432004	4432101	4432613	4432710	4430488	4430615	4433328	4433416	22	32,35,47	1050,839,1094	294,31,38,65	11462,2079,2201,2751	196	196	7.19930011424e-05	0.0013463433409516867	0.03,0.04,0.041	0.025,0.015,0.017,0.023	0.017
23	"LOC114871547"	NA	chrOU015519.1	+	4432004	4432101	4433138	4433223	4430488	4430615	4433328	4433416	23	32,35,47	26,23,54	294,31,38,65	149,33,12,24	196	184	0.0378549434422	0.2128888332476588	0.536,0.588,0.45	0.649,0.469,0.748,0.718	-0.121
24	"LOC114871547"	NA	chrOU015519.1	+	4432004	4432101	4432613	4432710	4430488	4430615	4434371	4434668	24	29,31,37	1050,834,1088	240,30,33,53	11448,2073,2199,2744	196	196	0.000161799380498	0.0026205721091372503	0.027,0.036,0.033	0.021,0.014,0.015,0.019	0.015
25	"LOC114871547"	NA	chrOU015519.1	+	4432004	4432101	4433138	4433223	4430488	4430615	4434371	4434668	25	29,31,37	523,404,527	240,30,33,53	5506,985,1150,1369	196	184	0.000155907056565	0.0025710490964446363	0.049,0.067,0.062	0.039,0.028,0.026,0.035	0.027
26	"LOC114871547"	NA	chrOU015519.1	+	4432004	4432101	4433328	4433416	4430488	4430615	4434371	4434668	26	29,31,37	21,20,36	240,30,33,53	178,27,26,44	196	187	0.976731089598	1.0	0.569,0.597,0.495	0.563,0.515,0.548,0.535	0.013
27	"LOC114871547"	NA	chrOU015519.1	+	4432613	4432710	4433138	4433223	4430488	4430615	4433328	4433416	27	1050,839,1094	26,23,54	11462,2079,2201,2751	149,33,12,24	196	184	1.31228361511e-12	1.1335630846712095e-10	0.974,0.972,0.95	0.986,0.983,0.994,0.991	-0.023
