Orthogroup	Dufourea_novaeangliae	Bombus_terrestris
OG0000000	XP_015438108.1	XP_012174517.1, XP_020723248.1
OG0000001	XP_015434777.1, XP_015434764.1, XP_015434775.1, XP_015434757.1, XP_015434758.1	XP_012170860.1, XP_003400131.1
OG0000001	XP_015434778.1, XP_015434773.1, XP_015434772.1	XP_003400126.1
OG0000001	XP_015434774.1	XP_003400119.1
OG0000001	XP_015438122.1	XP_012170859.1, XP_020721796.1, XP_020721795.1, XP_012170857.1
OG0000002	XP_015431885.1, XP_015430410.1, XP_015434271.1, XP_015431457.1, XP_015439681.1, XP_015429399.1, XP_015431916.1, XP_015431919.1, XP_015431920.1, XP_015431917.1, XP_015431918.1, XP_015431915.1, XP_015429000.1	XP_012171355.1
OG0000002	XP_015437433.1	XP_012174272.1
OG0000003	XP_015433590.1	XP_012174534.1
OG0000006	XP_015434157.1	XP_003400772.1, XP_003400771.1
OG0000006	XP_015435409.1, XP_015438102.1, XP_015435345.1, XP_015440404.1	XP_003392969.1
OG0000006	XP_015434156.1	XP_020718381.1
OG0000007	XP_015439489.1	XP_012167402.1, XP_020720438.1, XP_020719100.1, XP_020723333.1, XP_012173473.1, XP_012173466.1, XP_020720441.1, XP_003397834.1, XP_003403225.1, XP_020720439.1
OG0000008	XP_015433852.1	XP_003396990.1
OG0000008	XP_015434651.1	XP_003394490.1
OG0000009	XP_015437448.1, XP_015437450.1, XP_015437451.1	XP_012171450.1, XP_012171449.1, XP_012171451.1, XP_012171455.1, XP_012171452.1, XP_012171447.1, XP_012171454.1, XP_003400542.1
OG0000010	XP_015437926.1	XP_003401176.1
OG0000010	XP_015437927.1	XP_020722486.1, XP_020722598.1, XP_003401178.1, XP_020722589.1, XP_003403234.2, XP_003403422.1, XP_003401115.1, XP_020722487.1, XP_003401116.2, XP_020722597.1, XP_003403027.1
OG0000011	XP_015432705.1, XP_015432704.1	XP_012170379.1, XP_012170380.1, XP_020721435.1, XP_003399794.1, XP_020721436.1, XP_012170385.1, XP_012170387.1, XP_012170386.1
OG0000012	XP_015432146.1	XP_012170544.1, XP_012170543.1, XP_012170542.1, XP_012170541.1, XP_012170540.1, XP_012170539.1, XP_020721690.1, XP_012170538.1
OG0000013	XP_015438886.1	XP_012175813.1
OG0000013	XP_015438310.1	XP_020723772.1, XP_012175517.1, XP_012175540.2
OG0000014	XP_015435403.1	XP_012166136.1
OG0000014	XP_015435405.1, XP_015440405.1	XP_003392970.1
OG0000015	XP_015432301.1	XP_012171125.2, XP_012174398.2, XP_020721957.1
OG0000017	XP_015435373.1, XP_015435410.1, XP_015438105.1	XP_012175550.1
OG0000018	XP_015429717.1	XP_003398707.1, XP_003398706.1
OG0000019	XP_015437181.1	XP_012164839.1
OG0000021	XP_015437897.1	XP_012175449.1, XP_020723728.1, XP_012171988.1, XP_020723723.1
OG0000021	XP_015437076.1	XP_012175527.2, XP_012167645.1, XP_012174214.1
OG0000022	XP_015433494.1	XP_012173075.1, XP_012173068.1, XP_012173069.1, XP_012173070.1, XP_012173071.1, XP_012173067.1
OG0000025	XP_015428496.1	XP_020723218.1, XP_003402194.1, XP_012173626.1, XP_020723220.1, XP_020723219.1, XP_012173627.1
OG0000026	XP_015431421.1, XP_015431420.1, XP_015431419.1, XP_015431417.1, XP_015431416.1	XP_003398369.1, XP_012168085.1, XP_012168086.1, XP_012168083.1, XP_012168084.1
OG0000027	XP_015436027.1	XP_003398638.1, XP_012168485.1, XP_012168486.1, XP_012168487.1, XP_012168488.1, XP_012168489.1, XP_012168490.1, XP_012168484.1
OG0000028	XP_015429673.1, XP_015429675.1, XP_015429674.1	XP_012174599.1, XP_012174600.1, XP_012174604.1, XP_012174601.1, XP_012174602.1, XP_003402871.1
OG0000029	XP_015435655.1, XP_015435654.1	XP_012167211.1, XP_012167212.1, XP_012167209.1, XP_012167210.1, XP_003397633.1, XP_012167208.1
OG0000031	XP_015432264.1, XP_015432266.1, XP_015432267.1	XP_020721716.1
OG0000032	XP_015429644.1, XP_015429643.1, XP_015429641.1, XP_015429642.1	XP_012166697.1, XP_012166700.1, XP_003397323.1, XP_003397322.1, XP_003397324.1
OG0000033	XP_015437422.1, XP_015437423.1	XP_003400937.1, XP_020721993.1, XP_012171929.1, XP_012171930.1
OG0000034	XP_015439801.1	XP_012164119.1, XP_012164121.1, XP_012164120.1
OG0000034	XP_015435295.1, XP_015435294.1	XP_003393447.1, XP_020721193.1, XP_020721198.1, XP_020721202.1
OG0000035	XP_015434866.1, XP_015434867.1, XP_015434868.1, XP_015434869.1, XP_015434870.1, XP_015434871.1	XP_012172815.1, XP_012172814.1, XP_012172816.1, XP_012172817.1
OG0000036	XP_015438705.1	XP_012169872.1, XP_012169873.1, XP_012169871.1, XP_003399621.1
OG0000037	XP_015429868.1	XP_003396400.1
OG0000038	XP_015428850.1, XP_015428848.1, XP_015428851.1	XP_003399689.1, XP_012170206.1
OG0000038	XP_015439294.1, XP_015439293.1	XP_012173498.1, XP_020723033.1
OG0000039	XP_015428729.1	XP_003399165.1, XP_003399166.1, XP_012169436.1, XP_012169438.1, XP_012169439.1, XP_012169441.1
OG0000040	XP_015436163.1	XP_012167037.1, XP_012167036.1, XP_012167034.1, XP_012167030.1, XP_012167031.1, XP_012167033.1
OG0000041	XP_015430124.1	XP_012175480.1
OG0000042	XP_015436224.1	XP_020720338.1, XP_020720336.1
OG0000042	XP_015436228.1, XP_015436225.1	XP_020720348.1, XP_020720337.1
OG0000043	XP_015430085.1	XP_003393409.1
OG0000044	XP_015434933.1, XP_015434934.1	XP_012172566.2
OG0000046	XP_015431116.1, XP_015431127.1	XP_003393999.1, XP_003393907.1, XP_020722356.1, XP_020723889.1, XP_012175705.1, XP_003394000.1, XP_012175707.1, XP_003393910.1, XP_003393913.1, XP_012175708.2
OG0000047	XP_015436673.1	XP_003396338.1
OG0000048	XP_015440349.1, XP_015435652.1, XP_015435244.1, XP_015437628.1, XP_015429494.1, XP_015436676.1, XP_015433177.1, XP_015434570.1, XP_015437853.1	XP_012171815.1
OG0000049	XP_015435659.1	XP_012166402.1, XP_003393343.1, XP_003393341.1, XP_003393340.1, XP_012166351.1
OG0000050	XP_015430457.1, XP_015430455.1, XP_015430454.1, XP_015430456.1	XP_003403152.1, XP_020723773.1, XP_003403151.1, XP_012175160.1, XP_012175161.1, XP_012175162.1
OG0000051	XP_015438716.1	XP_003394733.1, XP_020721699.1, XP_020723568.1, XP_020723847.1, XP_003403375.2, XP_020723961.1, XP_003403427.2, XP_012175487.2, XP_012175505.2, XP_012175211.1, XP_012175212.1, XP_012174533.1, XP_012173842.1, XP_003402269.1, XP_012175213.2, XP_003402802.1, XP_020723849.1, XP_012174003.2, XP_020723970.1, XP_012175509.2, XP_020723511.1, XP_020723935.1, XP_020723892.1
OG0000052	XP_015440357.1	XP_003402888.1
OG0000052	XP_015440372.1	XP_003402887.1, XP_012174757.1
OG0000054	XP_015440360.1, XP_015440376.1, XP_015440359.1, XP_015440379.1	XP_003402889.2
OG0000055	XP_015436316.1	XP_003397755.1, XP_020720316.1, XP_020720318.1, XP_012167100.1, XP_012167097.1, XP_012167099.1, XP_012167098.1
OG0000056	XP_015438965.1	XP_012171554.1, XP_012171555.1, XP_003400605.1, XP_012171557.1, XP_012171558.1, XP_003400606.1
