,ProteinID,Length
0,NP_001010975.1,300
1,NP_001011562.1,87
2,NP_001011563.1,567
3,NP_001011564.1,416
4,NP_001011565.1,587
5,NP_001011566.1,500
6,NP_001011567.1,456
7,NP_001011568.1,288
8,NP_001011570.1,156
9,NP_001011571.1,352
10,NP_001011572.1,712
11,NP_001011573.1,953
12,NP_001011574.1,615
13,NP_001011575.1,537
14,NP_001011576.1,339
15,NP_001011578.1,1770
16,NP_001011579.1,432
17,NP_001011580.1,452
18,NP_001011581.1,678
19,NP_001011582.1,78
20,NP_001011583.1,130
21,NP_001011584.1,405
22,NP_001011585.1,388
23,NP_001011586.1,690
24,NP_001011587.1,134
25,NP_001011588.1,143
26,NP_001011589.1,136
27,NP_001011590.1,144
28,NP_001011591.1,142
29,NP_001011592.1,232
30,NP_001011593.1,146
31,NP_001011594.1,399
32,NP_001011595.1,402
33,NP_001011596.1,1124
34,NP_001011597.1,543
35,NP_001011598.1,493
36,NP_001011599.1,598
37,NP_001011600.1,683
38,NP_001011601.1,544
39,NP_001011602.1,652
40,NP_001011603.1,355
41,NP_001011604.2,208
42,NP_001011605.1,371
43,NP_001011606.1,377
44,NP_001011607.1,70
45,NP_001011608.1,567
46,NP_001011610.1,464
47,NP_001011611.2,50
48,NP_001011612.1,46
49,NP_001011613.1,168
50,NP_001011614.1,167
51,NP_001011615.1,129
52,NP_001011616.2,95
53,NP_001011617.1,53
54,NP_001011618.1,77
55,NP_001011619.1,382
56,NP_001011620.1,246
57,NP_001011621.1,555
58,NP_001011622.1,437
59,NP_001011623.1,1040
60,NP_001011624.1,933
61,NP_001011625.1,541
62,NP_001011626.2,126
63,NP_001011627.1,693
64,NP_001011628.1,461
65,NP_001011629.1,1598
66,NP_001011630.1,132
67,NP_001011631.1,554
68,NP_001011632.1,603
69,NP_001011633.1,510
70,NP_001011634.1,427
71,NP_001011635.1,411
72,NP_001011636.1,135
73,NP_001011637.1,366
74,NP_001011638.1,104
75,NP_001011639.2,377
76,NP_001011640.1,253
77,NP_001011641.1,247
78,NP_001011643.1,646
79,NP_001011644.1,316
80,NP_001011650.1,699
81,NP_001011652.1,153
82,NP_001011653.2,143
83,NP_001011654.1,148
84,NP_001012431.1,223
85,NP_001012633.1,332
86,NP_001012645.1,832
87,NP_001012980.1,1143
88,NP_001012981.1,107
89,NP_001013024.1,996
90,NP_001013377.2,401
91,NP_001013379.1,1370
92,NP_001014429.1,443
93,NP_001014430.1,145
94,NP_001014983.1,694
95,NP_001014991.1,1946
96,NP_001014992.2,463
97,NP_001014993.1,461
98,NP_001014994.1,363
99,NP_001019868.1,423
100,NP_001027532.1,898
101,NP_001032395.1,405
102,NP_001035057.1,328
103,NP_001035293.1,122
104,NP_001035294.1,145
105,NP_001035295.1,135
106,NP_001035296.1,135
107,NP_001035297.1,135
108,NP_001035298.1,135
109,NP_001035299.1,135
110,NP_001035310.1,160
111,NP_001035311.1,152
112,NP_001035313.1,135
113,NP_001035314.1,132
114,NP_001035315.1,132
115,NP_001035316.1,143
116,NP_001035317.1,135
117,NP_001035319.1,150
118,NP_001035320.1,628
119,NP_001035321.1,120
120,NP_001035323.1,548
121,NP_001035324.1,499
122,NP_001035325.2,1886
123,NP_001035326.1,588
124,NP_001035327.1,1522
125,NP_001035345.1,630
126,NP_001035346.1,212
127,NP_001035347.1,517
128,NP_001035348.1,409
129,NP_001035349.1,580
130,NP_001035352.2,145
131,NP_001035353.1,504
132,NP_001035354.1,349
133,NP_001035355.1,471
134,NP_001035356.1,429
135,NP_001035357.1,495
136,NP_001035359.1,128
137,NP_001035360.1,92
138,NP_001035771.1,801
139,NP_001035923.1,250
140,NP_001035925.1,330
141,NP_001071276.1,998
142,NP_001071277.1,447
143,NP_001071278.1,117
144,NP_001071279.1,428
145,NP_001071280.1,489
146,NP_001071281.1,969
147,NP_001071282.1,128
148,NP_001071283.1,484
149,NP_001071285.1,397
150,NP_001071286.1,486
151,NP_001071287.1,125
152,NP_001071288.1,116
153,NP_001071289.1,501
154,NP_001071290.1,510
155,NP_001071291.1,171
156,NP_001071292.1,613
157,NP_001071293.1,385
158,NP_001072129.1,104
159,NP_001073028.1,520
