Orthogroup	Solenopsis_invicta	Bombus_terrestris
OG0000000	XP_011171895.1	XP_012175230.1
OG0000000	XP_025997408.1, XP_039309650.1, XP_011174413.3	XP_012174870.1, XP_012171987.1, XP_012175227.1
OG0000001	XP_039312729.1, XP_011170312.2, XP_039312609.1, XP_039312344.1, XP_039312343.1, XP_039312342.1, XP_039312341.1, XP_039312340.1, XP_039312352.1, XP_039312733.1, XP_039312720.1, XP_039312719.1, XP_039312723.1, XP_039312861.1, XP_039312722.1, XP_011165642.3, XP_039306285.1, XP_039312730.1, XP_039312734.1, XP_039301776.1, XP_025997129.2, XP_039306128.1, XP_011164151.3, XP_039312726.1, XP_039312725.1, XP_039312353.1	XP_020720552.1, XP_003398646.1
OG0000001	NP_001306576.1, XP_011159731.1	XP_003395878.1
OG0000001	XP_011173390.1, XP_039305737.1, XP_011173391.1, XP_011173392.2, XP_011173393.2	XP_003400131.1, XP_012170860.1, XP_003400126.1, XP_003400119.1, XP_020721795.1, XP_012170857.1, XP_020721796.1, XP_012170859.1, XP_012170861.1, XP_012170855.1
OG0000001	XP_011164185.1	XP_012168947.1
OG0000001	XP_011162032.2, XP_039315612.1	XP_012175298.1, XP_003393848.1, XP_012170233.1, XP_020721551.1, XP_012170221.2, XP_012170223.1, XP_003399696.2, XP_003403418.2, XP_003403397.3
OG0000002	XP_025986773.2, XP_025986694.2, XP_039304867.1, XP_011159003.3	XP_003393901.1, XP_020722318.1, XP_020722314.1, XP_020723992.1, XP_020723938.1
OG0000002	XP_011175322.2, XP_011158991.3	XP_020724018.1, XP_003393988.2
OG0000002	XP_039304861.1, XP_025986698.2, XP_025986687.1, XP_025986681.1	XP_020722961.1, XP_012175713.1, XP_012175608.1, XP_012175715.1, XP_012175716.1, XP_012175714.1, XP_012175717.1, XP_012175609.1
OG0000002	XP_011159024.2	XP_003393920.1, XP_003403429.1, XP_003394006.1, XP_003393921.1, XP_012175711.1
OG0000002	XP_011159023.1, XP_039305194.1	XP_003393917.1
OG0000002	XP_039304869.1	XP_003393994.1
OG0000002	XP_039304870.1, XP_011159010.2, XP_011158761.2, XP_039304864.1	XP_020722331.1, XP_020722344.1, XP_003393905.1, XP_020723934.1
OG0000002	XP_025986690.1, XP_011159014.1, XP_011159015.1, XP_011159011.2, XP_025986684.1	XP_012175700.1, XP_012175702.1, XP_003394000.1, XP_020723889.1, XP_012175705.1, XP_020722356.1, XP_012175707.1, XP_003393910.1, XP_003393907.1, XP_003393999.1, XP_003393913.1, XP_012175710.2, XP_012175708.2, XP_003394005.1, XP_003393918.1
OG0000002	XP_025986692.1, XP_025986695.2, XP_025986775.1, XP_039304878.1	XP_003394003.1, XP_003393998.1
OG0000004	XP_039305759.1	XP_020723502.1, XP_020723507.1, XP_020723504.1, XP_020723503.1, XP_020723506.1, XP_020723505.1, XP_020723508.1, XP_020723509.1, XP_020723510.1
OG0000005	XP_025990901.2	XP_020719947.1
OG0000006	XP_025989821.2	XP_020721955.1
OG0000006	XP_011171479.2, XP_039306260.1	XP_012174904.1
OG0000008	XP_011158384.1, XP_039305295.1, XP_039307163.1	XP_012168744.1
OG0000008	XP_039305326.1, XP_039305325.1, XP_039305297.1	XP_012168771.1
OG0000008	XP_011158386.1, XP_039305296.1	XP_003398745.1
OG0000008	XP_039305528.1	XP_020721002.1
OG0000009	XP_039307552.1, XP_039307297.1, XP_011172819.1, XP_011172814.2, XP_011172813.1, XP_011172812.1, XP_039306889.1, XP_011172811.1, XP_011158271.1, XP_011155385.2, XP_039312296.1, XP_039312297.1	XP_003393388.3
OG0000009	XP_011172780.1, XP_011160035.1	XP_020723850.1, XP_003393379.1
OG0000010	XP_025997575.1, XP_011165199.1, XP_039315379.1, XP_039315378.1, XP_039315520.1, XP_011171567.1, XP_039313512.1, XP_039309910.1, XP_011173321.1, XP_011156630.1, XP_039313808.1, XP_039309913.1, XP_039312408.1, XP_039302116.1	XP_012174385.1, XP_020723418.1
OG0000010	XP_011157126.2	XP_012174846.1
OG0000010	XP_011170473.1, XP_011166544.1	XP_020723306.1
OG0000010	XP_011159070.2, XP_011173832.1, XP_011169352.1, XP_039303454.1, XP_039303415.1, XP_011169957.2, XP_011169498.1, XP_039309670.1	XP_012171989.1, XP_012174697.1, XP_012174259.1
OG0000010	XP_025985789.1, XP_025996848.1, XP_011171529.1, XP_011165198.1, XP_039315521.1, XP_011173322.1, XP_039309946.1	XP_020723262.1, XP_012173833.1, XP_012174211.1
OG0000012	XP_011167036.2	XP_003402915.1
OG0000012	XP_011166798.2, XP_039314082.1	XP_003402916.2
OG0000012	XP_025991007.1	XP_003401048.1
OG0000013	XP_011165753.2	XP_003392965.1, XP_003392969.1
OG0000013	XP_011166327.1	XP_020718381.1
