ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"LOC114880757"	NA	chrOU015519.1	+	8237589	8237772	8235262	8235483	8237967	8238029
1	"LOC114880757"	NA	chrOU015519.1	+	8237589	8237850	8235262	8235483	8237967	8238058
2	"LOC114880101"	NA	chrOU015519.1	-	8161321	8161400	8158749	8158892	8161702	8161819
3	"LOC114880064"	NA	chrOU015519.1	+	8095171	8095305	8094712	8095066	8095437	8095633
4	"LOC114872158"	NA	chrOU015519.1	-	7958904	7959024	7958545	7958668	7959278	7959373
5	"LOC114872167"	NA	chrOU015519.1	+	7948579	7948704	7948343	7948499	7948777	7948930
6	"LOC114872170"	NA	chrOU015519.1	+	7945806	7945819	7945584	7945730	7945972	7946376
7	"LOC114872196"	NA	chrOU015519.1	+	7843722	7843859	7843011	7843082	7843955	7844072
8	"LOC114872242"	NA	chrOU015519.1	+	7598102	7598223	7596298	7596635	7598268	7598508
9	"LOC114872242"	NA	chrOU015519.1	+	7599952	7600119	7599745	7599883	7600186	7600421
10	"LOC114872237"	NA	chrOU015519.1	+	7503482	7503663	7490171	7490281	7515081	7515197
11	"LOC114872255"	NA	chrOU015519.1	+	7150106	7150123	7144919	7145075	7150202	7150291
12	"LOC114872262"	NA	chrOU015519.1	-	7113632	7113860	7112247	7112626	7113963	7114081
13	"LOC114872247"	NA	chrOU015519.1	+	7083650	7083890	7074490	7075502	7084113	7084241
14	"LOC114872247"	NA	chrOU015519.1	+	7108109	7108271	7107920	7108023	7108881	7109114
15	"LOC114872263"	NA	chrOU015519.1	+	7009573	7009669	7004293	7004636	7059311	7059389
16	"LOC114872156"	NA	chrOU015519.1	+	6941263	6941324	6932900	6933068	6966619	6966744
17	"LOC114872156"	NA	chrOU015519.1	+	6941263	6941324	6935436	6935558	6966619	6966744
18	"LOC114872156"	NA	chrOU015519.1	+	6955725	6955792	6941263	6941324	6966619	6966744
19	"LOC114879964"	NA	chrOU015519.1	+	6694999	6695217	6693843	6694097	6695298	6695388
20	"LOC114879144"	NA	chrOU015519.1	-	6535081	6535190	6534514	6534837	6535324	6535572
21	"LOC114879144"	NA	chrOU015519.1	-	6535081	6535190	6534514	6534837	6536013	6536218
22	"LOC114879140"	NA	chrOU015519.1	+	6575446	6575494	6557527	6562098	6581212	6581562
23	"LOC114879140"	NA	chrOU015519.1	+	6582509	6582536	6581212	6581562	6582692	6582864
24	"LOC114879140"	NA	chrOU015519.1	+	6594444	6594582	6593426	6593586	6595095	6595267
25	"LOC114879140"	NA	chrOU015519.1	+	6594456	6594582	6593426	6593586	6595095	6595267
26	"LOC114879140"	NA	chrOU015519.1	+	6595445	6595589	6595095	6595267	6596900	6597046
27	"LOC114879140"	NA	chrOU015519.1	+	6596900	6597046	6595095	6595267	6599860	6600086
28	"LOC114879140"	NA	chrOU015519.1	+	6597808	6597862	6596900	6597046	6598032	6598101
29	"LOC114879140"	NA	chrOU015519.1	+	6597808	6597862	6596900	6597046	6598053	6598101
30	"LOC114879140"	NA	chrOU015519.1	+	6598032	6598101	6596900	6597046	6598590	6598680
31	"LOC114879140"	NA	chrOU015519.1	+	6598053	6598101	6596900	6597046	6598590	6598680
32	"LOC114879140"	NA	chrOU015519.1	+	6598590	6598680	6596900	6597046	6599860	6600086
33	"LOC114879140"	NA	chrOU015519.1	+	6599217	6599280	6598590	6598680	6599860	6600086
34	"LOC114879140"	NA	chrOU015519.1	+	6599860	6600086	6595095	6595267	6600480	6600591
35	"LOC114879140"	NA	chrOU015519.1	+	6603539	6603592	6601109	6601209	6606799	6606906
36	"LOC114879140"	NA	chrOU015519.1	+	6603539	6603592	6601109	6601209	6607552	6607778
37	"LOC114879140"	NA	chrOU015519.1	+	6606799	6606906	6601109	6601209	6607552	6607638
38	"LOC114879140"	NA	chrOU015519.1	+	6606799	6606906	6603539	6603592	6607552	6607638
39	"LOC114879151"	NA	chrOU015519.1	+	6504944	6505483	6503963	6504281	6505542	6505618
40	"LOC114879151"	NA	chrOU015519.1	+	6504944	6505483	6503963	6504281	6506149	6506810
41	"LOC114879151"	NA	chrOU015519.1	+	6504950	6505483	6503963	6504281	6505542	6505618
42	"LOC114879151"	NA	chrOU015519.1	+	6504950	6505483	6503963	6504281	6506149	6506562
43	"LOC114879151"	NA	chrOU015519.1	+	6505542	6505618	6503963	6504281	6506149	6506562
44	"LOC114879151"	NA	chrOU015519.1	+	6505542	6505618	6504944	6505483	6506149	6506562
45	"LOC114879151"	NA	chrOU015519.1	+	6505704	6505890	6505542	6505618	6506149	6506562
46	"LOC114880454"	NA	chrOU015519.1	+	6290905	6291015	6290590	6290673	6291342	6291448
47	"LOC114880454"	NA	chrOU015519.1	+	6290970	6291015	6290480	6290673	6291342	6291448
48	"LOC114880454"	NA	chrOU015519.1	+	6292110	6292242	6291688	6291844	6292480	6292662
49	"LOC114880459"	NA	chrOU015519.1	-	6285497	6285662	6285231	6285427	6285739	6285850
50	"LOC114880479"	NA	chrOU015519.1	+	6264429	6264531	6262726	6264236	6264810	6264951
51	"LOC114880476"	NA	chrOU015519.1	+	6246873	6246940	6246604	6246768	6247119	6247211
52	"LOC114880476"	NA	chrOU015519.1	+	6246873	6246940	6246604	6246768	6248044	6248129
53	"LOC114880476"	NA	chrOU015519.1	+	6246873	6247008	6246604	6246768	6247119	6247210
54	"LOC114880470"	NA	chrOU015519.1	-	6219367	6219665	6218929	6219290	6219732	6219967
55	"LOC114876643"	NA	chrOU015519.1	-	6123151	6123162	6121975	6123072	6123292	6123665
56	"LOC114876643"	NA	chrOU015519.1	-	6123151	6123219	6121975	6123072	6123292	6123665
57	"LOC114876643"	NA	chrOU015519.1	-	6123151	6123222	6121975	6123072	6123292	6123665
58	"LOC114876707"	NA	chrOU015519.1	-	6106377	6106459	6105932	6106253	6106537	6106920
59	"LOC114876630"	NA	chrOU015519.1	-	6065408	6065481	6065263	6065329	6065865	6065927
60	"LOC114876630"	NA	chrOU015519.1	-	6071003	6071596	6070686	6070921	6071665	6071844
