Orthogroup	Acyrthosiphon_pisum	Osmia_lignaria
OG0000000	XP_008182367.1, XP_008182376.2, XP_008179509.1, XP_029348283.1	XP_034195039.1, XP_034174768.1, XP_034194643.1
OG0000000	XP_029346889.1, XP_029340893.1	XP_034179313.1
OG0000000	XP_016655727.1, XP_008189037.1, XP_029348568.1, XP_008189492.1, XP_008180316.1, XP_029348389.1, XP_016657058.1, XP_008189073.1, XP_008179733.1, XP_008187555.1, XP_008185172.2	XP_034195330.1, XP_034195249.1, XP_034195331.1, XP_034194829.1
OG0000000	XP_008181101.1, XP_029347204.1, XP_008190207.1, XP_008190198.2, XP_008190181.1, XP_008187510.2, XP_008179860.1, XP_008181657.1, XP_008187352.1, XP_008185128.1, XP_008181175.1, XP_008181389.1, XP_008179896.1, XP_008187175.1, XP_008180601.1, XP_008189918.1, XP_008179889.1, XP_008182965.1, XP_029348135.1, XP_008180912.1, XP_008180911.1, XP_008187174.1, XP_008183125.1, XP_029345522.1, XP_008179019.1, XP_029346803.1	XP_034179509.1, XP_034192189.1
OG0000000	XP_008184172.1, XP_008180656.1, XP_029345710.1, XP_008188479.1, XP_016661094.1, XP_008190177.1, XP_008178392.1, XP_008185772.1, XP_008183343.1, XP_008185678.1, XP_016659921.1, XP_008183820.1, XP_008183356.1, XP_008180654.1, XP_008183411.1, XP_029341258.1, XP_008179897.1, XP_008188489.1, XP_016660804.1, XP_029348271.1, XP_029345921.1, XP_008188687.1, XP_008179256.2, XP_008190111.1, XP_029345859.1, XP_008183355.1, XP_008179257.1, XP_008179517.1, XP_008186006.1, XP_008189836.2, XP_008183743.1, XP_008179879.1, XP_008187844.1, XP_008187709.1, XP_008179336.1, XP_008187708.1, XP_008189587.1, XP_029341173.1, XP_008182614.1, XP_008189367.1, XP_008183050.1, XP_008190090.1, XP_029344208.1, XP_008187869.1, XP_029348398.1, XP_008181739.1, XP_016659286.1, XP_008181643.1, XP_008180158.1, XP_008180526.1, XP_008180527.1	XP_034195313.1, XP_034177367.1, XP_034195165.1, XP_034195149.1, XP_034195129.1, XP_034194954.1, XP_034195055.1, XP_034195057.1, XP_034194871.1, XP_034195227.1, XP_034182490.1, XP_034194953.1, XP_034195179.1, XP_034194794.1, XP_034195185.1, XP_034195329.1, XP_034195156.1
OG0000001	XP_001943981.2, XP_001947920.1, XP_001948421.1, XP_016656332.1, XP_016659432.1, XP_016659132.2, XP_001952450.1, XP_016655759.1, XP_029344134.1, XP_029344133.1, XP_001948581.2, XP_029344135.1, XP_001943570.2, XP_008183473.1, XP_029341969.1, NP_001353126.1, XP_001946384.4, XP_029344453.1, XP_003248692.2, NP_001156683.2, XP_001945100.2, XP_001946428.1, XP_029344865.1, XP_016657118.1, XP_001944599.2, XP_008189491.3, XP_016660356.1	XP_034187550.1
OG0000003	XP_008178248.1	XP_034194163.1
OG0000003	XP_008179662.1	XP_034195035.1
OG0000003	XP_029347937.1, XP_008179862.1	XP_034195209.1, XP_034195334.1
OG0000003	XP_016661947.1	XP_034195210.1, XP_034194824.1, XP_034194797.1, XP_034195117.1, XP_034195051.1, XP_034194543.1, XP_034195139.1, XP_034194986.1, XP_034192371.1, XP_034192425.1, XP_034192437.1, XP_034195197.1, XP_034195316.1, XP_034195201.1, XP_034174769.1, XP_034195346.1, XP_034195041.1
OG0000004	XP_008188519.1, XP_008178932.1, XP_008181865.1, XP_008189921.1, XP_029347881.1, XP_008184523.1, XP_016659515.1	XP_034194812.1
OG0000004	XP_016656673.1, XP_008178407.1, XP_029340984.1	XP_034175783.1
OG0000004	XP_029348167.1	XP_034178409.1
OG0000004	XP_008181189.1, XP_008178696.1, XP_008184865.1, XP_029348501.1, XP_008189957.1, XP_008187534.1, XP_029347760.1	XP_034194807.1, XP_034195176.1, XP_034195009.1, XP_034194636.1, XP_034195065.1
OG0000005	XP_001944491.1	XP_034196431.1, XP_034175159.1, XP_034175160.1
