Orthogroup	Tribolium_castaneum	Apis_mellifera
OG0000001	NP_001137200.1, XP_008192267.1, NP_001177722.1, XP_975563.1, NP_001280531.1, NP_001164249.1, XP_015834314.1, NP_001280532.1, XP_015834315.1, XP_975569.1, XP_008192269.1, XP_975562.1, XP_008192266.1, XP_015834510.1, XP_015834511.1	XP_624795.3, XP_026302253.1, XP_016772837.1
OG0000001	XP_969875.1	XP_026296210.1
OG0000001	XP_966774.1, XP_015833657.1, XP_970561.1, XP_970633.1, XP_015835338.1, XP_008194912.1	XP_006564499.3, NP_001191991.1, XP_016770827.2
OG0000002	XP_015839871.1	NP_001229891.1, NP_001229890.1, NP_001229892.1, NP_001229889.1, XP_006565945.1, XP_016773520.1, XP_016773523.1, NP_001229894.1, XP_026302135.1, NP_001229893.1, XP_026302134.1, NP_001229888.1, XP_006565941.2, XP_006565943.1, NP_001229887.1, XP_003250767.2, XP_026294956.1, XP_003250769.3, XP_026294905.1, XP_026294912.1, XP_006565883.2, NP_001229910.1, XP_026294765.1, NP_001229909.1, XP_006572517.1, NP_001229911.1, XP_016773537.1, XP_016773528.1, XP_016773529.1, XP_006565970.2, NP_001229907.1, NP_001229906.1, NP_001229905.1, XP_026302143.1, NP_001229900.1, NP_001229895.1, XP_003250726.1, XP_016773538.1, XP_003250765.1, XP_006565948.1, XP_001121659.1, XP_006565947.2, NP_001229896.1, XP_016773454.2, XP_006565887.1, NP_001229899.1, NP_001229898.1, XP_026294907.1, XP_026294903.1, XP_016773531.1, XP_016773532.1, XP_001121864.2, NP_001229904.1, XP_026302131.1, XP_006565964.1, XP_026294957.1, XP_016773539.1, NP_001229902.1, XP_003250750.1, XP_003250751.1, XP_006565958.1, XP_016773535.1, XP_006565962.1, XP_026294766.1, XP_003250754.2, XP_016773534.1, XP_006565886.1, NP_001229901.1, XP_006565953.2, NP_001229897.1
OG0000004	XP_015834342.1	XP_006572180.1
OG0000005	XP_008191200.1, XP_015833636.1	XP_016771095.2
OG0000008	XP_972338.1	XP_006565046.2
OG0000008	XP_972175.3	XP_026301320.1
OG0000008	XP_969421.1	XP_396549.3
OG0000008	XP_008191987.1, XP_972532.1	XP_394219.3
OG0000008	XP_015836551.1, XP_015836552.1	XP_003250567.1
OG0000008	XP_008191970.1	XP_016769477.1
OG0000009	XP_008200085.1, XP_008197409.1, XP_015838530.1, XP_015838531.1, XP_015838490.1, XP_008197433.1, XP_008197432.2, XP_008197346.1, NP_001034541.1, XP_015838491.1, XP_008194628.1, XP_015838026.1, XP_015838027.1, XP_975385.1, NP_001164248.1, XP_015838170.1, NP_001123895.1, NP_001127706.1, XP_015838024.1, XP_972546.1, XP_973619.2	XP_006562365.2, XP_006562363.1, XP_006562364.1, XP_392000.1, XP_026300962.1
OG0000012	XP_967167.2, XP_967253.1, NP_001164207.1, XP_015839971.1	XP_016768428.1
OG0000012	XP_008192552.1	XP_026301256.1, XP_026301257.1, XP_016772201.1, XP_016772200.1
OG0000013	XP_969677.1	XP_003251619.1, XP_001120132.1
OG0000013	XP_966487.1	XP_006570899.1
OG0000013	XP_008197392.1	XP_006563135.1, XP_006563134.1, XP_624499.1
OG0000014	XP_015840416.1, XP_008196666.2, XP_008201493.1, XP_008195798.2, XP_008193830.1	XP_003251627.1, XP_006570861.2
OG0000017	XP_015834775.1, XP_974273.1	XP_006563394.1, NP_001171499.1
OG0000018	XP_008200429.1	XP_393750.5
OG0000018	XP_008193119.1, XP_968748.1, XP_015835557.1, XP_973693.2, XP_015838295.1, XP_015838053.1, XP_969711.1, XP_008194698.1, XP_973658.2, XP_008193214.1, XP_008193215.1, XP_015835529.1, XP_008193213.1, XP_008193216.1, XP_972534.1	XP_006564136.1
OG0000018	XP_008194092.1, XP_969781.1	XP_006566761.2, XP_026299796.1, XP_006566764.2, XP_006566762.2, XP_006566763.2
OG0000018	XP_969849.1, XP_008194093.1, XP_008193834.1	XP_006563569.1
OG0000019	XP_975378.1	XP_026299702.1
OG0000019	XP_973103.2, XP_973187.1, XP_008192578.1, XP_001813143.1, XP_973063.1	XP_394827.4
OG0000019	XP_972874.1, XP_015834337.1, XP_008192577.2	XP_006572051.3
OG0000020	XP_008201408.1	XP_006569751.2
OG0000020	XP_008201409.2	XP_026301504.1
OG0000021	XP_008196932.1	XP_026299753.1
OG0000022	XP_966580.1, XP_966943.2, XP_973583.2, XP_974617.2, XP_967411.1	XP_624700.1
OG0000023	XP_008201479.1, XP_008201473.1, XP_008199957.2	XP_001120889.1
OG0000026	XP_015833705.1	XP_392530.3
OG0000026	XP_969357.3	XP_006557594.2
OG0000026	XP_966472.1	XP_026295189.1
OG0000026	XP_015840897.1	XP_003251584.1
OG0000027	XP_008199927.1, XP_008199050.2	XP_006570863.1
OG0000029	XP_008201392.1, XP_967557.1, XP_015839833.1, XP_015839837.1, XP_971332.1	NP_001257747.1, NP_001257746.1
OG0000029	XP_015840495.1, XP_008201389.1, XP_008201390.1	NP_001257750.1, NP_001257748.1, NP_001257749.1
OG0000030	XP_966905.1	NP_001177849.1, XP_006572276.1
OG0000030	XP_015837668.1, XP_972973.1, XP_008195701.1, XP_971355.1, XP_015837936.1, XP_008197791.2, XP_008197787.1, XP_971534.2	XP_026300187.1
OG0000032	XP_969958.1, XP_970026.1	XP_026298886.1
OG0000033	XP_015837581.1, XP_015839927.1, XP_015839926.1	XP_016771932.2
OG0000035	XP_008191815.1, XP_008191817.1, XP_971626.2, XP_008191746.2, XP_008191790.1	XP_392319.3
OG0000035	XP_973091.2, XP_008190471.1, XP_015838951.1, XP_015838653.1, XP_967762.1, XP_967685.3, XP_015838842.1, XP_967924.1, XP_015838843.1, XP_972644.2, XP_015838642.1, XP_015838857.1, XP_972496.1, XP_008197534.1, XP_015838775.1, XP_015838840.1, XP_015838776.1, XP_008197589.1, XP_972090.2, XP_008197588.1, XP_008197586.1, XP_972349.2, XP_008197585.1, XP_008197584.1, XP_972444.1	XP_394494.5
OG0000036	XP_008190813.1	NP_001035360.1
OG0000036	XP_967476.1, XP_001811753.1	XP_006563422.1, XP_001121077.2, XP_003250085.1
OG0000037	XP_008192993.1, XP_015835222.1, XP_970216.2, XP_008193006.2, XP_008193010.2, XP_015835218.1, XP_966991.2, XP_015835223.1, XP_001809825.2, XP_015835468.1, XP_968523.2, XP_015835220.1, XP_015835221.1, XP_008190973.2, XP_970770.1, XP_970895.1, XP_008200145.1	NP_001257751.1
OG0000038	XP_966584.1	XP_006563567.1
OG0000040	NP_001161088.1	XP_026297199.1
OG0000040	NP_001161129.1, XP_008193161.1, NP_001161087.1, XP_970321.1, NP_001161083.1	XP_394370.2
OG0000041	NP_001165843.1, NP_001165844.1	NP_001172074.1, NP_001172075.1
OG0000041	XP_008199969.1, XP_966415.1, XP_008199982.1, XP_966495.1	XP_026296530.1, XP_003251464.1, XP_016767697.1
OG0000041	XP_967305.1	XP_625015.1
OG0000042	XP_008194542.2, NP_001306196.1, NP_001306192.1, XP_008197185.1, XP_015839870.1, XP_015839869.1, XP_015839872.1, XP_015839873.1, XP_015839874.1, XP_008197171.1, XP_008191083.1, NP_001137206.1, XP_968970.1, NP_001306194.1, NP_001306195.1, XP_008194716.1	XP_026296155.1, XP_026296156.1, XP_026296157.1, XP_026296158.1, XP_006571892.1, XP_623925.2, XP_026296164.1, XP_026296165.1
