GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0016318	ommatidial rotation	30	13	3.42	8.7e-07	8.7e-07	0.0018487500000000001	1.727803738317757e-5
GO:0048864	stem cell development	23	10	2.63	2.8e-05	2.8e-05	0.02975	3.914473684210526e-4
GO:0035317	imaginal disc-derived wing hair organization	48	14	5.48	6.8e-05	0.00087	0.036125000000000004	0.006976415094339622
GO:0007476	imaginal disc-derived wing morphogenesis	267	58	30.48	8.4e-05	6.1e-12	0.036125000000000004	5.401041666666667e-10
GO:0007379	segment specification	31	5	3.54	8.5e-05	8.5e-05	0.036125000000000004	0.0010625
GO:0090101	negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	20	11	2.28	0.00011	0.00011	0.03895833333333334	0.0013058659217877096
GO:0042051	compound eye photoreceptor development	81	19	9.25	0.00015	5.6e-05	0.0425	7.345679012345679e-4
GO:0001736	establishment of planar polarity	98	25	11.19	0.00016	6.3e-07	0.0425	1.3124999999999999e-5
GO:0045465	R8 cell differentiation	27	6	3.08	0.00026	0.03260	0.057375	0.10116982507288631
GO:0007411	axon guidance	256	47	29.22	0.00027	8.7e-07	0.057375	1.727803738317757e-5
GO:0042659	regulation of cell fate specification	26	8	2.97	0.00035	0.00035	0.06761363636363636	0.003475467289719626
GO:0071805	potassium ion transmembrane transport	53	14	6.05	0.00049	0.00049	0.08009615384615384	0.004488146551724138
GO:0000122	negative regulation of transcription by RNA polymerase II	191	35	21.8	0.00049	0.00049	0.08009615384615384	0.004488146551724138
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	41	14	4.68	0.00064	0.00064	0.08411458333333334	0.005573770491803279
GO:0045466	R7 cell differentiation	59	20	6.73	0.00069	0.00020	0.08411458333333334	0.002202072538860104
GO:0090175	regulation of establishment of planar polarity	29	9	3.31	0.00069	0.00069	0.08411458333333334	0.0058649999999999996
GO:0061077	chaperone-mediated protein folding	30	4	3.42	0.00071	0.00071	0.08411458333333334	0.0060109561752988054
GO:0008039	synaptic target recognition	41	14	4.68	0.00074	0.00074	0.08411458333333334	0.006118677042801557
GO:0006487	protein N-linked glycosylation	37	9	4.22	0.00078	0.00078	0.08411458333333334	0.006326335877862595
GO:0048675	axon extension	52	18	5.94	0.00087	0.00013	0.08411458333333334	0.001493243243243243
GO:0007391	dorsal closure	103	20	11.76	0.00092	0.00092	0.08411458333333334	0.007294776119402985
GO:0016079	synaptic vesicle exocytosis	60	9	6.85	0.00093	0.00354	0.08411458333333334	0.020006648936170213
GO:0008586	imaginal disc-derived wing vein morphogenesis	40	16	4.57	0.00094	0.00094	0.08411458333333334	0.007367700729927007
GO:0034765	regulation of ion transmembrane transport	47	12	5.37	0.00095	0.01321	0.08411458333333334	0.05286487758945386
GO:0007431	salivary gland development	107	13	12.21	0.00111	0.00422	0.09153846153846153	0.02293478260869565
GO:0045214	sarcomere organization	41	8	4.68	0.00112	0.00112	0.09153846153846153	0.00840989399293286
GO:0008355	olfactory learning	40	10	4.57	0.00122	0.00122	0.09208333333333332	0.008920648464163822
GO:0071456	cellular response to hypoxia	30	4	3.42	0.00126	0.00126	0.09208333333333332	0.00907627118644068
GO:0046777	protein autophosphorylation	40	12	4.57	0.00129	0.00129	0.09208333333333332	0.009198825503355703
GO:0008582	regulation of synaptic growth at neuromuscular junction	105	13	11.99	0.00130	0.01670	0.09208333333333332	0.06139705882352941
GO:1901576	organic substance biosynthetic process	2055	243	234.58	0.00138	0.55200	0.09296875	0.7438173320659062
GO:0007274	neuromuscular synaptic transmission	76	19	8.68	0.00140	4.2e-05	0.09296875	5.64873417721519e-4
GO:0042063	gliogenesis	84	20	9.59	0.00151	4.0e-05	0.09418918918918918	5.44871794871795e-4
GO:0071482	cellular response to light stimulus	32	10	3.65	0.00152	0.00152	0.09418918918918918	0.010487012987012989
GO:0007474	imaginal disc-derived wing vein specification	49	12	5.59	0.00157	0.00157	0.09418918918918918	0.010796925566343043
GO:0044719	regulation of imaginal disc-derived wing size	29	7	3.31	0.00160	0.00160	0.09418918918918918	0.010932475884244373
GO:0007015	actin filament organization	154	26	17.58	0.00164	9.8e-05	0.09418918918918918	0.0012107558139534884
GO:0007601	visual perception	51	14	5.82	0.00175	0.00175	0.09786184210526315	0.011768196202531646
GO:0098609	cell-cell adhesion	112	25	12.79	0.00189	0.00166	0.10200000000000001	0.011306089743589744
GO:0050805	negative regulation of synaptic transmission	23	8	2.63	0.00192	0.00192	0.10200000000000001	0.012477064220183487
GO:0030510	regulation of BMP signaling pathway	33	12	3.77	0.00213	0.00213	0.11039634146341464	0.01343100890207715
GO:0050803	regulation of synapse structure or activity	183	30	20.89	0.00226	0.00126	0.11434523809523808	0.00907627118644068
GO:0032101	regulation of response to external stimulus	210	26	23.97	0.00242	0.03292	0.11735795454545454	0.10182678311499271
GO:0035023	regulation of Rho protein signal transduction	30	7	3.42	0.00243	0.00243	0.11735795454545454	0.014881123919308356
GO:0007297	ovarian follicle cell migration	126	26	14.38	0.00266	0.00036	0.12519021739130437	0.0035416666666666674
GO:0008277	regulation of G protein-coupled receptor signaling pathway	25	8	2.85	0.00271	0.00271	0.12519021739130437	0.01631373937677054
GO:0042391	regulation of membrane potential	73	21	8.33	0.00285	0.00139	0.12790865384615382	0.009748349834983497
GO:0030010	establishment of cell polarity	56	10	6.39	0.00291	8.8e-05	0.12790865384615382	0.0010935672514619883
GO:0042753	positive regulation of circadian rhythm	23	6	2.63	0.00302	0.00302	0.12790865384615382	0.01772790055248619
GO:0014706	striated muscle tissue development	27	6	3.08	0.00307	0.00307	0.12790865384615382	0.017922390109890107
