GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0002181	cytoplasmic translation	127	88	62.24	2.9e-07	1.1e-06	6.156699999999999e-4	2.5476e-4
GO:0007088	regulation of mitotic nuclear division	63	42	30.87	3.3e-05	2.9e-05	0.035029500000000005	0.0020522333333333333
GO:0051301	cell division	315	164	154.36	8.5e-05	2.4e-05	0.060151666666666666	0.0018197142857142856
GO:0045132	meiotic chromosome segregation	65	44	31.85	0.00026	0.00036	0.13799499999999998	0.01213142857142857
GO:0050767	regulation of neurogenesis	260	127	127.41	0.00054	0.57038	0.19107	1
GO:0006281	DNA repair	187	110	91.64	0.00062	0.00139	0.19107	0.03207576086956521
GO:0000470	maturation of LSU-rRNA	26	21	12.74	0.00063	0.00063	0.19107	0.01857625
GO:0007076	mitotic chromosome condensation	22	17	10.78	0.00087	0.00087	0.23087625	0.022802592592592593
GO:0000212	meiotic spindle organization	29	15	14.21	0.00132	0.00132	0.27882066666666666	0.030795164835164833
GO:0009060	aerobic respiration	37	24	18.13	0.00148	0.00425	0.27882066666666666	0.06821698529411764
GO:0007052	mitotic spindle organization	76	50	37.24	0.00165	2.4e-05	0.27882066666666666	0.0018197142857142856
GO:0006270	DNA replication initiation	25	19	12.25	0.00180	0.00180	0.27882066666666666	0.038993877551020406
GO:0006406	mRNA export from nucleus	27	21	13.23	0.00200	0.00200	0.27882066666666666	0.04162745098039215
GO:0042273	ribosomal large subunit biogenesis	60	46	29.4	0.00201	3.6e-06	0.27882066666666666	5.459142857142857e-4
GO:0030261	chromosome condensation	57	43	27.93	0.00209	1.1e-05	0.27882066666666666	0.0012131428571428573
GO:2000177	regulation of neural precursor cell proliferation	66	33	32.34	0.00223	0.09867	0.27882066666666666	0.5582870557029178
GO:0042775	mitochondrial ATP synthesis coupled electron transport	56	39	27.44	0.00226	0.00022	0.27882066666666666	0.008981923076923078
GO:0051276	chromosome organization	551	297	270.01	0.00243	3.8e-05	0.27882066666666666	0.002372764705882353
GO:0032543	mitochondrial translation	101	53	49.49	0.00252	0.00252	0.27882066666666666	0.0483890990990991
GO:0006275	regulation of DNA replication	33	28	16.17	0.00272	4.6e-05	0.27882066666666666	0.0027127222222222223
GO:0022618	ribonucleoprotein complex assembly	121	72	59.3	0.00287	0.00287	0.27882066666666666	0.05207700854700855
GO:0006606	protein import into nucleus	47	31	23.03	0.00308	0.00308	0.27882066666666666	0.053771065573770496
GO:0030239	myofibril assembly	56	41	27.44	0.00311	0.00058	0.27882066666666666	0.01784550724637681
GO:0090329	regulation of DNA-dependent DNA replication	23	19	11.27	0.00325	0.00325	0.27882066666666666	0.055198000000000004
GO:0042255	ribosome assembly	42	29	20.58	0.00365	0.00365	0.27882066666666666	0.060538671875
GO:0014902	myotube differentiation	50	20	24.5	0.00367	0.80272	0.27882066666666666	1
GO:0045995	regulation of embryonic development	70	44	34.3	0.00369	0.01086	0.27882066666666666	0.13327040462427744
GO:0035194	post-transcriptional gene silencing by RNA	59	34	28.91	0.00390	0.09424	0.27882066666666666	0.5466434972677596
GO:1901991	negative regulation of mitotic cell cycle phase transition	46	31	22.54	0.00391	0.00391	0.27882066666666666	0.06434829457364341
GO:0007140	male meiotic nuclear division	64	41	31.36	0.00394	0.00350	0.27882066666666666	0.058507874015748036
GO:0060538	skeletal muscle organ development	49	33	24.01	0.00427	0.00152	0.29242612903225806	0.033968000000000005
GO:0090307	mitotic spindle assembly	32	22	15.68	0.00484	0.00484	0.32110374999999997	0.0739231654676259
GO:1901137	carbohydrate derivative biosynthetic process	247	121	121.04	0.00624	0.25336	0.3877268421052632	0.840442625
GO:0051960	regulation of nervous system development	350	161	171.52	0.00649	0.73243	0.3877268421052632	1
GO:0006754	ATP biosynthetic process	22	16	10.78	0.00651	0.00651	0.3877268421052632	0.09275657718120806
GO:0006120	mitochondrial electron transport, NADH to ubiquinone	28	20	13.72	0.00665	0.00665	0.3877268421052632	0.09349635761589403
GO:0007306	eggshell chorion assembly	68	40	33.32	0.00693	0.01958	0.3877268421052632	0.21317097435897436
GO:0006277	DNA amplification	21	17	10.29	0.00694	0.00694	0.3877268421052632	0.09567285714285714
GO:0051225	spindle assembly	67	42	32.83	0.00731	6.5e-05	0.392755	0.003729594594594594
GO:0000281	mitotic cytokinesis	63	34	30.87	0.00740	0.00740	0.392755	0.100506582278481
GO:0000723	telomere maintenance	27	19	13.23	0.00792	0.00792	0.4024264444444444	0.10379111111111111
GO:0045727	positive regulation of translation	41	24	20.09	0.00807	0.00807	0.4024264444444444	0.10446713414634147
GO:0072521	purine-containing compound metabolic process	146	85	71.55	0.00819	0.00027	0.4024264444444444	0.010056315789473684
GO:0007143	female meiotic nuclear division	66	37	32.34	0.00841	0.03569	0.4024264444444444	0.3152040909090909
GO:0007062	sister chromatid cohesion	26	19	12.74	0.00853	0.00853	0.4024264444444444	0.10909150602409638
GO:0006260	DNA replication	116	79	56.85	0.00872	1.9e-06	0.4024469565217391	3.667e-4
GO:0007018	microtubule-based movement	166	83	81.35	0.00969	0.39692	0.43673142857142855	1
GO:0010389	regulation of G2/M transition of mitotic cell cycle	32	24	15.68	0.01002	0.01002	0.43673142857142855	0.12587254437869821
GO:1902414	protein localization to cell junction	23	15	11.27	0.01008	0.01008	0.43673142857142855	0.12588141176470588
GO:0031023	microtubule organizing center organization	76	49	37.24	0.01041	0.00261	0.44200860000000003	0.04947348214285714
GO:1902600	proton transmembrane transport	58	32	28.42	0.01093	0.01093	0.45498803921568626	0.13335856321839082
GO:0000070	mitotic sister chromatid segregation	95	63	46.55	0.01164	8.0e-05	0.4752253846153846	0.004354871794871796
GO:0051783	regulation of nuclear division	67	46	32.83	0.01237	9.9e-06	0.49350438596491225	0.00116765
GO:0046847	filopodium assembly	41	18	20.09	0.01259	0.39885	0.49350438596491225	1
GO:0032508	DNA duplex unwinding	51	30	24.99	0.01304	0.01304	0.49350438596491225	0.15465877094972066
GO:0009581	detection of external stimulus	62	34	30.38	0.01325	0.19656	0.49350438596491225	0.7796171139705882
GO:0009582	detection of abiotic stimulus	62	34	30.38	0.01325	0.19656	0.49350438596491225	0.7796171139705882
GO:0070925	organelle assembly	378	217	185.24	0.01367	0.00044	0.5003691379310345	0.014371076923076924
GO:0007127	meiosis I	41	27	20.09	0.01401	0.02824	0.5041225423728813	0.2671827947598253
GO:0051254	positive regulation of RNA metabolic process	448	232	219.54	0.01471	0.21519	0.5204888333333334	0.794518904347826
GO:0045214	sarcomere organization	41	29	20.09	0.01567	0.01567	0.5453673770491804	0.1817891256830601
GO:1903829	positive regulation of cellular protein localization	38	27	18.62	0.01632	0.01632	0.5588283870967743	0.1883008695652174
GO:0051299	centrosome separation	24	17	11.76	0.01692	0.01692	0.56558046875	0.19416843243243245
GO:0006726	eye pigment biosynthetic process	34	24	16.66	0.01705	0.01705	0.56558046875	0.19460833333333333
GO:0008298	intracellular mRNA localization	82	45	40.18	0.01739	0.09862	0.5679841538461539	0.5582870557029178
GO:0007268	chemical synaptic transmission	279	144	136.72	0.01832	0.40209	0.5817653731343284	1
GO:0007338	single fertilization	28	15	13.72	0.01836	0.01836	0.5817653731343284	0.20514884210526318
GO:0010950	positive regulation of endopeptidase activity	26	16	12.74	0.01885	0.04806	0.588508088235294	0.36998659420289853
GO:0006650	glycerophospholipid metabolic process	106	50	51.94	0.02138	0.68445	0.6360508	1
GO:0007283	spermatogenesis	201	112	98.5	0.02157	0.02166	0.6360508	0.22652305418719212
GO:0031331	positive regulation of cellular catabolic process	112	60	54.88	0.02173	0.32625	0.6360508	0.9408242105263158
GO:0006996	organelle organization	1635	859	801.22	0.02179	0.00013	0.6360508	0.006133111111111111
GO:0007215	glutamate receptor signaling pathway	20	15	9.8	0.02221	0.02221	0.6360508	0.22788917874396136
GO:0006457	protein folding	97	59	47.53	0.02247	0.05157	0.6360508	0.38580292253521126
GO:0042023	DNA endoreduplication	23	15	11.27	0.02247	0.02247	0.6360508	0.2293452403846154
GO:0044248	cellular catabolic process	767	374	375.86	0.02298	0.81069	0.6419281578947369	1
GO:0034660	ncRNA metabolic process	310	157	151.91	0.02361	0.24416	0.6509614285714286	0.8293626879999999
GO:0033365	protein localization to organelle	217	128	106.34	0.02414	0.00253	0.6570412820512821	0.0483890990990991
GO:0051656	establishment of organelle localization	150	81	73.51	0.02472	0.07673	0.6643108860759493	0.4971574085365854
GO:1905475	regulation of protein localization to membrane	21	16	10.29	0.02539	0.02539	0.6700395121951219	0.250711488372093
GO:0016049	cell growth	144	67	70.57	0.02587	0.50988	0.6700395121951219	1
GO:0001578	microtubule bundle formation	64	31	31.36	0.02588	0.54371	0.6700395121951219	1
GO:0033260	nuclear DNA replication	22	15	10.78	0.02721	0.02721	0.6959859036144579	0.26363800000000004
GO:1901992	positive regulation of mitotic cell cycle phase transition	25	16	12.25	0.02760	0.02760	0.6975571428571429	0.2651348416289593
GO:0006997	nucleus organization	64	40	31.36	0.02819	0.02819	0.7040867058823529	0.2671827947598253
GO:0009755	hormone-mediated signaling pathway	34	23	16.66	0.02882	0.02882	0.7086427586206897	0.2671827947598253
GO:0000460	maturation of 5.8S rRNA	26	18	12.74	0.02904	0.02904	0.7086427586206897	0.2680518260869565
GO:0003012	muscle system process	29	19	14.21	0.03260	0.00556	0.7805006741573034	0.08254461538461538
GO:0006082	organic acid metabolic process	316	153	154.85	0.03272	0.40143	0.7805006741573034	1
GO:0060627	regulation of vesicle-mediated transport	123	60	60.28	0.03424	0.24687	0.7940457731958763	0.8366042105263157
GO:2000241	regulation of reproductive process	99	51	48.51	0.03482	0.23522	0.7940457731958763	0.818450741935484
GO:0007346	regulation of mitotic cell cycle	174	108	85.27	0.03492	0.00074	0.7940457731958763	0.020671315789473683
GO:0008354	germ cell migration	39	19	19.11	0.03544	0.21454	0.7940457731958763	0.794518904347826
GO:0006261	DNA-dependent DNA replication	89	61	43.61	0.03551	3.6e-05	0.7940457731958763	0.002316
GO:0046627	negative regulation of insulin receptor signaling pathway	25	16	12.25	0.03593	0.03593	0.7940457731958763	0.3152040909090909
GO:0010467	gene expression	1934	1012	947.74	0.03617	6.9e-05	0.7940457731958763	0.003854921052631579
GO:0035088	establishment or maintenance of apical/basal cell polarity	39	21	19.11	0.03628	0.48557	0.7940457731958763	1
GO:0140013	meiotic nuclear division	148	92	72.53	0.03672	0.00011	0.7954751020408163	0.005307500000000001
GO:2001251	negative regulation of chromosome organization	46	22	22.54	0.03807	0.44022	0.810986	1
GO:0016070	RNA metabolic process	1538	791	753.69	0.03820	0.02565	0.810986	0.25210625
GO:0030071	regulation of mitotic metaphase/anaphase transition	25	16	12.25	0.03920	0.03920	0.8239762376237623	0.33692955465587043
GO:0019098	reproductive behavior	88	42	43.12	0.04038	0.74539	0.8324006086956521	1
GO:0044270	cellular nitrogen compound catabolic process	142	76	69.59	0.04045	0.36287	0.8324006086956521	0.9787881328320802
GO:0006936	muscle contraction	22	13	10.78	0.04082	0.04082	0.8324006086956521	0.3398465098039216
GO:0003333	amino acid transmembrane transport	38	25	18.62	0.04185	0.04185	0.8324006086956521	0.3458755252918288
GO:0050906	detection of stimulus involved in sensory perception	69	24	33.81	0.04190	0.89976	0.8324006086956521	1
GO:0007006	mitochondrial membrane organization	30	19	14.7	0.04259	0.04259	0.8324006086956521	0.3491064478764479
GO:0048285	organelle fission	283	180	138.68	0.04361	5.2e-09	0.8324006086956521	4.104466666666666e-6
GO:0006605	protein targeting	107	54	52.43	0.04378	0.88186	0.8324006086956521	1
GO:0006355	regulation of transcription, DNA-templated	861	435	421.93	0.04390	0.28400	0.8324006086956521	0.8818353138686131
GO:0051028	mRNA transport	66	46	32.34	0.04409	0.00025	0.8324006086956521	0.009828703703703704
GO:1903508	positive regulation of nucleic acid-templated transcription	428	217	209.74	0.04430	0.44643	0.8324006086956521	1
GO:0006664	glycolipid metabolic process	37	19	18.13	0.04453	0.60133	0.8324006086956521	1
GO:0042127	regulation of cell population proliferation	221	117	108.3	0.04486	0.19658	0.8324006086956521	0.7796171139705882
GO:0061983	meiosis II cell cycle process	21	11	10.29	0.04509	0.04509	0.8324006086956521	0.36259874999999997
GO:0051306	mitotic sister chromatid separation	32	23	15.68	0.04617	0.00911	0.8358007377049181	0.11581155688622755
GO:0042254	ribosome biogenesis	207	130	101.44	0.04694	5.3e-06	0.8358007377049181	7.501266666666667e-4
GO:0009612	response to mechanical stimulus	30	21	14.7	0.04727	0.04727	0.8358007377049181	0.3693086813186813
GO:0030717	oocyte karyosome formation	26	12	12.74	0.04749	0.04749	0.8358007377049181	0.3693086813186813
GO:0007528	neuromuscular junction development	173	83	84.78	0.04776	0.38117	0.8358007377049181	0.9950193243243243
GO:0048477	oogenesis	540	279	264.62	0.04777	0.01825	0.8358007377049181	0.20499867724867724
GO:0007400	neuroblast fate determination	22	13	10.78	0.04803	0.04803	0.8358007377049181	0.36998659420289853
GO:0031570	DNA integrity checkpoint	39	23	19.11	0.04892	0.12270	0.838071370967742	0.6422336453201971
GO:0010529	negative regulation of transposition	20	14	9.8	0.04895	0.04895	0.838071370967742	0.375165523465704
GO:0015718	monocarboxylic acid transport	31	18	15.19	0.04955	0.04955	0.8385097163120567	0.3783980215827338
GO:0007015	actin filament organization	153	79	74.98	0.05003	0.32972	0.8385097163120567	0.9412252016129031
GO:0035239	tube morphogenesis	473	212	231.79	0.05053	0.95301	0.8385097163120567	1
GO:0000154	rRNA modification	25	16	12.25	0.05057	0.05057	0.8385097163120567	0.38342896428571427
GO:0045792	negative regulation of cell size	20	11	9.8	0.05161	0.05161	0.8385097163120567	0.38580292253521126
GO:0072659	protein localization to plasma membrane	59	34	28.91	0.05229	0.24059	0.8385097163120567	0.8225001127214171
GO:0090502	RNA phosphodiester bond hydrolysis, endonucleolytic	50	31	24.5	0.05250	0.05250	0.8385097163120567	0.3883536585365853
GO:0009112	nucleobase metabolic process	21	15	10.29	0.05308	0.05308	0.8385097163120567	0.38992678200692044
GO:0009059	macromolecule biosynthetic process	1594	841	781.13	0.05340	0.00016	0.8385097163120567	0.007076666666666667
GO:0065004	protein-DNA complex assembly	105	51	51.45	0.05358	0.17262	0.8385097163120567	0.7314815568862275
GO:0009124	nucleoside monophosphate biosynthetic process	23	11	11.27	0.05360	0.50144	0.8385097163120567	1
GO:0035215	genital disc development	44	24	21.56	0.05446	0.30739	0.8385097163120567	0.9050390166204987
GO:0016203	muscle attachment	35	21	17.15	0.05474	0.05474	0.8385097163120567	0.3993574570446735
GO:0007304	chorion-containing eggshell formation	80	49	39.2	0.05475	0.00437	0.8385097163120567	0.06821698529411764
GO:2000113	negative regulation of cellular macromolecule biosynthetic process	409	208	200.43	0.05535	0.24385	0.8385097163120567	0.8293626879999999
GO:0046700	heterocycle catabolic process	144	77	70.57	0.05540	0.36742	0.8385097163120567	0.9787881328320802
GO:0051668	localization within membrane	20	11	9.8	0.05569	0.05569	0.8385097163120567	0.40351491467576794
GO:0043901	negative regulation of multi-organism process	21	15	10.29	0.05745	0.05745	0.8537388275862069	0.40928305369127516
GO:0008088	axo-dendritic transport	48	23	23.52	0.05755	0.53459	0.8537388275862069	1
GO:0032787	monocarboxylic acid metabolic process	139	71	68.12	0.05825	0.67285	0.8537388275862069	1
GO:0070868	heterochromatin organization involved in chromatin silencing	29	17	14.21	0.05831	0.05831	0.8537388275862069	0.4140205016722408
GO:0016322	neuron remodeling	48	31	23.52	0.06023	0.06023	0.8730295918367347	0.42340493377483446
GO:0007099	centriole replication	25	17	12.25	0.06045	0.06045	0.8730295918367347	0.4235490099009901
GO:0061013	regulation of mRNA catabolic process	22	13	10.78	0.06446	0.06446	0.9246525675675676	0.4443135714285715
GO:0043484	regulation of RNA splicing	102	62	49.98	0.06561	0.02501	0.9316223529411766	0.250711488372093
GO:0051222	positive regulation of protein transport	35	23	17.15	0.06596	0.06596	0.9316223529411766	0.4488239743589744
GO:0110116	regulation of compound eye photoreceptor cell differentiation	33	15	16.17	0.06666	0.80910	0.9316223529411766	1
GO:0032786	positive regulation of DNA-templated transcription, elongation	22	14	10.78	0.06689	0.06689	0.9316223529411766	0.45369798722044735
GO:0051347	positive regulation of transferase activity	87	48	42.63	0.06714	0.38852	0.9316223529411766	1
GO:2000026	regulation of multicellular organismal development	546	268	267.56	0.06845	0.51492	0.9436321428571429	1
GO:0048024	regulation of mRNA splicing, via spliceosome	89	52	43.61	0.07057	0.10101	0.9665813548387097	0.5643269210526316
GO:0035264	multicellular organism growth	50	23	24.5	0.07206	0.35194	0.9760391082802548	0.9675442043984477
GO:0001700	embryonic development via the syncytial blastoderm	157	66	76.94	0.07218	0.98792	0.9760391082802548	1
GO:0042026	protein refolding	21	15	10.29	0.07318	0.07318	0.9832983544303796	0.4850492834890966
GO:1902903	regulation of supramolecular fiber organization	111	49	54.39	0.07586	0.90636	0.9896636046511628	1
GO:0045752	positive regulation of Toll signaling pathway	26	16	12.74	0.07613	0.07613	0.9896636046511628	0.4971574085365854
GO:0072522	purine-containing compound biosynthetic process	83	48	40.67	0.07620	0.00477	0.9896636046511628	0.07391759124087592
GO:0051338	regulation of transferase activity	151	81	74	0.07663	0.20206	0.9896636046511628	0.7801832
GO:0007051	spindle organization	116	69	56.85	0.07676	6.3e-06	0.9896636046511628	8.3593125e-4
GO:0035186	syncytial blastoderm mitotic cell cycle	20	14	9.8	0.07681	0.07681	0.9896636046511628	0.4971574085365854
GO:0000724	double-strand break repair via homologous recombination	61	32	29.89	0.07833	0.07833	0.9896636046511628	0.503923
GO:0016073	snRNA metabolic process	28	16	13.72	0.07850	0.22885	0.9896636046511628	0.8156622425249169
GO:0042048	olfactory behavior	64	34	31.36	0.07851	0.41632	0.9896636046511628	1
GO:0016042	lipid catabolic process	101	50	49.49	0.07926	0.22338	0.9896636046511628	0.8121929109589042
GO:0048732	gland development	160	77	78.41	0.07932	0.30439	0.9896636046511628	0.9050390166204987
GO:2001257	regulation of cation channel activity	20	12	9.8	0.07982	0.07982	0.9896636046511628	0.5066135119047619
GO:0034764	positive regulation of transmembrane transport	20	11	9.8	0.07982	0.07982	0.9896636046511628	0.5066135119047619
GO:0007031	peroxisome organization	20	13	9.8	0.08018	0.08018	0.9896636046511628	0.5066135119047619
GO:0007317	regulation of pole plasm oskar mRNA localization	22	15	10.78	0.08173	0.08173	1	0.5115625364431488
GO:0031175	neuron projection development	439	218	215.13	0.08218	0.84762	1	1
GO:0016482	cytosolic transport	53	29	25.97	0.08342	0.67913	1	1
GO:0051052	regulation of DNA metabolic process	53	28	25.97	0.08345	0.04037	1	0.3398465098039216
GO:0007498	mesoderm development	80	46	39.2	0.08501	0.05304	1	0.38992678200692044
GO:0022412	cellular process involved in reproduction in multicellular organism	742	390	363.61	0.08502	0.00066	1	0.019194246575342466
GO:0006302	double-strand break repair	89	49	43.61	0.08604	0.08226	1	0.5115625364431488
GO:0014706	striated muscle tissue development	27	17	13.23	0.08646	0.08646	1	0.5201650708215297
GO:0006099	tricarboxylic acid cycle	23	15	11.27	0.08769	0.08769	1	0.5258922881355932
GO:0001754	eye photoreceptor cell differentiation	180	85	88.21	0.08795	0.83798	1	1
GO:0072593	reactive oxygen species metabolic process	37	22	18.13	0.08819	0.08819	1	0.5274010422535211
GO:0070646	protein modification by small protein removal	56	28	27.44	0.08830	0.37063	1	0.9827820224719102
GO:0016571	histone methylation	58	29	28.42	0.08872	0.36656	1	0.9787881328320802
GO:0042335	cuticle development	137	64	67.14	0.08886	0.65880	1	1
GO:0034030	ribonucleoside bisphosphate biosynthetic process	22	13	10.78	0.09030	0.09030	1	0.5335216944444444
GO:0034033	purine nucleoside bisphosphate biosynthetic process	22	13	10.78	0.09030	0.09030	1	0.5335216944444444
GO:0006360	transcription by RNA polymerase I	24	15	11.76	0.09047	0.09047	1	0.5335216944444444
GO:0016333	morphogenesis of follicular epithelium	49	31	24.01	0.09204	0.03344	1	0.3020983829787234
GO:0009880	embryonic pattern specification	197	99	96.54	0.09229	0.13511	1	0.6667394009216591
GO:0006165	nucleoside diphosphate phosphorylation	25	13	12.25	0.09332	0.09332	1	0.5466434972677596
GO:0032465	regulation of cytokinesis	20	9	9.8	0.09377	0.09377	1	0.5466434972677596
GO:0033674	positive regulation of kinase activity	77	42	37.73	0.09405	0.57915	1	1
GO:0070201	regulation of establishment of protein localization	66	37	32.34	0.09496	0.10569	1	0.5797929457364341
GO:0007399	nervous system development	1027	503	503.28	0.09529	0.72757	1	1
GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway	24	14	11.76	0.09666	0.09666	1	0.5576336413043478
