GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0035556	intracellular signal transduction	11	3	1.55	0.14	0.137	1	0.7302295081967213
GO:0065007	biological regulation	42	9	5.92	0.14	0.089	1	0.7302295081967213
GO:0009987	cellular process	72	10	10.15	0.20	0.292	1	0.7302295081967213
GO:0034645	cellular macromolecule biosynthetic proc...	22	3	3.1	0.46	0.540	1	0.7302295081967213
GO:0007165	signal transduction	21	5	2.96	0.47	0.169	1	0.7302295081967213
GO:0006464	cellular protein modification process	21	2	2.96	0.49	0.319	1	0.7302295081967213
GO:0071704	organic substance metabolic process	50	6	7.05	0.50	0.412	1	0.7302295081967213
GO:0044238	primary metabolic process	49	6	6.91	0.52	0.486	1	0.7302295081967213
GO:0044267	cellular protein metabolic process	24	2	3.38	0.53	0.320	1	0.7302295081967213
GO:0010467	gene expression	22	3	3.1	0.55	0.540	1	0.7302295081967213
GO:0006468	protein phosphorylation	14	2	1.97	0.56	0.562	1	0.7302295081967213
GO:0019538	protein metabolic process	26	3	3.67	0.57	0.354	1	0.7302295081967213
GO:0006355	regulation of transcription, DNA-templat...	19	3	2.68	0.62	0.618	1	0.7302295081967213
GO:0050794	regulation of cellular process	41	8	5.78	0.65	0.183	1	0.7302295081967213
GO:0044271	cellular nitrogen compound biosynthetic ...	22	3	3.1	0.70	0.626	1	0.7302295081967213
GO:1901564	organonitrogen compound metabolic proces...	28	3	3.95	0.71	0.662	1	0.7302295081967213
GO:0043170	macromolecule metabolic process	46	6	6.49	0.73	0.392	1	0.7302295081967213
GO:0016070	RNA metabolic process	20	3	2.82	0.73	0.688	1	0.7302295081967213
GO:0051171	regulation of nitrogen compound metaboli...	20	3	2.82	0.83	0.696	1	0.7302295081967213
GO:2000112	regulation of cellular macromolecule bio...	20	3	2.82	0.83	0.696	1	0.7302295081967213
GO:0010468	regulation of gene expression	20	3	2.82	0.83	0.696	1	0.7302295081967213
GO:0080090	regulation of primary metabolic process	20	3	2.82	0.83	0.696	1	0.7302295081967213
GO:0034654	nucleobase-containing compound biosynthe...	20	3	2.82	0.84	0.696	1	0.7302295081967213
GO:0044237	cellular metabolic process	47	5	6.63	0.89	0.637	1	0.7302295081967213
GO:0008152	metabolic process	53	6	7.47	0.93	0.695	1	0.7302295081967213
GO:0050896	response to stimulus	22	5	3.1	0.94	0.214	1	0.7302295081967213
GO:0006796	phosphate-containing compound metabolic ...	17	2	2.4	0.99	0.972	1	0.9874285714285713
GO:0016310	phosphorylation	14	2	1.97	1.00	0.562	1	0.7302295081967213
GO:1901360	organic cyclic compound metabolic proces...	21	3	2.96	1.00	0.688	1	0.7302295081967213
GO:0018130	heterocycle biosynthetic process	20	3	2.82	1.00	0.696	1	0.7302295081967213
GO:0006351	transcription, DNA-templated	19	3	2.68	1.00	0.618	1	0.7302295081967213
GO:2001141	regulation of RNA biosynthetic process	19	3	2.68	1.00	0.618	1	0.7302295081967213
