Orthogroup	Anopheles_gambiae	Bombyx_mori
OG0000001	XP_563971.3	NP_001106226.1, NP_001266427.1, XP_012545238.2, NP_001073135.1, NP_001104007.1, NP_001296520.1, NP_001266295.1, XP_037874444.1, XP_037874445.1, XP_037874443.1, XP_037874442.1, NP_001108340.1
OG0000003	XP_001688581.1	XP_037869604.1, XP_037867144.1, XP_037876915.1, XP_037877219.1, XP_037877221.1, XP_037871022.1, XP_037871711.1, XP_037876186.1, XP_037870359.1, XP_037877164.1, XP_037869337.1, XP_037867960.1, XP_037866968.1, XP_037871610.1, XP_037873146.1, XP_037873148.1, XP_037873147.1, XP_037876654.1, XP_037870220.1, XP_021208702.2, XP_037872843.1, XP_037872077.1, XP_037876274.1, XP_037869860.1, XP_037871122.1, XP_037866964.1, XP_037870356.1, XP_037872900.1, XP_037871229.1, XP_037867760.1, XP_037871729.1, XP_037872534.1, XP_037871580.1, XP_037868781.1, XP_037874099.1
OG0000006	XP_320909.1, XP_320910.3	NP_001116806.1, NP_001104829.1, NP_001091789.1, NP_001166603.1
OG0000006	XP_310173.1, XP_310172.2	XP_012548049.2, NP_001155299.1, XP_037872108.1, NP_001104798.1, XP_037868147.1, XP_037868149.1, XP_012545176.2, NP_001166620.1, NP_001104819.1, XP_037873404.1, NP_001104832.2, NP_001091787.1
OG0000007	XP_003435875.1, XP_003435876.1	XP_021202050.1
OG0000008	XP_310333.7	XP_012548163.2
OG0000008	XP_310282.6	XP_004929514.1
OG0000008	XP_312388.4, XP_312387.5	XP_012548032.1
OG0000008	XP_003436608.1, XP_003436609.1, XP_003436607.1	XP_037872354.1
OG0000008	XP_310332.7, XP_003436611.1	XP_012548168.1
OG0000008	XP_559558.6, XP_003436610.1	XP_021205470.2
OG0000008	XP_310340.1	XP_037872353.1, XP_012548164.1
OG0000009	XP_001689238.1, XP_001238278.2, XP_561320.5, XP_320243.1, XP_551896.3, XP_001238280.1	XP_037872543.1, NP_001095934.1, XP_037872544.1, NP_001103394.1, NP_001103404.1, NP_001077079.1
OG0000009	XP_316781.2	XP_021202508.2, NP_001108456.1
OG0000012	XP_316143.4	XP_037870917.1
OG0000012	XP_317829.4	XP_012543999.1
OG0000012	XP_554157.3	XP_037870940.1, XP_012547171.2, XP_021203795.1
OG0000012	XP_319603.2, XP_317170.2, XP_317171.2, XP_317172.2, XP_555167.1, XP_317173.2, XP_317175.2, XP_317174.2, XP_318046.3, XP_319102.4, XP_001231167.2	XP_021204459.2
OG0000013	XP_305996.3, XP_307081.3, XP_315130.3	XP_004933313.1
OG0000013	XP_307601.3	NP_001040399.1
OG0000013	XP_321242.1, XP_320335.2, XP_320336.2	NP_001091756.1
OG0000017	XP_319968.3, XP_319970.3, XP_319969.1, XP_319967.1, XP_319966.1, XP_001238234.1, XP_319972.1	NP_001108466.1, XP_012546875.1, NP_001037420.1
OG0000017	XP_310012.1	NP_001040130.1
OG0000017	XP_562676.3	NP_001037183.1
OG0000017	XP_562680.2, XP_313048.1, XP_313052.1, XP_313050.3, XP_313049.1	XP_037877194.1, NP_001037546.1, XP_037867588.1, XP_037877193.1, XP_037867593.1, NP_001036974.1
OG0000018	XP_316463.3, XP_557101.2	XP_037871931.1
OG0000018	XP_001237640.2, XP_315221.5, XP_001688623.2	XP_037875232.1
OG0000018	XP_312930.5	XP_021205339.2, XP_037871705.1, NP_001243945.1, XP_037871800.1
OG0000019	XP_321444.5	NP_001268819.1, XP_037869432.1, NP_001040220.1
OG0000019	XP_309657.4, XP_559998.4, XP_312042.5, XP_316926.4	XP_037866672.1, XP_004931474.1, XP_004925522.1, XP_021203269.2, XP_004922003.2
OG0000019	XP_003436388.1, XP_312768.5, XP_314084.4, XP_312606.4	NP_001119718.1, XP_037872951.1, XP_004924270.3, XP_021204440.2, XP_004928788.2, XP_037874708.1, XP_012545204.1, XP_004927001.2, XP_021204176.1, XP_004927318.1
OG0000020	XP_554133.3	XP_021206581.1
OG0000020	XP_314903.3, XP_554132.3	XP_012545030.1
OG0000020	XP_314904.3	XP_037867737.1
OG0000020	XP_001238085.2, XP_319101.4, XP_315006.4	XP_012552719.1, XP_021202222.1
OG0000020	XP_312941.4	XP_037874470.1, XP_037874469.1
OG0000020	XP_321843.5	XP_012548770.1
OG0000020	XP_001231126.3	XP_037867242.1, XP_012549186.1
OG0000021	XP_313342.5, XP_003436532.1	XP_004932475.1, XP_021207797.1
OG0000021	XP_320239.4, XP_312638.5	XP_004926417.1
OG0000021	XP_003436878.1, XP_315178.5, XP_315182.5, XP_315184.4	XP_037869061.1
OG0000022	XP_320674.3	NP_001153667.1
OG0000023	XP_320334.2, XP_320329.2, XP_001238300.1, XP_306255.2, XP_307082.2	NP_001153668.1
OG0000024	XP_319504.3, XP_315663.4, XP_315499.1, XP_001237675.1, XP_001237676.2, XP_556135.3, XP_315496.4, XP_312977.3	XP_037872402.1
OG0000026	XP_558069.3	XP_037867257.1
OG0000026	XP_321915.5, XP_321911.5	XP_021205952.1, XP_037874519.1, XP_037874423.1
OG0000026	XP_003436038.1, XP_308060.4	XP_021204803.2
OG0000026	XP_322033.4	XP_004929451.1, XP_012548588.1
OG0000027	XP_315129.4	NP_001153669.1
OG0000029	XP_311670.4, XP_001688322.1, XP_001688325.1, XP_001688324.1, XP_001688323.1, XP_311667.3, XP_001230823.2, XP_001230824.2, XP_306539.4, XP_001230390.1	NP_001166687.1
OG0000029	XP_319711.4, XP_001688326.1, XP_003436466.1, XP_560960.4, XP_311664.4	NP_001093082.1, NP_001166690.1, NP_001166689.1
