Orthogroup	Megalopta_genalis	Megachile_rotundata
OG0000000	XP_033332143.1	XP_012152724.1
OG0000000	XP_033339901.1	XP_003708045.1
OG0000000	XP_033322446.1	XP_012151339.1
OG0000000	XP_033329061.1	XP_012147281.1
OG0000000	XP_033322444.1, XP_033339380.1	XP_012145447.1, XP_012153566.1
OG0000000	XP_033321268.1	XP_012143823.1, XP_012136214.1, XP_012135024.1, XP_012152412.1
OG0000000	XP_033323553.1	XP_012151963.1, XP_012142755.1
OG0000001	XP_033341784.1	XP_012153916.1, XP_012153915.1
OG0000001	XP_033326761.1, XP_033326760.1, XP_033326759.1, XP_033326758.1, XP_033326756.1, XP_033326755.1, XP_033326754.1, XP_033326753.1, XP_033326752.1, XP_033326751.1, XP_033326750.1	XP_003704416.1, XP_012143065.1, XP_012143066.1, XP_003704415.1, XP_003704279.1, XP_012143067.1
OG0000001	XP_033323542.1	XP_012140371.1, XP_012140372.1, XP_003703231.1
OG0000001	XP_033326762.1, XP_033326763.1	XP_012143070.1, XP_012143071.1, XP_012143072.1, XP_003704281.1
OG0000001	XP_033326774.1, XP_033326767.1, XP_033326559.1, XP_033326766.1, XP_033326768.1	XP_012143073.1
OG0000001	XP_033329022.1, XP_033329019.1, XP_033329018.1, XP_033329017.1, XP_033331299.1, XP_033331298.1	XP_003704278.1, XP_012143061.1, XP_003704412.1
OG0000001	XP_033339718.1	XP_003703200.1
OG0000001	XP_033326710.1	XP_003699913.1
OG0000001	XP_033338371.1, XP_033322509.1	XP_003701310.1, XP_003701343.1, XP_012136078.1, XP_012136077.1, XP_003701345.1, XP_012136079.1
OG0000002	XP_033330629.1	XP_003700909.2
OG0000004	XP_033323473.1	XP_012152144.1
OG0000004	XP_033326525.1, XP_033326528.1	XP_012151871.1
OG0000004	XP_033320948.1	XP_012148632.1
OG0000004	XP_033329035.1	XP_012152409.1
OG0000004	XP_033331114.1	XP_012151870.1
OG0000004	XP_033323310.1	XP_012146535.1
OG0000004	XP_033329188.1	XP_012147779.1
OG0000004	XP_033335544.1, XP_033324576.1	XP_003706754.1
OG0000004	XP_033330456.1	XP_012153575.1
OG0000005	XP_033333817.1, XP_033333818.1, XP_033333179.1, XP_033333180.1, XP_033333183.1, XP_033333184.1, XP_033333182.1, XP_033333185.1, XP_033333186.1, XP_033333187.1, XP_033333188.1, XP_033333178.1, XP_033333177.1, XP_033333176.1, XP_033333175.1, XP_033331182.1, XP_033331181.1	XP_012141791.1
OG0000005	XP_033329942.1, XP_033329941.1, XP_033329937.1	XP_012154410.1, XP_012154409.1, XP_012139976.1, XP_012134537.1
OG0000005	XP_033328818.1	XP_012147629.1
OG0000005	XP_033331348.1, XP_033331346.1	XP_012148507.1
OG0000005	XP_033328756.1	XP_012152029.1
OG0000006	XP_033332254.1	XP_012143123.1
OG0000006	XP_033325709.1	XP_003707057.2, XP_012149242.1
OG0000008	XP_033329050.1	XP_003705710.1
OG0000008	XP_033321018.1, XP_033321034.1	XP_003705708.1
OG0000008	XP_033329521.1	XP_012141335.1
OG0000008	XP_033329051.1	XP_003705711.1
OG0000008	XP_033329032.1, XP_033329033.1, XP_033329034.1	XP_003705712.1
OG0000008	XP_033321020.1, XP_033321019.1	XP_003705707.1
OG0000009	XP_033323903.1, XP_033323904.1	XP_012145773.1
OG0000009	XP_033323905.1	XP_012145771.1, XP_012145774.1
OG0000009	XP_033321090.1	XP_003703411.1
OG0000009	XP_033323886.1, XP_033323896.1	XP_003705489.1, XP_003705491.1
OG0000010	XP_033342844.1, XP_033332592.1, XP_033332262.1, XP_033329818.1, XP_033328507.1, XP_033337278.1, XP_033333275.1	XP_012150535.1
OG0000010	XP_033337116.1, XP_033332263.1, XP_033339381.1, XP_033337295.1, XP_033333309.1	XP_012146537.1
OG0000011	XP_033340025.1	XP_012152696.1, XP_012152697.1
OG0000011	XP_033341682.1, XP_033341685.1, XP_033341686.1, XP_033341632.1, XP_033330645.1, XP_033340023.1	XP_012152699.1, XP_012142611.1, XP_003708369.2, XP_012152698.1, XP_012142612.1
OG0000012	XP_033333560.1	XP_003705464.1
OG0000012	XP_033333685.1	XP_003705466.1
OG0000012	XP_033324767.1	XP_003705999.2
OG0000012	XP_033324764.1	XP_012146828.1
OG0000013	XP_033328965.1	XP_003707914.1
OG0000013	XP_033330794.1, XP_033330796.1, XP_033330795.1, XP_033330798.1	XP_003708097.1
OG0000014	XP_033328582.1, XP_033328621.1, XP_033328603.1	XP_003703733.1
OG0000014	XP_033328576.1	XP_003707917.1
OG0000016	XP_033337658.1	XP_012153435.1
OG0000016	XP_033324994.1	XP_012148641.1
OG0000016	XP_033334295.1, XP_033334291.1, XP_033334493.1, XP_033321457.1	XP_012142648.1
OG0000017	XP_033323611.1	XP_012136742.1
OG0000017	XP_033341624.1	XP_012145417.1
