Orthogroup	Anopheles_gambiae	Solenopsis_invicta
OG0000001	XP_563971.3	NP_001306576.1, XP_011159731.1, XP_011173390.1, XP_039305737.1, XP_011173391.1, XP_011173392.2, XP_011173393.2, XP_011164185.1, XP_011164532.2, XP_011164534.2, XP_011175846.1, XP_039302921.1, XP_039304528.1, XP_025997249.1, XP_025997248.1, XP_025994980.2, XP_025986982.2, XP_039301751.1, XP_011162032.2, XP_039315612.1
OG0000002	XP_317343.1	XP_025986773.2, XP_025986694.2, XP_039304867.1, XP_011159003.3, XP_039304863.1, XP_025987073.2, XP_039304876.1, XP_011158994.1, XP_025986823.2, XP_039305193.1, XP_039305192.1, XP_011158759.1, XP_025986706.2, XP_011158999.2, XP_011175322.2, XP_011158991.3, XP_039304861.1, XP_025986698.2, XP_025986687.1, XP_025986681.1, XP_011159024.2, XP_039304874.1, XP_011159023.1, XP_039305194.1, XP_039304869.1, XP_039304870.1, XP_011159010.2, XP_011158761.2, XP_039304864.1, XP_011159019.1, XP_039304872.1, XP_039304868.1, XP_025986690.1, XP_011159014.1, XP_011159015.1, XP_011159011.2, XP_025986684.1, XP_025986692.1, XP_025986695.2, XP_025986775.1, XP_039304878.1
OG0000003	XP_001688581.1	XP_039311136.1, XP_039314523.1, XP_039306769.1, XP_039310749.1, XP_039310750.1, XP_039303912.1, XP_039313971.1, XP_039311354.1, XP_039311957.1, XP_039306745.1, XP_011164920.1, XP_025987873.2, XP_011171782.2, XP_039310742.1, XP_011170649.2, XP_039312431.1, XP_039307879.1, XP_011170193.3, XP_039307955.1, XP_039315070.1, XP_039306772.1, XP_039312432.1, XP_039312438.1, XP_039306764.1, XP_011166545.2, XP_011166665.1, XP_039313506.1, XP_011163878.2, XP_011162376.2, XP_011171732.2, XP_039304988.1, XP_039307927.1, XP_039315442.1, XP_025996234.2, XP_039301721.1, XP_025996895.1
OG0000006	XP_320909.1, XP_320910.3	XP_039311113.1
OG0000006	XP_310173.1, XP_310172.2	XP_011171479.2, XP_039306260.1
OG0000007	XP_003435875.1, XP_003435876.1	XP_025990628.2, XP_039303538.1, XP_039310339.1, XP_025996264.2, XP_039304171.1
OG0000008	XP_310333.7	XP_011158384.1, XP_039305295.1, XP_039307163.1
OG0000008	XP_312388.4, XP_312387.5	XP_039314393.1, XP_039314392.1, XP_025990966.2
OG0000008	XP_003436608.1, XP_003436609.1, XP_003436607.1	XP_039314890.1, XP_025990736.1, XP_039314253.1, XP_039314743.1, XP_025990780.1, XP_011174114.2, XP_011157509.1, XP_011161144.1, XP_011158387.1
OG0000008	XP_310332.7, XP_003436611.1	XP_039305326.1, XP_039305325.1, XP_039305297.1
OG0000008	XP_559558.6, XP_003436610.1	XP_011158386.1, XP_039305296.1
OG0000008	XP_310340.1	XP_039305528.1
OG0000009	XP_001689238.1, XP_001238278.2, XP_561320.5, XP_320243.1, XP_551896.3, XP_001238280.1, XP_316781.2	XP_039307552.1, XP_039307297.1, XP_011172819.1, XP_011172814.2, XP_011172813.1, XP_011172812.1, XP_039306889.1, XP_011172811.1, XP_011158271.1, XP_011155385.2, XP_039312296.1, XP_039312297.1, XP_011175447.1, XP_039310444.1, XP_039310445.1, XP_039313457.1, XP_039315616.1, XP_039301753.1, XP_011175446.1, XP_011175444.1, XP_011168514.1, XP_011175440.1, XP_011175442.1, XP_011175441.1, XP_039310443.1, XP_011172780.1, XP_011160035.1, XP_039307038.1, XP_011172781.1, XP_039307039.1, XP_039307040.1, XP_025986432.2, XP_025986433.1, XP_011166535.1, XP_011172782.1, XP_025986445.2
OG0000012	XP_317829.4	XP_011167036.2
OG0000012	XP_554157.3, XP_319603.2, XP_317170.2, XP_317171.2, XP_317172.2, XP_555167.1, XP_317173.2, XP_317175.2, XP_317174.2, XP_318046.3, XP_319102.4, XP_001231167.2	XP_011166798.2, XP_039314082.1
OG0000012	XP_321898.3, XP_001689374.2, XP_308888.1, XP_001689375.2, XP_001689376.2, XP_321901.4, XP_001238557.2	XP_025991007.1
OG0000013	XP_307081.3	XP_011165753.2
OG0000013	XP_307601.3	XP_011166327.1
OG0000013	XP_320335.2, XP_320336.2	XP_011158467.1, XP_011158466.1
OG0000013	XP_003435952.1	XP_011158471.1
OG0000017	XP_562680.2, XP_313048.1, XP_313052.1, XP_313050.3, XP_313049.1	XP_039311373.1, XP_025996377.1
OG0000018	XP_316463.3, XP_557101.2	XP_025993846.1, XP_039312756.1
OG0000018	XP_558678.4, XP_551022.4, XP_321300.4	XP_011168181.2, XP_011168177.2
OG0000018	XP_312930.5	XP_039312480.1, XP_039312479.1
OG0000019	XP_321444.5	XP_025990211.2
OG0000019	XP_316926.4	XP_011158633.2
OG0000019	XP_003436388.1, XP_312768.5, XP_314084.4, XP_312606.4	XP_025993384.1, XP_025996194.1, XP_039304954.1, XP_011171050.2, XP_011171052.2, XP_039306693.1, XP_011163180.2, XP_039309449.1, XP_025993961.1, XP_025987780.2, XP_025987781.2, XP_025987782.2, XP_039314384.1, XP_039314385.1, XP_011155421.1, XP_025990075.1, XP_039308626.1
OG0000020	XP_554133.3	XP_025986429.1
OG0000020	XP_314903.3, XP_554132.3	XP_011159576.2
OG0000020	XP_314904.3	XP_025986409.1
OG0000020	XP_001238085.2, XP_319101.4	XP_025987337.1
OG0000020	XP_321843.5	XP_025991589.1
OG0000020	XP_001231126.3	XP_011157847.1
OG0000021	XP_313342.5, XP_003436532.1	XP_011158408.1, XP_011158409.1, XP_011158407.1, XP_039314153.1
OG0000021	XP_320239.4, XP_312638.5	XP_011159438.1
OG0000022	XP_318365.3	XP_011163652.1
OG0000022	XP_306256.1, XP_307083.3	XP_011166335.1
OG0000026	XP_558069.3	XP_039304799.1
OG0000026	XP_321915.5	XP_011175708.1, XP_039313524.1, XP_039313525.1, XP_039313526.1, XP_025989861.1, XP_039313527.1
OG0000027	XP_318361.3, XP_315129.4	XP_011156268.1
OG0000029	XP_311670.4, XP_001688322.1, XP_001688325.1, XP_001688324.1, XP_001688323.1, XP_311667.3, XP_001230823.2, XP_001230824.2, XP_306539.4, XP_001230390.1, XP_321427.2, XP_001238481.1, XP_321429.3, XP_551138.2, XP_551139.2, XP_551141.1	XP_011175216.3, XP_011175277.3
OG0000029	XP_319711.4	XP_025987625.1
OG0000029	XP_001688326.1, XP_003436466.1, XP_560960.4, XP_311664.4	XP_025994361.1
OG0000030	XP_320774.4	XP_025986100.1
OG0000032	XP_001231044.2	XP_039305331.1, XP_011173570.2
OG0000032	XP_309525.4	XP_025991246.2
OG0000032	XP_321319.5, XP_320826.2, XP_320829.4, XP_313740.5, XP_310281.6	XP_011159466.2, XP_011165027.1, XP_011165031.2, XP_011165029.2, XP_011165028.2
OG0000035	XP_317561.4	XP_039312187.1
OG0000036	XP_001237843.1, XP_001688918.1, XP_316607.4, XP_001237840.1, XP_001688914.1, XP_001688917.1	XP_011166052.2, XP_011166051.2, XP_011166050.1, XP_011166049.1
OG0000037	XP_308914.4, XP_308913.3, XP_001237150.1, XP_308915.3, XP_316348.4, XP_308909.2, XP_556645.1, XP_308908.3, XP_308891.2, XP_316624.3, XP_001688133.1, XP_001688134.1, XP_308903.4, XP_001237148.2, XP_001688135.1, XP_001237147.2, XP_001688132.1, XP_001237146.1, XP_001688131.1, XP_308896.4, XP_308892.4, XP_001688124.1, XP_001688129.1, XP_001688130.1, XP_001688127.1, XP_001688128.1, XP_001688125.1, XP_001688120.1, XP_001688126.1, XP_001688123.1, XP_001237145.2, XP_001688119.1, XP_001688121.1, XP_001688122.1	XP_011161783.1
OG0000038	XP_551626.4, XP_321937.5, XP_309723.4	XP_011172049.1
OG0000040	XP_314093.2, XP_565496.1, XP_309032.2, XP_309033.2, XP_309036.1, XP_565054.3, XP_308619.3, XP_001689276.1, XP_318423.5, XP_001689275.1, XP_552320.3, XP_310364.7	XP_039308303.1, XP_011155953.3, XP_025987097.2, XP_039308361.1, XP_039303181.1, XP_011155958.2, XP_025987203.2, XP_011170816.1
OG0000041	XP_003437049.1	XP_011173741.1
OG0000041	XP_313971.4	XP_011173634.1, XP_011173641.1
OG0000041	XP_315271.4	XP_011167847.1
OG0000042	XP_311704.5	XP_025993436.2, XP_025988401.1, XP_025988400.1
OG0000042	XP_003435912.1, XP_003435911.1, XP_003435913.1, XP_321375.3, XP_307056.3	XP_025993549.1, XP_011172554.1
OG0000043	XP_317400.2	XP_011166108.1
OG0000044	XP_318000.4, XP_001689317.2, XP_003435967.1, XP_003435966.1, XP_003436699.1, XP_312430.5, XP_554544.3, XP_307174.4, XP_562562.2, XP_313478.5	XP_039306340.1, XP_025986513.2, XP_025986454.1
OG0000044	XP_003436574.1	XP_025986451.2, XP_025986364.1, XP_025986365.1, XP_025986366.1, XP_025986367.1
OG0000045	XP_001689203.1, XP_316055.4, XP_552857.3, XP_319713.4, XP_320938.3, XP_320155.3, XP_320159.3, XP_320158.1, XP_552300.3	XP_011157503.2, XP_011156768.2, XP_025992324.2
OG0000046	XP_313085.3	XP_011168512.1
