Orthogroup	Megalopta_genalis	Nasonia_vitripennis
OG0000000	XP_033333383.1	XP_031777452.1, XP_031781161.1, XP_032457929.1, XP_031777424.1
OG0000000	XP_033329061.1, XP_033339063.1, XP_033339068.1, XP_033322444.1, XP_033339380.1, XP_033338067.1, XP_033339065.1, XP_033325358.1	XP_031779811.1, XP_031781320.1, XP_008214147.2
OG0000001	XP_033341784.1	NP_001166007.1, NP_001165974.1, NP_001166008.1, XP_001606687.2, XP_001607043.2, NP_001166004.1, NP_001166003.1, XP_001602787.1
OG0000001	XP_033326761.1, XP_033326760.1, XP_033326759.1, XP_033326758.1, XP_033326756.1, XP_033326755.1, XP_033326754.1, XP_033326753.1, XP_033326752.1, XP_033326751.1, XP_033326750.1, XP_033323542.1, XP_033326762.1, XP_033326763.1, XP_033326774.1, XP_033326767.1, XP_033326559.1, XP_033326766.1, XP_033326768.1, XP_033329022.1, XP_033329019.1, XP_033329018.1, XP_033329017.1, XP_033331299.1, XP_033331298.1	NP_001166001.1, XP_031789348.1, NP_001165999.1, XP_031787437.1, XP_001604822.1, XP_031780875.1, XP_031780867.1, XP_032451660.1, XP_001603529.3, NP_001165939.1, XP_016843419.1
OG0000001	XP_033339718.1	XP_032451623.1, XP_032451622.1, XP_008208821.1, XP_001599214.2, XP_032451621.1
OG0000001	XP_033326710.1	XP_001603508.1, NP_001165940.1, XP_001599460.2
OG0000001	XP_033338373.1, XP_033338371.1, XP_033322509.1	NP_001165997.1, NP_001165995.1, NP_001165996.1, XP_001599361.4, NP_001165998.1
OG0000002	XP_033330629.1	NP_001177429.1
OG0000003	XP_033335210.1	XP_031779857.1, XP_016838740.1, XP_031783935.1
OG0000005	XP_033329942.1, XP_033329941.1, XP_033329937.1	XP_001604398.2
OG0000006	XP_033331536.1	NP_001177699.1, XP_031784308.1, XP_031785567.2, NP_001164399.1, XP_031784319.1, NP_001177515.1, XP_031784322.1, NP_001177513.1, NP_001177512.1, NP_001177514.1, XP_031785566.2, XP_031785042.1, NP_001164398.1, NP_001177517.1, XP_031784324.1, NP_001177516.1, NP_001164396.1, NP_001164394.1, XP_032453628.1, NP_001164395.1
OG0000008	XP_033329050.1	XP_001602085.1
OG0000008	XP_033321018.1, XP_033321034.1	XP_008205990.2
OG0000008	XP_033329521.1	XP_031788628.1
OG0000008	XP_033329051.1	XP_001602133.1
