GO.ID,Term,Annotated,Significant,Expected,classicFisher,classicFisherPadj
GO:0005694,chromosome,578,59,30.28,3e-7,1.0379999999999999e-4
GO:0005700,polytene chromosome,182,26,9.54,2.4e-6,4.1519999999999995e-4
GO:0005634,nucleus,2267,158,118.78,6.3e-6,5.3976e-4
GO:0019897,extrinsic component of plasma membrane,42,11,2.2,6.9e-6,5.3976e-4
GO:0034399,nuclear periphery,35,10,1.83,7.8e-6,5.3976e-4
GO:0000785,chromatin,314,34,16.45,3.7e-5,0.002026571428571429
GO:0009898,cytoplasmic side of plasma membrane,50,11,2.62,4.1e-5,0.002026571428571429
GO:0031981,nuclear lumen,961,77,50.35,5.5e-5,0.0023787500000000002
GO:0005886,plasma membrane,1130,87,59.21,7.1e-5,0.002729555555555556
GO:0098562,cytoplasmic side of membrane,56,11,2.93,1.2e-4,0.004152
GO:0005829,cytosol,924,73,48.41,1.4e-4,0.004325
GO:0005622,intracellular,5142,298,269.41,1.5e-4,0.004325
GO:0071944,cell periphery,1224,91,64.13,1.7e-4,0.004524615384615385
GO:0070161,anchoring junction,158,20,8.28,2e-4,0.004942857142857143
GO:0031234,extrinsic component of cytoplasmic side ...,25,7,1.31,2.2e-4,0.0050746666666666666
GO:0045177,apical part of cell,160,20,8.38,2.4e-4,0.00519
GO:0005938,cell cortex,186,22,9.75,2.6e-4,0.005291764705882352
GO:0019898,extrinsic component of membrane,84,13,4.4,3.8e-4,0.007304444444444444
GO:0098552,side of membrane,75,12,3.93,4.7e-4,0.008558947368421051
GO:0000228,nuclear chromosome,326,31,17.08,8.4e-4,0.014532000000000002
GO:0043235,receptor complex,60,10,3.14,9.9e-4,0.01631142857142857
GO:0016028,rhabdomere,32,7,1.68,0.0011,0.0173
GO:0000791,euchromatin,25,6,1.31,0.0015,0.022345833333333332
GO:0043227,membrane-bounded organelle,3944,234,206.64,0.00155,0.022345833333333332
GO:0000790,nuclear chromatin,228,23,11.95,0.00182,0.0251888
GO:0031974,membrane-enclosed lumen,1180,83,61.83,0.00204,0.02520857142857143
GO:0043233,organelle lumen,1180,83,61.83,0.00204,0.02520857142857143
GO:0070013,intracellular organelle lumen,1180,83,61.83,0.00204,0.02520857142857143
GO:0030426,growth cone,27,6,1.41,0.0023,0.027441379310344828
GO:0030427,site of polarized growth,28,6,1.47,0.0028,0.032293333333333334
GO:0098687,chromosomal region,155,17,8.12,0.00295,0.0329258064516129
GO:0045179,apical cortex,48,8,2.51,0.00314,0.03395125
GO:0042995,cell projection,572,45,29.97,0.00342,0.03585818181818182
GO:0030055,cell-substrate junction,39,7,2.04,0.00367,0.03734764705882353
GO:0031982,vesicle,451,37,23.63,0.00396,0.039147428571428576
GO:0043231,intracellular membrane-bounded organelle,3670,217,192.29,0.00423,0.040655000000000004
GO:0098858,actin-based cell projection,32,6,1.68,0.00564,0.04690961538461538
GO:0031410,cytoplasmic vesicle,417,34,21.85,0.00624,0.04690961538461538
GO:0097708,intracellular vesicle,417,34,21.85,0.00624,0.04690961538461538
GO:0009986,cell surface,65,9,3.41,0.00638,0.04690961538461538
GO:0005764,lysosome,89,11,4.66,0.00648,0.04690961538461538
GO:0005615,extracellular space,282,25,14.78,0.00659,0.04690961538461538
GO:0030425,dendrite,102,12,5.34,0.00677,0.04690961538461538
GO:0097447,dendritic tree,102,12,5.34,0.00677,0.04690961538461538
GO:0018995,host cellular component,66,9,3.46,0.00705,0.04690961538461538
GO:0033643,host cell part,66,9,3.46,0.00705,0.04690961538461538
GO:0033646,host intracellular part,66,9,3.46,0.00705,0.04690961538461538
GO:0033647,host intracellular organelle,66,9,3.46,0.00705,0.04690961538461538
GO:0033648,host intracellular membrane-bounded orga...,66,9,3.46,0.00705,0.04690961538461538
GO:0042025,host cell nucleus,66,9,3.46,0.00705,0.04690961538461538
GO:0043656,host intracellular region,66,9,3.46,0.00705,0.04690961538461538
GO:0043657,host cell,66,9,3.46,0.00705,0.04690961538461538
GO:0000323,lytic vacuole,91,11,4.77,0.00765,0.049941509433962264
GO:0110165,cellular anatomical entity,6537,352,342.5,0.00878,0.056257037037037036
GO:0099738,cell cortex region,69,9,3.62,0.00941,0.059197454545454546
GO:0005737,cytoplasm,3685,215,193.07,0.00991,0.061229642857142864
GO:0016604,nuclear body,70,9,3.67,0.01032,0.06264421052631579
GO:0120025,plasma membrane bounded cell projection,563,42,29.5,0.0115,0.06752766666666667
GO:0030054,cell junction,515,39,26.98,0.01168,0.06752766666666667
GO:0036477,somatodendritic compartment,178,17,9.33,0.01171,0.06752766666666667
GO:0005925,focal adhesion,27,5,1.41,0.01194,0.06772524590163934
GO:0098802,plasma membrane signaling receptor compl...,38,6,1.99,0.0132,0.07366451612903226
GO:0005654,nucleoplasm,553,41,28.97,0.01375,0.07551587301587302
GO:0005911,cell-cell junction,126,13,6.6,0.01436,0.07763375
GO:0043229,intracellular organelle,4318,246,226.24,0.01499,0.07889848484848484
GO:0150034,distal axon,87,10,4.56,0.01505,0.07889848484848484
GO:0090575,RNA polymerase II transcription regulato...,88,10,4.61,0.01621,0.08371134328358208
GO:0005576,extracellular region,484,36,25.36,0.01953,0.09803333333333335
GO:0030424,axon,203,18,10.64,0.01955,0.09803333333333335
GO:0005912,adherens junction,66,8,3.46,0.02116,0.10459085714285715
GO:0016324,apical plasma membrane,94,10,4.93,0.02467,0.12022281690140844
GO:0031252,cell leading edge,83,9,4.35,0.02887,0.13683589041095892
GO:0031594,neuromuscular junction,83,9,4.35,0.02887,0.13683589041095892
GO:0016328,lateral plasma membrane,23,4,1.21,0.029760000000000002,0.13803093333333333
GO:0098791,Golgi apparatus subcompartment,97,10,5.08,0.02992,0.13803093333333333
GO:0045178,basal part of cell,34,5,1.78,0.03054,0.13903736842105263
GO:0005667,transcription regulator complex,155,14,8.12,0.03216,0.14403358974358973
GO:0043005,neuron projection,372,28,19.49,0.03247,0.14403358974358973
GO:0098797,plasma membrane protein complex,142,13,7.44,0.0347,0.15197721518987342
GO:0043025,neuronal cell body,114,11,5.97,0.03591,0.15531075
GO:0005768,endosome,234,19,12.26,0.03743,0.1588265060240964
GO:0031226,intrinsic component of plasma membrane,361,27,18.91,0.03782,0.1588265060240964
GO:1990234,transferase complex,410,30,21.48,0.0381,0.1588265060240964
GO:0043226,organelle,4428,248,232,0.03926,0.15883813953488374
GO:0043228,non-membrane-bounded organelle,1488,92,77.96,0.03948,0.15883813953488374
GO:0043232,intracellular non-membrane-bounded organ...,1488,92,77.96,0.03948,0.15883813953488374
GO:0005887,integral component of plasma membrane,348,26,18.23,0.04151,0.16332772727272726
GO:0005769,early endosome,75,8,3.93,0.04154,0.16332772727272726
GO:0000776,kinetochore,37,5,1.94,0.04215,0.16386404494382023
GO:0000794,condensed nuclear chromosome,26,4,1.36,0.04447,0.16908373626373627
GO:0042734,presynaptic membrane,26,4,1.36,0.04447,0.16908373626373627
GO:0070603,SWI/SNF superfamily-type complex,51,6,2.67,0.04897,0.18416978260869565
GO:0031984,organelle subcompartment,106,10,5.55,0.05031,0.1871748387096774
GO:0019005,SCF ubiquitin ligase complex,39,5,2.04,0.05118,0.18838595744680853
GO:0000775,"chromosome, centromeric region",65,7,3.41,0.0524,0.1889664583333333
GO:0005773,vacuole,136,12,7.13,0.05243,0.1889664583333333
GO:0005703,polytene chromosome puff,41,5,2.15,0.06127,0.21794469387755103
GO:0005795,Golgi stack,54,6,2.83,0.06173,0.21794469387755103
GO:0005643,nuclear pore,42,5,2.2,0.0667,0.2331131313131313
GO:0005770,late endosome,83,8,4.35,0.06809,0.23559139999999998
GO:0030496,midbody,30,4,1.57,0.06934,0.2375409900990099
GO:0044297,cell body,128,11,6.71,0.07164,0.2430141176470588
GO:0031965,nuclear membrane,57,6,2.99,0.07629,0.25627514563106796
GO:1904949,ATPase complex,58,6,3.04,0.08154,0.27127730769230773
GO:1902494,catalytic complex,840,53,44.01,0.08276,0.27271390476190477
GO:0032153,cell division site,45,5,2.36,0.08455,0.2734046728971963
GO:1902911,protein kinase complex,45,5,2.36,0.08455,0.2734046728971963
GO:0043296,apical junction complex,59,6,3.09,0.08699,0.2786901851851852
GO:0000151,ubiquitin ligase complex,118,10,6.18,0.08954,0.28422788990825687
GO:0048471,perinuclear region of cytoplasm,90,8,4.72,0.0983,0.3091981818181818
GO:0032154,cleavage furrow,34,4,1.78,0.09996,0.311587027027027
GO:0000781,"chromosome, telomeric region",22,3,1.15,0.10521,0.32502375
GO:0030139,endocytic vesicle,35,4,1.83,0.10845,0.33206814159292036
GO:0099568,cytoplasmic region,156,12,8.17,0.11647,0.3534966666666667
GO:0008023,transcription elongation factor complex,37,4,1.94,0.12635,0.3768715517241379
GO:1902554,serine/threonine protein kinase complex,37,4,1.94,0.12635,0.3768715517241379
GO:0005881,cytoplasmic microtubule,24,3,1.26,0.12827,0.37932837606837605
GO:0005635,nuclear envelope,113,9,5.92,0.13722,0.40235694915254244
GO:0000793,condensed chromosome,55,5,2.88,0.15956,0.463930756302521
GO:0045202,synapse,371,24,19.44,0.16455,0.4740771900826446
GO:0035327,transcriptionally active chromatin,27,3,1.41,0.16579,0.4740771900826446
GO:0012505,endomembrane system,1071,63,56.11,0.16992,0.4819042622950819
GO:0098793,presynapse,202,14,10.58,0.17295,0.486509756097561
GO:0045495,pole plasm,43,4,2.25,0.18652,0.5204509677419354
GO:0005802,trans-Golgi network,44,4,2.31,0.19733,0.5462094399999999
GO:0031461,cullin-RING ubiquitin ligase complex,77,6,4.03,0.21516,0.5908361904761904
GO:0098590,plasma membrane region,298,19,15.61,0.21694,0.5910333858267717
GO:0031970,organelle envelope lumen,31,3,1.62,0.21993,0.5944982812499999
GO:0000118,histone deacetylase complex,32,3,1.68,0.23399,0.6133374242424242
GO:0017053,transcription repressor complex,32,3,1.68,0.23399,0.6133374242424242
GO:0030136,clathrin-coated vesicle,32,3,1.68,0.23399,0.6133374242424242
GO:0045169,fusome,32,3,1.68,0.23399,0.6133374242424242
GO:0031985,Golgi cisterna,33,3,1.73,0.24821,0.640900447761194
GO:0032592,integral component of mitochondrial memb...,33,3,1.73,0.24821,0.640900447761194
GO:0016323,basolateral plasma membrane,49,4,2.57,0.25391,0.645976911764706
GO:0055037,recycling endosome,49,4,2.57,0.25391,0.645976911764706
GO:0016592,mediator complex,34,3,1.78,0.26256,0.6583026086956523
GO:0035097,histone methyltransferase complex,34,3,1.78,0.26256,0.6583026086956523
GO:0005876,spindle microtubule,35,3,1.83,0.27701,0.6895356834532373
GO:0045172,germline ring canal,20,2,1.05,0.28225,0.6961225531914894
GO:0030135,coated vesicle,68,5,3.56,0.28368,0.6961225531914894
GO:0098796,membrane protein complex,440,26,23.05,0.28733,0.7001139436619718
GO:0098573,intrinsic component of mitochondrial mem...,36,3,1.89,0.29153,0.7053802797202797
GO:0008287,protein serine/threonine phosphatase com...,21,2,1.1,0.30203,0.7207060689655173
GO:1903293,phosphatase complex,21,2,1.1,0.30203,0.7207060689655173
GO:0005776,autophagosome,37,3,1.94,0.30611,0.7254387671232877
GO:0005730,nucleolus,212,13,11.11,0.31874,0.7390152941176471
GO:0016327,apicolateral plasma membrane,22,2,1.15,0.32171,0.7390152941176471
GO:0031519,PcG protein complex,22,2,1.15,0.32171,0.7390152941176471
GO:0045171,intercellular bridge,22,2,1.15,0.32171,0.7390152941176471
GO:0031248,protein acetyltransferase complex,72,5,3.77,0.32525,0.7390152941176471
GO:1902493,acetyltransferase complex,72,5,3.77,0.32525,0.7390152941176471
GO:0061695,"transferase complex, transferring phosph...",142,9,7.44,0.32679,0.7390152941176471
GO:0099080,supramolecular complex,323,19,16.92,0.33287,0.7478767532467533
GO:0005705,polytene chromosome interband,39,3,2.04,0.33532,0.7485207741935485
GO:0030141,secretory granule,23,2,1.21,0.34125,0.7520541401273885
GO:0030687,"preribosome, large subunit precursor",23,2,1.21,0.34125,0.7520541401273885
GO:0000139,Golgi membrane,163,10,8.54,0.34978,0.7614393710691824
GO:1902562,H4 histone acetyltransferase complex,40,3,2.1,0.34991,0.7614393710691824
GO:0031305,integral component of mitochondrial inne...,24,2,1.26,0.36061,0.7798191250000001
GO:0120111,neuron projection cytoplasm,41,3,2.15,0.36447,0.7832709316770186
GO:0005794,Golgi apparatus,349,20,18.29,0.37095,0.792275925925926
GO:0043195,terminal bouton,59,4,3.09,0.37375,0.7933588957055216
GO:0000779,"condensed chromosome, centromeric region",25,2,1.31,0.37976,0.7963452121212121
GO:0030173,integral component of Golgi membrane,25,2,1.31,0.37976,0.7963452121212121
GO:0031304,intrinsic component of mitochondrial inn...,26,2,1.36,0.39866,0.8210497619047619
GO:0061174,type I terminal bouton,26,2,1.36,0.39866,0.8210497619047619
GO:1904115,axon cytoplasm,26,2,1.36,0.39866,0.8210497619047619
GO:0099023,vesicle tethering complex,44,3,2.31,0.40775,0.8342874117647058
GO:0043679,axon terminus,62,4,3.25,0.40991,0.8342874117647058
GO:0030686,90S preribosome,27,2,1.41,0.41729,0.8391494252873563
GO:0031228,intrinsic component of Golgi membrane,27,2,1.41,0.41729,0.8391494252873563
GO:0044306,neuron projection terminus,63,4,3.3,0.42188,0.8391494252873563
