Orthogroup	Bombyx_mori	Solenopsis_invicta
OG0000000	XP_037873721.1	XP_011171895.1
OG0000000	XP_037874474.1	XP_025997771.2, XP_039314220.1, XP_039312430.1, XP_011170871.3, XP_039310450.1, XP_011175024.3
OG0000000	XP_037875266.1	XP_025997408.1, XP_039309650.1, XP_011174413.3
OG0000000	XP_037876336.1, XP_037876715.1, XP_037871352.1, XP_004934170.2, XP_037875621.1, XP_037873684.1, XP_037871945.1, XP_037868562.1	XP_039315241.1, XP_039309085.1
OG0000000	XP_037871128.1	XP_039303563.1, XP_039309247.1, XP_039307953.1, XP_039301763.1, XP_039315534.1, XP_039301764.1, XP_039310346.1, XP_039311317.1
OG0000000	XP_037868698.1, XP_037873843.1, XP_037876794.1, XP_037867490.1	XP_011174949.3, XP_025997375.2
OG0000000	XP_037871132.1, XP_037873349.1, XP_037868785.1, XP_037877019.1, XP_037871118.1, XP_037867970.1, XP_037873726.1, XP_037877015.1, XP_037866942.1, XP_037870089.1, XP_037876482.1	XP_039305199.1, XP_039309110.1, XP_039310358.1, XP_039303367.1, XP_039302117.1, XP_039309653.1
OG0000000	XP_037871995.1, XP_037871457.1, XP_037871459.1, XP_037874347.1, XP_037870555.1, XP_037873352.1, XP_037870375.1, XP_037871456.1, XP_004934341.2, XP_037874877.1, XP_037875254.1, XP_037868977.1, XP_037872500.1, XP_037868916.1, XP_037870348.1, XP_037877612.1, XP_037871971.1, XP_037866794.1, XP_037866960.1, XP_037871648.1, XP_037871120.1, XP_037871023.1, XP_037875881.1, XP_037868519.1, XP_037868121.1, XP_037869233.1, XP_037877020.1, XP_037872459.1, XP_037873687.1	XP_039304363.1, XP_011172230.1, XP_039303473.1, XP_039311979.1, XP_039303513.1, XP_011174810.3, XP_011174921.3, XP_011170487.1, XP_039311325.1, XP_039309665.1, XP_025997133.2, XP_011170486.2, XP_039303514.1
OG0000001	NP_001106226.1, NP_001266427.1, XP_012545238.2, NP_001073135.1, NP_001104007.1	NP_001306576.1, XP_011159731.1, XP_011173390.1, XP_039305737.1, XP_011173391.1, XP_011173392.2, XP_011173393.2
OG0000001	NP_001296520.1, NP_001266295.1	XP_011164185.1
OG0000001	XP_037874444.1, XP_037874445.1, XP_037874443.1, XP_037874442.1, NP_001108340.1	XP_011164532.2, XP_011164534.2, XP_011175846.1, XP_039302921.1, XP_039304528.1, XP_025997249.1, XP_025997248.1, XP_025994980.2, XP_025986982.2, XP_039301751.1, XP_011162032.2, XP_039315612.1
OG0000003	XP_037869604.1, XP_037867144.1, XP_037876915.1, XP_037877219.1, XP_037877221.1	XP_039311136.1, XP_039314523.1, XP_039306769.1
OG0000003	XP_037871022.1, XP_037871711.1, XP_037876186.1	XP_039310749.1, XP_039310750.1
OG0000003	XP_037870359.1, XP_037877164.1, XP_037869337.1, XP_037867960.1, XP_037866968.1, XP_037871610.1, XP_037873146.1, XP_037873148.1, XP_037873147.1, XP_037876654.1, XP_037870220.1	XP_039311957.1, XP_039306745.1, XP_011164920.1, XP_025987873.2, XP_011171782.2, XP_039310742.1, XP_011170649.2, XP_039312431.1, XP_039307879.1, XP_011170193.3, XP_039307955.1, XP_039315070.1, XP_039306772.1, XP_039312432.1, XP_039312438.1, XP_039306764.1, XP_011166545.2
OG0000003	XP_037870101.1, XP_021204964.2, XP_037875250.1, XP_037870130.1, XP_037870373.1, XP_037867208.1	XP_039310361.1, XP_039306742.1, XP_039303957.1, XP_039308185.1, XP_039315381.1, XP_039315265.1, XP_039315287.1, XP_039313009.1, XP_039312427.1, XP_039306748.1
OG0000004	XP_037866663.1, XP_037874920.1	XP_039308373.1
OG0000004	XP_037872760.1, XP_037868220.1, XP_037874112.1, XP_037871694.1	XP_039303478.1, XP_039305759.1, XP_025989297.2
OG0000005	XP_037870301.1	XP_025990901.2
OG0000006	XP_012548737.1, NP_001166607.1, NP_001116806.1, NP_001104829.1, NP_001091789.1, NP_001166603.1	XP_039311113.1
OG0000006	XP_012548049.2, NP_001155299.1, XP_037872108.1, NP_001104798.1, XP_037868147.1, XP_037868149.1, XP_012545176.2, NP_001166620.1, NP_001104819.1, XP_037873404.1, NP_001104832.2, NP_001091787.1	XP_011171479.2, XP_039306260.1
OG0000007	XP_012547514.2, XP_037873313.1	XP_039304377.1, XP_039310340.1, XP_039308911.1
OG0000007	XP_021202050.1, XP_012546752.1	XP_025990628.2, XP_039303538.1, XP_039310339.1, XP_025996264.2, XP_039304171.1
OG0000007	XP_037871092.1, XP_021203270.2, XP_037874531.1	XP_039311885.1, XP_039311884.1, XP_039311883.1, XP_039310355.1, XP_039301901.1, XP_039314630.1, XP_039311747.1, XP_039311845.1, XP_039305718.1, XP_039308549.1, XP_011174600.3, XP_039306469.1, XP_039313182.1, XP_039304561.1, XP_039304533.1, XP_039311963.1, XP_039309385.1, XP_025989586.2, XP_039305688.1
OG0000008	XP_012548163.2	XP_011158384.1, XP_039305295.1, XP_039307163.1
OG0000008	XP_012548032.1	XP_039314393.1, XP_039314392.1, XP_025990966.2
OG0000008	XP_037872354.1	XP_039314890.1, XP_025990736.1, XP_039314253.1, XP_039314743.1, XP_025990780.1, XP_011174114.2, XP_011157509.1, XP_011161144.1, XP_011158387.1
OG0000008	XP_012548168.1	XP_039305326.1, XP_039305325.1, XP_039305297.1
OG0000008	XP_021205470.2	XP_011158386.1, XP_039305296.1
OG0000008	XP_037872353.1, XP_012548164.1	XP_039305528.1
