Orthogroup	Tribolium_castaneum	Ceratina_calcarata
OG0000000	XP_015839988.1	XP_017875321.1
OG0000000	XP_015840338.1	XP_017875124.1, XP_017875054.1
OG0000001	XP_969875.1	XP_017884717.1
OG0000001	XP_966774.1, XP_015833657.1, XP_970561.1, XP_970633.1, XP_015835338.1, XP_008194912.1	XP_017886303.1, XP_017882560.1, XP_017883314.2, NP_001352268.1, XP_026670615.1
OG0000002	XP_015839871.1	XP_017878917.2, XP_017878885.1, XP_017878886.1, XP_026668779.1, XP_026668780.1, XP_017878890.2, XP_026668774.1, XP_017878891.1, XP_017878915.2, XP_026668772.1, XP_026668777.1, XP_026669569.1, XP_026669568.1, XP_026669563.1, XP_017880491.1, XP_017878910.1, XP_026670968.1, XP_017878912.1, XP_017878909.1, XP_017878913.1, XP_017883164.2, XP_026669570.1, XP_017878908.2, XP_017878907.2, XP_017878894.2, XP_026672267.1, XP_026668770.1, XP_026668781.1, XP_026668773.1, XP_026668785.1, XP_017878897.1, XP_017878896.1, XP_017878895.1, XP_017878899.1, XP_017878898.1, XP_026668778.1, XP_026668788.1, XP_017885095.1
OG0000003	XP_015833782.1	XP_026672572.1, XP_017892179.1
OG0000003	XP_015834307.1, XP_015836638.1, XP_015833287.1	XP_026675096.1
OG0000004	XP_015834342.1	XP_026672920.1, XP_017884089.1, XP_026673061.1, XP_017875115.1, XP_017889204.1
OG0000007	XP_015837969.1	XP_026667908.1, XP_017875316.1, XP_017881154.1
OG0000008	XP_972338.1	XP_026675049.1
OG0000008	XP_972175.3	XP_017877132.1, XP_017887927.2
OG0000008	XP_969421.1	XP_026667992.1
OG0000008	XP_008191987.1, XP_972532.1	XP_026675083.1
OG0000008	XP_972430.2	XP_017891654.1
OG0000008	XP_015836551.1, XP_015836552.1	XP_017891655.1
OG0000008	XP_008191970.1	XP_026666941.1
OG0000009	XP_008200085.1, XP_008197409.1, XP_015838530.1, XP_015838531.1, XP_015838490.1, XP_008197433.1, XP_008197432.2, XP_008197346.1, NP_001034541.1, XP_015838491.1, XP_008194628.1, XP_015838026.1, XP_015838027.1, XP_975385.1, NP_001164248.1, XP_015838170.1, NP_001123895.1, NP_001127706.1, XP_015838024.1, XP_972546.1, XP_973619.2	XP_017887163.1, XP_017887153.1, XP_017887158.1, XP_017887159.1, XP_017887161.1, XP_017882285.1, XP_017888595.2, XP_017882209.1, XP_017882161.1, XP_017882162.1, XP_026672903.1
OG0000012	XP_967167.2, XP_967253.1, NP_001164207.1, XP_015839971.1	XP_026666907.1
OG0000012	XP_008192552.1	XP_017890257.1, XP_026672566.1, XP_017889230.1, XP_017890394.1, XP_017886295.1
OG0000013	XP_969677.1	XP_017875197.1
OG0000013	XP_966487.1	XP_017887567.1
OG0000013	XP_008197392.1	XP_017884545.1, XP_026671800.1, XP_026671799.1, XP_026671798.1, XP_026671797.1, XP_026671796.1, XP_017884546.1, XP_026671801.1
OG0000014	XP_015840416.1, XP_008196666.2, XP_008201493.1, XP_008195798.2, XP_008193830.1	XP_017887641.1, XP_017875203.1, XP_017888173.1
OG0000015	XP_015839984.1, XP_015834077.1	XP_017886623.1
OG0000016	XP_015840352.1, XP_015840124.1	XP_017878645.1, XP_017879462.1, XP_017877665.1, XP_017875193.1, XP_017878763.1
OG0000017	XP_967395.1, XP_971136.1, XP_966872.2, XP_008200938.1, XP_966966.2, XP_967147.1, XP_971203.1, XP_966787.1, XP_015838196.1, XP_008201195.2, XP_015838248.1, XP_008190708.1, XP_015838206.1, XP_971509.1, XP_008200937.1	XP_017892800.1
OG0000017	XP_015834775.1, XP_974273.1	XP_026675010.1, XP_026675012.1, XP_026675011.1
OG0000018	XP_008200429.1	XP_026673006.1, XP_026673004.1
OG0000018	XP_008193119.1, XP_968748.1, XP_015835557.1, XP_973693.2, XP_015838295.1, XP_015838053.1, XP_969711.1, XP_008194698.1, XP_973658.2, XP_008193214.1, XP_008193215.1, XP_015835529.1, XP_008193213.1, XP_008193216.1, XP_972534.1	XP_017883367.1, XP_017883368.1, XP_026670979.1, XP_026670978.1
OG0000018	XP_008194092.1, XP_969781.1	XP_017890591.1, XP_026674563.1, XP_017890593.1
OG0000018	XP_969849.1, XP_008194093.1, XP_008193834.1	XP_017889371.1
OG0000019	XP_975378.1	XP_017887380.2, XP_026668832.1, XP_017890717.1, XP_017877436.1, XP_017885792.1
OG0000019	XP_973103.2, XP_973187.1, XP_008192578.1, XP_001813143.1, XP_973063.1	XP_017888742.1
OG0000019	XP_972874.1, XP_015834337.1, XP_008192577.2	XP_017885630.1
OG0000020	XP_008201408.1	XP_017881798.1
OG0000020	XP_008201409.2	XP_026672764.1
OG0000021	XP_015838406.1, XP_015838407.1, XP_008197201.1	XP_017892171.1
OG0000021	XP_015838169.1	XP_017887700.1
OG0000021	XP_008197404.1	XP_026674526.1, XP_017890431.1
OG0000021	XP_008196932.1	XP_017878927.1
OG0000021	XP_008197203.1, XP_969207.1	XP_017892165.1
OG0000022	XP_966580.1, XP_966943.2, XP_973583.2, XP_974617.2, XP_967411.1	XP_017879112.1
OG0000023	XP_008201479.1, XP_008201473.1, XP_008199957.2	XP_017888175.1
OG0000024	XP_970056.2	XP_017889793.1
OG0000026	XP_015833705.1	XP_017881604.1
OG0000026	XP_969357.3	XP_017886012.1
OG0000026	XP_015840897.1	XP_026667172.1, XP_026667174.1, XP_026667173.1, XP_026667176.1, XP_026667175.1, XP_026667177.1
OG0000027	XP_008199927.1	XP_017887602.1
OG0000027	XP_008199050.2	XP_017888171.1
OG0000029	XP_008201392.1, XP_967557.1, XP_015839833.1, XP_015839837.1, XP_971332.1	XP_017879055.1, XP_017878925.1
OG0000029	XP_015840495.1, XP_008201389.1, XP_008201390.1	XP_017883728.1, XP_026668846.1, XP_026671320.1, XP_017878918.1
OG0000030	XP_966905.1	XP_026669786.1, XP_026668326.1
OG0000030	XP_015837668.1, XP_972973.1, XP_008195701.1, XP_971355.1, XP_015837936.1, XP_008197791.2, XP_008197787.1, XP_971534.2	XP_017889314.1, XP_026673910.1, XP_026673911.1, XP_026673914.1, XP_026673913.1, XP_026673912.1
OG0000032	XP_001807564.1	XP_017879113.1
OG0000032	XP_969958.1, XP_970026.1	XP_026669191.1, XP_017879823.1, XP_017891597.1
OG0000033	XP_015837581.1	XP_017881686.1
OG0000035	XP_973091.2, XP_008190471.1, XP_015838951.1, XP_015838653.1, XP_967762.1, XP_967685.3, XP_015838842.1, XP_967924.1, XP_015838843.1, XP_972644.2, XP_015838642.1, XP_015838857.1, XP_972496.1, XP_008197534.1, XP_015838775.1, XP_015838840.1, XP_015838776.1, XP_008197589.1, XP_972090.2, XP_008197588.1, XP_008197586.1, XP_972349.2, XP_008197585.1, XP_008197584.1, XP_972444.1	XP_017886557.1
OG0000036	XP_967476.1, XP_001811753.1	XP_017889438.1, XP_017889422.1, XP_017888379.2
OG0000037	XP_008192993.1, XP_015835222.1, XP_970216.2, XP_008193006.2, XP_008193010.2, XP_015835218.1, XP_966991.2, XP_015835223.1, XP_001809825.2, XP_015835468.1, XP_968523.2, XP_015835220.1, XP_015835221.1, XP_008190973.2, XP_970770.1, XP_970895.1, XP_008200145.1	XP_017893255.1
OG0000038	XP_966584.1	XP_017889379.1
OG0000040	NP_001161088.1	XP_026667575.1
OG0000040	NP_001161129.1, XP_008193161.1, NP_001161087.1, XP_970321.1, NP_001161083.1	XP_017877450.1, XP_017888048.1, XP_017889733.1, XP_017888163.1
OG0000041	NP_001165843.1	XP_026675486.1, XP_017892322.1, XP_017892323.1
OG0000041	XP_008199969.1, XP_966415.1, XP_008199982.1, XP_966495.1	XP_017880124.1, XP_017880121.1, XP_017880123.1
OG0000041	XP_967305.1	XP_017893662.1
OG0000042	XP_008194542.2, NP_001306196.1, NP_001306192.1, XP_008197185.1, XP_015839870.1, XP_015839869.1, XP_015839872.1, XP_015839873.1, XP_015839874.1, XP_008197171.1, XP_008191083.1, NP_001137206.1, XP_968970.1, NP_001306194.1, NP_001306195.1, XP_008194716.1	XP_017883943.2, XP_026673615.1
OG0000043	XP_008193777.1, NP_001039289.1	XP_017886026.1
OG0000043	NP_001039285.1	XP_017877704.1
OG0000043	NP_001039279.1, NP_001039280.1, NP_001039278.1	XP_017881454.1
