Orthogroup	Acyrthosiphon_pisum	Nasonia_vitripennis
OG0000000	XP_029346889.1, XP_029340893.1	XP_031777452.1, XP_031781161.1, XP_032457929.1, XP_031777424.1
OG0000000	XP_029341016.1	XP_031779811.1, XP_031781320.1, XP_008214147.2
OG0000001	XP_001943981.2, XP_001947920.1, XP_001948421.1, XP_016656332.1, XP_016659432.1, XP_016659132.2, XP_001952450.1, XP_016655759.1, XP_029344134.1, XP_029344133.1, XP_001948581.2, XP_029344135.1, XP_001943570.2, XP_008183473.1, XP_029341969.1, NP_001353126.1, XP_001946384.4, XP_029344453.1, XP_003248692.2, NP_001156683.2, XP_001945100.2, XP_001946428.1, XP_029344865.1, XP_016657118.1, XP_001944599.2, XP_008189491.3, XP_016660356.1	XP_032451623.1, XP_032451622.1, XP_008208821.1, XP_001599214.2, XP_032451621.1
OG0000003	XP_008180445.1	XP_031779857.1, XP_016838740.1, XP_031783935.1
OG0000003	XP_008178248.1	XP_031789191.1, XP_031784109.1
OG0000003	XP_008181385.1, XP_008182760.1, XP_008179884.1, XP_008189838.1, XP_029348460.1	XP_031785823.1, XP_031781096.1, XP_031784226.1, XP_031785932.1, XP_031776870.1, XP_031788863.1
OG0000003	XP_016659882.1	XP_031781091.1, XP_031788338.1
OG0000003	XP_016660776.1	XP_031777339.1
OG0000003	XP_008182004.1, XP_008182761.1, XP_008180189.1	XP_031780280.1
OG0000003	XP_016661947.1	XP_031777336.1, XP_016844563.1
OG0000004	XP_008181107.1	XP_008212369.2
OG0000005	XP_001944491.1	XP_001604398.2
OG0000006	XP_016661819.1	NP_001177699.1, XP_031784308.1, XP_031785567.2, NP_001164399.1, XP_031784319.1, NP_001177515.1, XP_031784322.1, NP_001177513.1, NP_001177512.1, NP_001177514.1, XP_031785566.2, XP_031785042.1, NP_001164398.1, NP_001177517.1, XP_031784324.1, NP_001177516.1, NP_001164396.1, NP_001164394.1, XP_032453628.1, NP_001164395.1, XP_032452238.1, NP_001164401.1, NP_001177520.1, XP_016838735.1, NP_001177519.1, NP_001177521.1, NP_001177518.1, NP_001177522.1, NP_001164458.1, XP_031778329.1, XP_031786753.1, NP_001177525.1, XP_016841654.1, NP_001177526.1, XP_016841652.1, NP_001177524.1
OG0000007	XP_008180990.1, XP_016656682.1, XP_029348000.1, XP_008178602.1, XP_008189457.1, XP_008178603.1, XP_008183255.1, XP_008182423.1, XP_008178158.1, XP_008179800.1, XP_008182703.1, XP_029341371.1, XP_008185795.1, XP_029340983.1, XP_016657553.1, XP_029345916.1, XP_008179824.1, XP_008179707.1, XP_008181182.1, XP_001946487.2, XP_029341506.1, XP_008181718.1, XP_008186308.1, XP_008180535.1, XP_008185414.1	XP_031778752.1
OG0000007	XP_008184164.2, XP_016657424.1, XP_008189913.1, XP_008183395.1, XP_008189418.1, XP_008185495.1	XP_008213174.1
OG0000007	XP_029342533.1, XP_008183714.1, XP_016662186.1, XP_008178249.1, XP_016662197.1, XP_016657859.1	XP_016843940.2, XP_016843176.1
OG0000008	XP_016663037.1	XP_001602085.1
OG0000008	XP_029347046.1	XP_008205990.2
OG0000008	XP_001942555.1, XP_008181935.1	XP_031788628.1
