GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0004601	peroxidase activity	10	9	5.07	0.014	0.014	0.8049999999999999	0.322
GO:0020037	heme binding	12	10	6.09	0.023	0.023	0.8049999999999999	0.322
GO:0003723	RNA binding	11	7	5.58	0.040	0.040	0.8749999999999999	0.4
GO:0008270	zinc ion binding	18	14	9.13	0.062	0.062	0.8749999999999999	0.4822222222222222
GO:0003676	nucleic acid binding	67	37	34	0.069	0.047	0.8749999999999999	0.41125
GO:0016209	antioxidant activity	16	14	8.12	0.075	0.002	0.8749999999999999	0.14
GO:0004386	helicase activity	12	8	6.09	0.101	0.101	0.945	0.6160000000000001
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	14	8	7.1	0.108	0.108	0.945	0.6160000000000001
GO:0003677	DNA binding	40	18	20.3	0.180	0.122	1	0.6160000000000001
GO:0016740	transferase activity	57	30	28.92	0.195	0.654	1	0.9869999999999999
GO:0016491	oxidoreductase activity	21	15	10.66	0.233	0.036	1	0.4
GO:0097367	carbohydrate derivative binding	63	33	31.97	0.270	0.605	1	0.9869999999999999
GO:0016788	hydrolase activity, acting on ester bonds	10	7	5.07	0.300	0.300	1	0.8617241379310344
GO:0043565	sequence-specific DNA binding	15	7	7.61	0.310	0.310	1	0.8617241379310344
GO:0016684	oxidoreductase activity, acting on peroxide as acceptor	14	12	7.1	0.316	0.007	1	0.245
GO:0097159	organic cyclic compound binding	128	68	64.95	0.335	0.176	1	0.6594736842105263
GO:1901363	heterocyclic compound binding	128	68	64.95	0.335	0.176	1	0.6594736842105263
GO:0005524	ATP binding	47	26	23.85	0.336	0.336	1	0.8617241379310344
GO:0000166	nucleotide binding	62	32	31.46	0.381	0.578	1	0.9869999999999999
GO:0046983	protein dimerization activity	11	6	5.58	0.438	0.438	1	0.9038235294117646
GO:0046914	transition metal ion binding	20	15	10.15	0.481	0.082	1	0.5740000000000001
GO:0008233	peptidase activity	34	15	17.25	0.491	0.744	1	1
GO:0016772	transferase activity, transferring phosphorus-containing groups	32	15	16.24	0.530	0.658	1	0.9869999999999999
GO:0046872	metal ion binding	38	25	19.28	0.548	0.132	1	0.6160000000000001
GO:0016301	kinase activity	31	14	15.73	0.584	0.681	1	0.9869999999999999
GO:0016787	hydrolase activity	82	40	41.61	0.599	0.471	1	0.942
GO:0036094	small molecule binding	64	33	32.47	0.606	0.631	1	0.9869999999999999
GO:0004713	protein tyrosine kinase activity	10	6	5.07	0.621	0.621	1	0.9869999999999999
GO:0140096	catalytic activity, acting on a protein	81	35	41.1	0.651	0.818	1	1
GO:0004672	protein kinase activity	30	13	15.22	0.704	0.705	1	0.9869999999999999
GO:0003824	catalytic activity	170	91	86.26	0.721	0.283	1	0.8617241379310344
GO:0005509	calcium ion binding	14	8	7.1	0.747	0.747	1	1
GO:0098772	molecular function regulator	59	26	29.94	0.755	0.357	1	0.8617241379310344
GO:0140110	transcription regulator activity	40	16	20.3	0.755	0.230	1	0.7666666666666667
GO:0032559	adenyl ribonucleotide binding	48	26	24.36	0.788	0.321	1	0.8617241379310344
GO:0003700	DNA-binding transcription factor activity	35	13	17.76	0.789	0.226	1	0.7666666666666667
GO:0005488	binding	249	129	126.35	0.792	0.356	1	0.8617241379310344
GO:0016887	ATPase activity	15	9	7.61	0.808	0.171	1	0.6594736842105263
GO:0043168	anion binding	63	33	31.97	0.818	0.669	1	0.9869999999999999
GO:0004175	endopeptidase activity	28	12	14.21	0.833	0.824	1	1
GO:0003924	GTPase activity	10	5	5.07	0.863	0.863	1	1
GO:0017111	nucleoside-triphosphatase activity	26	14	13.19	0.935	0.419	1	0.9038235294117646
