Orthogroup	Anopheles_gambiae	Habropoda_laboriosa
OG0000001	XP_563971.3	XP_017793598.1, XP_017796836.1, XP_017796838.1, XP_017795399.1, XP_017796200.1, XP_017791301.1, XP_017795398.1, XP_017791778.1, XP_017791425.1
OG0000002	XP_317343.1	XP_017795928.1, XP_017795926.1, XP_017795970.1, XP_017795940.1, XP_017795948.1, XP_017795929.1, XP_017795932.1, XP_017795931.1, XP_017795930.1, XP_017795934.1, XP_017797103.1, XP_017797055.1, XP_017797089.1, XP_017795969.1, XP_017795975.1, XP_017797057.1, XP_017795939.1, XP_017795938.1, XP_017795937.1, XP_017795933.1
OG0000004	XP_310729.1	XP_017796210.1
OG0000004	XP_320414.1	XP_017795921.1, XP_017795068.1
OG0000005	XP_308124.5	XP_017796122.1, XP_017793329.1, XP_017796951.1, XP_017789775.1, XP_017789770.1, XP_017794536.1, XP_017797049.1, XP_017789938.1
OG0000006	XP_310173.1, XP_310172.2	XP_017789424.1
OG0000008	XP_310333.7	XP_017797987.1
OG0000008	XP_312388.4, XP_312387.5	XP_017793615.1
OG0000008	XP_003436608.1, XP_003436609.1, XP_003436607.1	XP_017797940.1
OG0000008	XP_310332.7, XP_003436611.1	XP_017797975.1
OG0000008	XP_559558.6, XP_003436610.1	XP_017797962.1
OG0000008	XP_310340.1	XP_017798022.1
OG0000009	XP_001689238.1, XP_001238278.2, XP_561320.5, XP_320243.1, XP_551896.3, XP_001238280.1, XP_316781.2	XP_017789192.1, XP_017794730.1, XP_017794617.1, XP_017794731.1, XP_017794737.1
OG0000012	XP_317829.4	XP_017797597.1
OG0000012	XP_554157.3, XP_319603.2, XP_317170.2, XP_317171.2, XP_317172.2, XP_555167.1, XP_317173.2, XP_317175.2, XP_317174.2, XP_318046.3, XP_319102.4, XP_001231167.2	XP_017797590.1
OG0000012	XP_321898.3, XP_001689374.2, XP_308888.1, XP_001689375.2, XP_001689376.2, XP_321901.4, XP_001238557.2	XP_017796583.1, XP_017796672.1
OG0000013	XP_307081.3, XP_315130.3	XP_017799299.1
OG0000013	XP_307601.3	XP_017799274.1, XP_017795688.1
OG0000013	XP_320335.2, XP_320336.2	XP_017797795.1
OG0000017	XP_319968.3, XP_319970.3, XP_319969.1, XP_319967.1, XP_319966.1, XP_001238234.1, XP_319972.1	XP_017788278.1
OG0000017	XP_562680.2, XP_313048.1, XP_313052.1, XP_313050.3, XP_313049.1	XP_017795363.1, XP_017795361.1
OG0000018	XP_316463.3, XP_557101.2	XP_017793008.1
OG0000018	XP_558678.4, XP_551022.4, XP_321300.4	XP_017793490.1
OG0000018	XP_312930.5	XP_017793336.1, XP_017796703.1
OG0000019	XP_321444.5	XP_017790272.1
OG0000019	XP_003436388.1, XP_312768.5, XP_314084.4, XP_312606.4	XP_017788514.1
OG0000020	XP_554133.3	XP_017791573.1
OG0000020	XP_314903.3, XP_554132.3	XP_017790081.1, XP_017792589.1
OG0000020	XP_314904.3	XP_017791574.1
OG0000020	XP_001238085.2, XP_319101.4	XP_017794423.1
OG0000020	XP_315006.4	XP_017798982.1
OG0000020	XP_312941.4	XP_017793275.1
OG0000020	XP_321843.5	XP_017796526.1
OG0000020	XP_555858.3	XP_017795013.1
OG0000020	XP_001231126.3	XP_017794610.1
OG0000021	XP_313342.5, XP_003436532.1	XP_017798657.1
OG0000021	XP_320239.4, XP_312638.5	XP_017790276.1
OG0000021	XP_003436878.1, XP_315178.5, XP_315182.5, XP_315184.4	XP_017787416.1, XP_017790325.1
OG0000022	XP_320674.3	XP_017795686.1
OG0000022	XP_551996.1	XP_017792281.1
OG0000022	XP_318365.3	XP_017798138.1
OG0000023	XP_320334.2, XP_320329.2, XP_001238300.1, XP_306255.2, XP_307082.2	XP_017799305.1
OG0000026	XP_558069.3	XP_017799538.1
OG0000026	XP_321915.5	XP_017790381.1
OG0000026	XP_003436038.1, XP_308060.4	XP_017797652.1
OG0000026	XP_320025.4, XP_320023.4, XP_320032.4, XP_320040.3, XP_320020.4, XP_553184.3	XP_017792231.1
OG0000026	XP_322033.4	XP_017795812.1, XP_017789050.1
OG0000027	XP_311439.4, XP_305995.3, XP_318361.3, XP_315129.4	XP_017799307.1
OG0000029	XP_311670.4, XP_001688322.1, XP_001688325.1, XP_001688324.1, XP_001688323.1, XP_311667.3, XP_001230823.2, XP_001230824.2, XP_306539.4, XP_001230390.1, XP_321427.2, XP_001238481.1, XP_321429.3, XP_551138.2, XP_551139.2, XP_551141.1	XP_017792656.1, XP_017792675.1
OG0000029	XP_319711.4	XP_017798436.1
OG0000029	XP_001688326.1, XP_003436466.1, XP_560960.4, XP_311664.4	XP_017792700.1
OG0000030	XP_320774.4	XP_017799391.1, XP_017799392.1
OG0000032	XP_001231044.2	XP_017797625.1
OG0000032	XP_321319.5, XP_320826.2, XP_320829.4, XP_313740.5, XP_310281.6	XP_017793574.1, XP_017790226.1
OG0000035	XP_317561.4	XP_017797282.1
OG0000035	XP_309943.4, XP_001687884.1, XP_308284.4, XP_317047.3, XP_555044.3, XP_308459.4, XP_308744.4, XP_001688832.1, XP_316292.4, XP_308743.3	XP_017793793.1, XP_017793792.1
OG0000036	XP_001237843.1, XP_001688918.1, XP_316607.4, XP_001237840.1, XP_001688914.1, XP_001688917.1	XP_017791875.1, XP_017791824.1, XP_017791822.1, XP_017791523.1, XP_017791522.1
OG0000037	XP_308914.4, XP_308913.3, XP_001237150.1, XP_308915.3, XP_316348.4, XP_308909.2, XP_556645.1, XP_308908.3, XP_308891.2, XP_316624.3, XP_001688133.1, XP_001688134.1, XP_308903.4, XP_001237148.2, XP_001688135.1, XP_001237147.2, XP_001688132.1, XP_001237146.1, XP_001688131.1, XP_308896.4, XP_308892.4, XP_001688124.1, XP_001688129.1, XP_001688130.1, XP_001688127.1, XP_001688128.1, XP_001688125.1, XP_001688120.1, XP_001688126.1, XP_001688123.1, XP_001237145.2, XP_001688119.1, XP_001688121.1, XP_001688122.1	XP_017798855.1
OG0000038	XP_551626.4, XP_321937.5, XP_309723.4	XP_017789191.1, XP_017795058.1
OG0000038	XP_312152.5	XP_017791877.1
OG0000040	XP_314093.2, XP_565496.1, XP_309032.2, XP_309033.2, XP_309036.1, XP_565054.3, XP_308619.3, XP_001689276.1, XP_318423.5, XP_001689275.1, XP_552320.3, XP_310364.7	XP_017797294.1, XP_017797297.1, XP_017797034.1, XP_017789776.1
OG0000041	XP_313971.4	XP_017796749.1
OG0000041	XP_315271.4	XP_017798373.1
OG0000042	XP_311704.5	XP_017797246.1
OG0000042	XP_003435912.1, XP_003435911.1, XP_003435913.1, XP_321375.3, XP_307056.3	XP_017797230.1
OG0000043	XP_317400.2	XP_017797621.1
OG0000043	XP_317404.2	XP_017793789.1
OG0000044	XP_318000.4, XP_001689317.2, XP_003435967.1, XP_003435966.1, XP_003436699.1, XP_312430.5, XP_554544.3, XP_307174.4, XP_562562.2, XP_313478.5	XP_017792515.1, XP_017792514.1
OG0000044	XP_003436574.1	XP_017792527.1, XP_017792526.1
OG0000045	XP_001689203.1, XP_316055.4, XP_552857.3, XP_319713.4, XP_320938.3, XP_320155.3, XP_320159.3, XP_320158.1, XP_552300.3	XP_017797443.1, XP_017797444.1
OG0000046	XP_313085.3	XP_017789468.1
OG0000046	XP_001689308.2	XP_017790988.1, XP_017792943.1
OG0000046	XP_315042.3	XP_017788243.1
OG0000050	XP_316295.4, XP_316296.3, XP_309020.3, XP_315770.4, XP_321363.4, XP_312052.3, XP_321362.2, XP_312564.5	XP_017787690.1
OG0000052	XP_319685.4	XP_017790871.1, XP_017790994.1
OG0000052	XP_555802.2, XP_317786.3	XP_017798778.1
OG0000052	XP_320291.3	XP_017793145.1
OG0000054	XP_556684.2	XP_017797421.1
OG0000054	XP_316036.1, XP_316039.1, XP_316038.1, XP_316040.1, XP_316041.3	XP_017797389.1, XP_017797390.1
OG0000055	XP_553645.3	XP_017799533.1
OG0000055	XP_312790.4	XP_017789854.1
OG0000055	XP_321277.5	XP_017791354.1
OG0000056	XP_318579.4	XP_017795795.1, XP_017792816.1
OG0000056	XP_550805.4	XP_017792926.1
OG0000056	XP_317863.3	XP_017792979.1
OG0000057	XP_309765.4	XP_017798095.1
OG0000057	XP_314483.4	XP_017798097.1
OG0000057	XP_315005.3	XP_017798098.1
OG0000060	XP_318748.4	XP_017787543.1
OG0000061	XP_003436493.1, XP_003436494.1, XP_003436495.1, XP_309674.5	XP_017799273.1
OG0000061	XP_309223.5, XP_003437178.1, XP_003437179.1, XP_311857.4	XP_017788550.1, XP_017795246.1, XP_017791843.1
OG0000065	XP_321329.4	XP_017793945.1
OG0000065	XP_565271.3	XP_017793851.1
OG0000067	XP_320481.4	XP_017790603.1
OG0000067	XP_315003.3, XP_001688603.1, XP_315671.4	XP_017794648.1
OG0000067	XP_315363.4	XP_017787992.1
OG0000074	XP_321263.5	XP_017795199.1
OG0000077	XP_319941.4	XP_017797118.1, XP_017795753.1
OG0000077	XP_316979.4, XP_321166.4	XP_017789897.1
OG0000079	XP_001238492.1	XP_017787942.1, XP_017787943.1, XP_017787958.1
OG0000079	XP_319818.4	XP_017787939.1
OG0000080	XP_313655.5	XP_017798424.1
