Orthogroup	Bombus_terrestris	Vespa_mandarinia
OG0000001	XP_020720552.1, XP_003398646.1	XP_035720574.1
OG0000001	XP_003395878.1	XP_035726105.1
OG0000001	XP_003400131.1, XP_012170860.1, XP_003400126.1, XP_003400119.1, XP_020721795.1, XP_012170857.1, XP_020721796.1, XP_012170859.1, XP_012170861.1, XP_012170855.1	XP_035737410.1, XP_035737418.1, XP_035737424.1
OG0000001	XP_012168947.1	XP_035734021.1, XP_035734020.1, XP_035734019.1
OG0000002	XP_003393901.1, XP_020722318.1, XP_020722314.1, XP_020723992.1, XP_020723938.1	XP_035737286.1, XP_035737171.1, XP_035737322.1, XP_035737321.1
OG0000002	XP_020724018.1, XP_003393988.2	XP_035737326.1
OG0000002	XP_020722961.1, XP_012175713.1, XP_012175608.1, XP_012175715.1, XP_012175716.1, XP_012175714.1, XP_012175717.1, XP_012175609.1	XP_035737177.1
OG0000002	XP_003393920.1, XP_003403429.1, XP_003394006.1, XP_003393921.1, XP_012175711.1	XP_035737160.1, XP_035737224.1
OG0000002	XP_003393917.1	XP_035737208.1
OG0000002	XP_003393994.1	XP_035737170.1
OG0000002	XP_020722331.1, XP_020722344.1, XP_003393905.1, XP_020723934.1	XP_035737172.1, XP_035737325.1, XP_035737203.1
OG0000002	XP_012175700.1, XP_012175702.1, XP_003394000.1, XP_020723889.1, XP_012175705.1, XP_020722356.1, XP_012175707.1, XP_003393910.1, XP_003393907.1, XP_003393999.1, XP_003393913.1, XP_012175710.2, XP_012175708.2, XP_003394005.1, XP_003393918.1, XP_003394003.1, XP_003393998.1	XP_035737210.1
OG0000004	XP_003396672.1	XP_035744268.1
OG0000004	XP_020724024.1	XP_035742402.1
OG0000006	XP_020721955.1	XP_035718467.1
OG0000006	XP_012174904.1	XP_035740898.1
OG0000008	XP_012168744.1	XP_035740079.1, XP_035736062.1, XP_035736014.1, XP_035739952.1, XP_035739953.1
OG0000008	XP_012168771.1	XP_035736007.1
OG0000008	XP_003398745.1	XP_035736200.1, XP_035736201.1, XP_035736202.1
OG0000008	XP_003402021.1, XP_012173573.1, XP_003402067.2, XP_003402064.1, XP_012173606.2, XP_003403320.2, XP_012176687.1, XP_012176691.1, XP_003394740.1, XP_020718362.1, XP_020718363.1, XP_020718364.1, XP_020718365.1, XP_012176686.1, XP_012176685.1, XP_012176683.1, XP_003394739.1, XP_012176688.1, XP_012176689.1, XP_012176690.1, XP_020721002.1	XP_035739950.1, XP_035739951.1, XP_035739948.1
OG0000009	XP_003393388.3	XP_035722243.1
OG0000009	XP_003393376.1, XP_003393377.1, XP_020723850.1, XP_003393379.1	XP_035722232.1, XP_035722233.1, XP_035722235.1, XP_035722241.1, XP_035722237.1, XP_035722240.1, XP_035722236.1, XP_035722238.1, XP_035722239.1
